TICID,RA,Dec,Tmag,Keywords
79394646,319.9676,-53.4498,4.39,G03156;G03255;G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
201687909,300.717,-55.2465,9.12,G03252
219951077,289.9968,-57.9799,8.36,G03252
219967673,306.0379,-54.5432,7.44,G03255;G03252
319740524,291.8715,-54.966,7.76,G03252;20SECONDTARGET
320662136,297.5141,-59.2641,6.89,G03255;G03252
351535191,309.3978,-61.5303,4.5,G03255;G03156;G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
360736543,290.6142,-56.3746,11.59,G03252
360806117,297.0713,-57.7254,7.32,G03255;G03252
370132371,306.9456,-54.4258,9.08,G03252
387241049,310.2787,-61.5924,8.24,G03255;G03251;G03252;20SECONDTARGET
406236323,292.9817,-52.888,9.26,G03252
406237800,293.2246,-53.1857,5.5,G03252
422043310,301.6319,-54.0849,8.17,G03252
466260580,304.3074,-61.574,11.64,G03252;20SECONDTARGET
260751881,346.4388,-67.3175,11.21,G03255;G03252
261563350,349.8533,-77.6067,9.29,G03255;G03252
266905315,1.1427,-73.8529,8.72,G03255;G03252
277835735,344.7578,-68.0517,9.53,G03252
38847248,8.3486,-71.2663,5.85,G03255;G03252
51991595,15.294,-68.7187,12.13,G03252
261459125,304.8296,-76.1267,8.81,G03255;G03251;G03252
313552150,301.5206,-79.4234,7.8,G03255;G03252
318007796,303.4854,-78.8785,9.61,G03251;G03252;20SECONDTARGET
318045921,305.8915,-79.7389,10.02,G03252;20SECONDTARGET
340777058,291.5928,-76.3672,8.37,G03255;G03252
346793769,300.8823,-78.8308,7.64,G03255;G03252
387115314,286.5642,-77.0456,9.56,G03252;20SECONDTARGET
468189624,320.9176,-85.2885,7.82,G03252
257387983,344.4629,-87.8771,9.19,G03255;G03252
261089835,81.7737,-83.5784,11.55,G03252
261401139,94.6231,-82.2138,8.98,G03252
269857335,70.5638,-83.0968,9.3,G03252
278077486,106.1582,-81.4995,8.54,G03252
278179191,108.7396,-81.2228,8.23,G03255;G03251;G03252
290575163,5.4183,-83.7435,9.03,G03252
302990423,119.3135,-83.601,9.36,G03255;G03252
302994373,40.5345,-85.858,8.18,G03252
319289587,71.8944,-79.8072,7.95,G03255;G03252
327853078,356.8383,-88.2841,8.66,G03252
348717688,45.1534,-81.9021,9.12,G03223;G03252;20SECONDTARGET
348772511,47.4738,-83.5314,7.26,G03255;G03252
358502706,60.8343,-83.6995,11.65,G03252
419666736,341.3821,-88.8185,6.28,G03255;G03252
516627014,71.8953,-79.8072,7.95,G03255;G03252
229810275,44.7057,-73.7855,9.04,G03252
238185398,55.0782,-72.0376,9.17,G03255;G03252
24693092,34.7212,-75.4494,9.41,G03252
267094416,41.6673,-77.521,8.52,G03251;G03252
299802315,59.6478,-74.7465,9.69,G03252
431380369,49.0335,-73.5488,7.82,G03252;20SECONDTARGET
431589510,50.6912,-72.6294,11.89,G03252
52258534,21.0505,-70.6753,7.72,G03255;G03252
179120455,79.0108,-70.4561,8.38,G03255;G03252
179124163,79.4561,-71.9236,9.7,G03252
179246511,79.7948,-68.581,9.7,G03252
179438643,80.1141,-67.5098,10.35,G03255;G03252
179638690,80.5952,-67.3692,11.06,G03252
231744384,78.2222,-67.7434,9.66,G03252
238226832,58.8621,-72.3416,9.3,G03252
25080787,61.1941,-71.8804,9.85,G03252
25195864,63.7537,-69.5367,10.46,G03255;G03252
276863693,83.68,-66.9023,9.66,G03252
287298969,82.3553,-66.439,7.88,G03255;G03252
30316134,74.3836,-68.019,11.07,G03252
30531417,74.8072,-69.5951,11.12,G03204;G03252;G03169
31105402,76.377,-68.2561,9.77,G03252
31926807,53.7003,-70.0534,11.2,G03252
373598109,81.1989,-66.3993,10.95,G03252
373846934,81.3606,-66.1027,9.12,G03252
38587180,64.1641,-64.3154,7.7,G03255;G03252
38587771,64.141,-65.9113,8.26,G03252
38602305,64.4179,-63.2552,6.16,G03059;G03252
38635760,65.3148,-64.1808,10.71,G03255;G03252
389570196,86.5232,-67.7097,7.85,G03255;G03252
404765784,84.9251,-67.9396,10.61,G03252
55526343,72.4981,-63.1649,9.06,G03252
141480176,86.7837,-74.7702,9.33,G03252
141757920,91.6359,-73.0225,9.97,G03251;G03252
142145534,99.8065,-75.5088,8.8,G03255;G03252
177284702,102.3764,-75.4495,9.51,G03252
271597440,108.5822,-77.0506,10.94,G03252
271721765,110.4408,-75.3519,8.55,G03252
271892200,112.9318,-72.0045,8.98,G03252
272316843,118.663,-75.1288,9.26,G03252
272468825,120.8751,-71.9724,10.13,G03251;G03252
306634577,120.0751,-70.1815,8.65,G03252
389925842,87.7242,-71.9667,9.83,G03255;G03252
407661867,83.0771,-72.8325,8.25,G03252
41174274,91.3655,-70.4627,9.37,G03252
41227922,91.5849,-69.2584,8.72,G03255;G03252
41256025,91.9405,-69.1563,11.14,G03252
41259805,92.1221,-71.1199,8.84,G03255;G03252;20SECONDTARGET
150272131,94.7069,-63.0107,10.16,G03255;G03252
150394126,96.9526,-62.1498,6.54,G03252
167601581,102.0418,-63.4443,9.98,G03252
167602316,102.0469,-61.94,3.04,G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
167695608,102.9257,-63.4304,11.69,G03255;G03252;20SECONDTARGET
167718227,103.0906,-62.6681,10.64,G03255;G03252
167751145,103.9712,-64.9971,9.74,G03252
177080157,103.3169,-66.3443,9.75,G03255;G03252
262498136,109.9286,-57.7788,8.25,G03255;G03252
262498404,109.8875,-57.4488,7.55,G03255;G03252
278683664,99.1676,-58.4088,8.49,G03059;G03252
278898255,101.2911,-59.6889,9.45,G03252
279361762,104.7668,-58.5147,8.04,G03255;G03252
281575623,114.1982,-59.5935,9.31,G03255;G03252
281575671,114.1621,-59.5268,10.27,G03252
300035977,107.52,-67.3506,9.6,G03252
306672432,120.5929,-67.7948,8.6,G03059;G03252
306736789,120.8389,-66.839,8.3,G03255;G03252
308307808,120.2139,-61.0192,10.16,G03255;G03252
308396022,120.2598,-63.675,11.07,G03252
339773261,111.2731,-56.9213,9.64,G03255;G03252
339960900,112.4754,-58.8994,10.71,G03255;G03252
340006157,112.7373,-57.991,8.72,G03252;20SECONDTARGET
340173446,113.5646,-57.1578,10.39,G03252
340174319,113.5853,-58.1345,10.53,G03252
340255615,114.8673,-57.4155,10.65,G03252
340256178,114.8231,-57.9924,10.24,G03255;G03252
340357810,115.4588,-59.5194,10.71,G03252
340359292,115.4962,-57.9707,10.21,G03252
340559356,116.3152,-59.3482,10.3,G03255;G03252
340560190,116.1829,-58.5383,10.52,G03255;G03252
340560636,116.2478,-58.0872,9.69,G03252
348841745,98.8952,-58.2117,9.29,G03255;G03252
348895477,105.7786,-64.1576,11.36,G03252
349056430,107.4061,-62.3047,8.2,G03252
349409806,110.3716,-61.9925,8.1,G03252
349972600,114.4733,-62.3051,9.09,G03252
350031852,115.1523,-60.1361,10.41,G03252
350138845,115.1911,-60.6407,10.68,G03252
350146296,115.7396,-63.7019,9.17,G03132;G03255;G03252;20SECONDTARGET
358464716,119.0315,-60.7039,10.4,G03255;G03252
358511856,119.1586,-65.6138,8.78,G03252
364398854,119.7066,-61.1756,10.37,G03255;G03252
364399376,119.761,-61.5834,7.18,G03255;G03252
372913430,119.5335,-60.7805,8.35,G03278;G03252;20SECONDTARGET
372913439,119.5322,-60.7759,10.38,G03255;G03252
372913518,119.4211,-60.7273,10.07,G03255;G03252
382436277,117.1425,-64.8224,8.16,G03255;G03252
382572536,118.3122,-64.6984,9.24,G03252
382577454,118.3563,-60.432,10.31,G03255;G03252
382632149,118.6115,-60.4304,10.74,G03252
391892593,115.455,-68.0283,9.35,G03251;G03252;20SECONDTARGET
410451312,120.0282,-60.4189,10.55,G03252
410451974,119.8315,-60.9755,10.6,G03252
410486022,120.0228,-63.4882,9.34,G03255;G03252
149037112,78.3994,-61.0782,9.94,G03255;G03252
149218335,82.0678,-60.2921,10.26,G03255;G03252
149304495,83.3653,-64.4183,9.1,G03252
149574542,86.7113,-63.2719,9.09,G03252
149630824,87.7289,-60.8803,10.28,G03255;G03252
149665755,87.6626,-65.26,7.97,G03252
149933253,89.9134,-65.4468,9.05,G03252
150101501,92.0443,-63.3077,9.5,G03255;G03252
219410829,78.8701,-53.6384,10.17,G03255;G03252
260078159,91.9914,-55.3983,11.01,G03252
260161111,92.8439,-58.3568,10.62,G03255;G03252
260353074,94.836,-54.8656,8.97,G03252
260416268,95.7322,-56.3701,5.41,G03252
260540380,97.0324,-54.9877,9.73,G03252
290714928,84.1881,-52.7873,8.72,G03252
350431472,84.906,-57.1815,9.6,G03255;G03252
350563225,86.7776,-55.5672,9.08,G03252
350563998,86.9556,-53.8925,10.6,G03252
350709413,88.1187,-56.2007,8.58,G03252
350954375,90.9497,-55.2943,10.65,G03252
358402382,78.1774,-55.5994,9.94,G03252
374858533,88.3114,-61.8394,6.76,G03252
382044998,79.4256,-57.1154,10.64,G03252
382258769,82.5664,-54.6857,10.66,G03252
55271188,76.2756,-60.1366,10.05,G03252
