TICID,RA,Dec,Tmag,Keywords
252627215,346.3822,51.4223,15.72,G022077;G022028
315301267,347.4978,55.114,15.14,G022028
341988924,332.863,53.7529,16.55,G022077;G022028
388138373,339.5983,54.4373,16.36,G022028
416036999,339.2579,57.9573,14.47,G022028
428244499,340.7742,58.7269,15.76,G022028
431067687,334.7143,48.6578,15.75,G022077;G022028
444160759,342.4683,58.5755,14.65,G022077;G022028;G022017
67061458,342.6153,53.4089,14.04,G022028
136513972,317.4646,42.9513,15.65,G022077;G022028;G022176
138528843,319.7562,42.1054,16.61,G022028
240605201,324.2987,47.5833,15.5,G022028
304108055,315.3004,45.3389,16.17,G022077;G022028;G022217
351571596,325.8682,41.7205,18.6,G022028
427942736,331.5607,47.1473,15.71,G022077;G022028
455522746,328.3669,43.534,16.19,G022077;G022028
455677982,332.8398,45.552,11.93,G022028;G022069
119996731,334.504,39.1444,16.09,G022077;G022028;G022176;G022065
162334232,331.9661,34.4792,15.13,G022077;G022028
162392243,332.2395,31.254,16.35,G022077;G022028
27891406,333.4192,29.5364,12.95,G022028
287443040,326.3496,35.5365,16.17,G022028
305557277,330.5593,38.8122,15.88,G022077;G022028
315138575,336.686,39.0205,16.16,G022028
329800842,328.1244,34.1289,15.38,G022077;G022028
372363437,332.0722,39.1197,15.92,G022028;G022217;G022077
84198841,328.0126,37.4392,15.34,G022077;G022028;G022017
129101920,341.6448,40.4052,15.02,G022077;G022028;G022158
129562195,344.1851,37.5979,16.41,G022077;G022028
129563318,344.2188,39.1397,15.53,G022141;G022028
154268972,342.2572,46.3374,16.47,G022077;G022028;G022217
155112997,345.6858,43.213,16.31,G022077;G022028
173387780,347.1323,45.7029,15.86,G022077;G022028;G022217
173668371,349.1838,47.4545,16.48,G022028;G022148
173921281,350.3704,47.8955,16.27,G022028;G022077
333224807,352.9005,41.0247,14.07,G022077;G022028;G022017
373928876,345.769,37.6933,16.38,G022077;G022028
455816370,347.6984,42.8357,15.65,G022077;G022028
256351952,322.8443,70.617,15.82,G022077;G022028;G022217
256378322,298.6058,65.5853,16.44,G022028
256459794,299.0951,64.2327,15.46,G022077;G022028;G022217
264172524,294.582,69.1534,16.55,G022077;G022028;G022217
267544200,289.5479,72.6237,15.42,G022077;G022028
388079618,318.4127,71.817,15.99,G022077;G022028
390974895,318.367,72.1377,15.97,G022077;G022028;G022217
471015223,299.587,67.6736,16.0,G022077;G022028
229485883,295.9173,60.4837,16.04,G022028
229966905,289.5996,59.9981,15.17,G022077;G022028;G022017
230029140,292.224,61.0969,16.46,G022028;G022077
230384389,285.8334,60.5984,15.05,G022077;G022028
230396780,286.7044,61.1032,16.36,G022028;G022077
232681995,282.4011,58.8426,15.71,G022028
233390225,301.5704,59.0403,15.65,G022077;G022028
236865474,302.6782,62.4248,15.21,G022077;G022028;G022217
236870706,302.7724,61.5453,15.61,G022077;G022028
243331395,289.9622,54.5342,13.8,G022028
256866809,301.7306,61.7186,15.86,G022028
27688847,295.9342,52.2924,14.26,G022077;G022028;G022158
287259816,292.8521,57.0721,15.26,G022077;G022028
287259821,292.8517,57.0704,16.42,G022028
298900716,288.2037,53.7211,13.45,G022077;G022028;G022017
424699808,294.4412,59.0083,15.44,G022028
233418152,302.2838,55.1267,15.89,G022077;G022028
259773610,318.1843,50.1049,13.43,G022077;G022028;G022017
277097023,310.0137,56.4723,15.71,G022028
277235925,306.8553,48.9724,15.83,G022028;G022077
289340949,315.13,50.8544,15.01,G022077;G022028
294690620,302.4033,51.2013,16.41,G022077;G022028
311785189,300.1675,52.8156,16.38,G022077;G022028
314771701,319.7336,54.2125,12.54,G022077;G022028
366740395,311.6489,45.986,15.79,G022028
467224218,306.7737,55.5695,16.08,G022028
62774646,319.3246,50.7353,15.35,G022028;G022217
283414280,327.9162,59.2929,13.84,G022028;G022250
315136775,320.1757,58.3224,15.71,G022077;G022028
315577304,320.8228,56.972,16.95,G022028
321547580,320.6329,66.0118,15.9,G022077;G022028
331147036,325.9977,54.4463,16.23,G022028
335811769,333.0372,61.485,16.11,G022028;G022217
376020501,317.4689,65.1229,15.59,G022077;G022028
198456017,261.6808,58.6257,16.01,G022028;G022077;G022017
198479927,262.2332,55.9742,16.36,G022077;G022028
219780528,264.0354,61.0415,15.78,G022077;G022028
232605099,257.9268,64.48,16.39,G022077;G022028
232608294,258.5266,62.6468,16.04,G022028
233528682,280.2552,61.3426,16.23,G022077;G022028
233688182,275.3393,61.0172,16.73,G022028
233718692,276.1847,60.0333,16.19,G022077;G022028;G022217
284900652,261.0256,56.3342,16.42,G022077;G022028;G022217
357686299,275.124,58.078,14.23,G022077;G022028;G022217;G022017
383673264,278.9385,63.2151,16.33,G022077;G022028
390019679,277.5819,54.7925,15.16,G022077;G022028
424461085,279.5315,60.3617,15.7,G022077;G022028
471015213,266.475,60.7033,15.7,G022077;G022028
219099282,270.0394,68.5974,15.21,G022077;G022028;G022017
219863212,258.2745,69.5219,13.5,G022077;G022028;G022017
219884489,262.0059,69.644,15.87,G022077;G022028
229581336,270.3136,72.3136,16.18,G022077;G022028;G022217
229673607,252.7241,77.8128,15.45,G022077;G022028;G022217
229762574,281.288,68.3763,15.72,G022077;G022028
233197921,264.5108,66.8965,15.01,G022077;G022028
233206916,266.0307,68.2382,16.24,G022077;G022028
233212451,267.0121,70.8827,13.27,G022077;G022028;G022176;G022017
233235168,267.2679,71.7527,16.46,G022077;G022028;G022217
235674456,282.8171,73.0267,16.32,G022077;G022028
320323992,246.6646,74.5058,15.73,G022077;G022028
367840218,276.2884,77.9266,16.46,G022077;G022028;G022217
441765413,261.6599,77.5598,16.39,G022077;G022028
198316592,234.4336,65.0311,14.56,G022077;G022028;G022017
202420264,225.2095,64.2775,16.15,G022077;G022028;G022176
202440506,227.4109,63.5399,14.71,G022077;G022028;G022017
230059745,228.9707,66.7124,15.4,G022077;G022028
232979174,218.5735,65.6665,16.24,G022077;G022028
237104515,241.4014,68.235,16.22,G022077;G022028
458484139,235.4372,64.8977,15.62,G022077;G022028
159923025,240.3016,53.2848,16.18,G022077;G022028
162617347,245.1012,52.3893,14.69,G022077;G022028;G022217
198158212,242.9067,61.6929,16.28,G022077;G022028
198239605,249.1485,60.7,16.16,G022077;G022028
199574211,248.5786,57.1757,14.5,G022077;G022028;G022176
199666369,252.1082,59.0547,12.34,G022077;G022028;G022017
199710552,253.6703,57.7046,15.91,G022028
207427565,243.319,55.3572,16.01,G022077;G022028
274239484,250.237,53.6849,14.78,G022077;G022028
313424882,240.6748,57.9712,13.98,G022077;G022028
471013455,247.3005,55.2553,16.1,G022077;G022028
158591137,223.5655,55.198,16.37,G022077;G022028
158617990,223.8382,56.9291,15.02,G022077;G022028;G022017
165624606,227.4734,54.6623,15.92,G022077;G022028
165626749,227.9618,56.4124,16.17,G022028
193990614,230.444,52.3678,16.06,G022077;G022028;G022217
233641041,227.4382,45.7739,16.48,G022077;G022028
235559031,232.4291,48.6069,14.89,G022028;G022017
235567807,234.0667,50.2298,15.67,G022077;G022028
283819120,225.8651,46.0563,15.63,G022028
310166944,238.8905,50.4299,16.04,G022077;G022028
313386876,223.1247,46.4206,16.05,G022077;G022028
313405046,227.8603,53.4357,16.13,G022028
357389336,218.6792,53.5893,15.9,G022077;G022028;G022217
441705185,215.6745,51.5938,15.63,G022028
141822426,206.5066,57.0101,13.62,G022077;G022028
141872267,207.8351,54.9618,15.88,G022077;G022028
157271533,198.2433,58.086,14.06,G022077;G022028;G022017
159585994,208.0426,65.4166,15.61,G022077;G022028
159629632,220.3501,63.9595,16.03,G022028
355897123,201.146,62.4436,16.17,G022077;G022028
471015231,221.509,63.4899,15.57,G022077;G022028
155871645,195.8835,54.2068,16.02,G022077;G022028
165371937,200.9877,43.5986,9.32,G022028;G022062
219031924,206.6012,50.6839,16.23,G022077;G022028
219823668,204.0077,48.4795,13.54,G022028;G022069;G022077;G022017
233459202,210.9308,52.1134,16.16,G022077;G022028
286924740,203.8369,49.5186,16.06,G022077;G022028
288453456,203.15,47.0697,15.56,G022077;G022028
316275758,199.8037,45.0867,14.23,G022077;G022028;G022017
393896214,200.311,46.3904,14.67,G022077;G022028;G022017
458452691,204.8724,45.8487,15.13,G022028
158018621,216.2125,43.1571,16.29,G022028
168707746,213.9542,42.9802,16.4,G022077;G022028
168809633,215.1958,46.9334,16.4,G022028;G022217;G022077
23769401,208.9865,40.6818,15.84,G022077;G022028;G022217
23865024,211.2589,38.1656,16.37,G022077;G022028
27526838,217.6776,37.1704,15.6,G022077;G022028;G022217
28240367,222.5274,40.9258,16.11,G022077;G022028
316313845,222.9845,42.3614,16.12,G022028
393965191,212.4384,42.2668,15.03,G022077;G022028
394009348,213.0312,42.2739,16.18,G022077;G022028
441708021,216.1684,49.4994,15.18,G022028
67990605,217.9853,37.1085,15.64,G022077;G022028
