TICID,RA,Dec,Tmag,Keywords
40244907,301.0113,41.5879,9.91,G022062
40378419,301.0663,38.1287,11.61,G022062
408200371,307.2422,34.1351,8.98,G022062
416925825,304.0528,42.1087,8.66,G022062
41899759,302.0144,37.612,8.57,G022062
41998476,302.0164,40.7278,11.33,G022062
42244951,302.1907,37.237,8.48,G022062
42362686,302.2823,37.1519,8.85,G022062
427041696,305.0142,33.9431,7.99,G022062
43766762,303.1379,40.2682,7.21,G022062
63457037,308.5563,41.5841,10.13,G022062
63820329,308.7449,41.6048,9.14,G022062
83867325,297.6727,34.9512,7.22,G022062
89522181,301.3654,31.9717,8.38,G022062
89761288,301.5414,35.386,7.62,G022062
90349611,301.6457,35.7406,8.09,G022062
90463198,301.8487,35.7183,7.25,G022062
90978655,301.8726,35.3463,10.99,G022062
92059645,302.6926,33.8013,9.57,G022062;G022204
92645571,303.0951,32.8716,8.14,G022062
120891206,286.4124,37.9083,11.78,G022062
121022559,286.8454,37.8159,11.09,G022062
121083955,287.0574,37.9914,9.28,G022062
121124831,287.1761,38.4335,11.82,G022062
121213501,287.3409,38.3257,11.79,G022062
121214185,287.362,38.7142,7.76,G022053;G022062
121277143,287.4681,37.9667,10.0,G022062
121277445,287.442,37.794,6.49,G022062
121395039,287.7745,38.5039,11.06,G022062
121457732,287.9744,38.8424,11.85,G022062
122224804,290.1202,38.5094,11.84,G022062
122226990,290.0243,39.5633,11.29,G022062
122303843,290.2466,38.7901,7.96,G022062
122304494,290.1327,38.5136,10.86,G022062
122375269,290.2871,37.9365,10.21,G022062
122507978,290.5056,37.4589,10.96,G022062
122603719,290.847,39.804,11.78,G022062
122606463,290.8593,38.6338,11.64,G022062
122682776,291.0142,37.9697,11.93,G022062
122784501,291.0491,36.8402,11.52,G022062
137099260,291.2544,36.7434,11.88,G022062
137151074,291.407,38.5678,11.04,G022062
137151335,291.4181,38.6723,9.41,G022053;G022062
137152031,291.3975,38.9646,10.89,G022062
137152301,291.4282,39.0738,12.11,G022062
137219141,291.4763,38.5005,11.42,G022062
137482714,292.2048,39.1994,11.2,G022062
137483608,292.0795,38.8371,10.31,G022062
137549183,292.292,38.2843,10.39,G022062;G022204
137550312,292.2829,38.6657,10.51,G022062
137551461,292.3439,39.0693,11.55,G022062
137687487,292.6186,38.5249,11.46,G022062
137975907,293.095,38.3612,12.0,G022062;G022208
137977804,293.0363,37.7627,11.35,G022062
20992314,285.3115,35.6236,8.36,G022062
28569621,282.5073,33.1373,10.06,G022062;G022109;G022148
351055073,291.8918,37.5568,9.22,G022062
394177355,289.7424,39.267,7.67,G022062;G022204
394179202,289.6983,38.4066,11.66,G022062;G022204
394179296,289.7748,38.3668,11.25,G022062
40288117,293.2077,30.0214,9.91,G022062
40564267,293.3351,32.5769,8.78,G022062
42705187,286.8856,30.2551,7.0,G022062;G022038;G022173
42812942,287.2686,34.6014,6.12,G022103;G022171;G022062
71531463,295.6227,31.3278,10.34,G022062
161710825,309.5544,30.4784,10.94,G022062;G022204
199420503,306.968,30.7913,9.27,G022062;G022208
202946895,304.59,30.1559,9.06,G022062
243402385,308.8902,28.2798,9.8,G022062
243441917,309.0349,25.8827,6.27,G022062
282368998,311.5787,28.2624,9.56,G022062;G022208
291145873,310.1763,26.0791,6.7,G022062
298098738,308.5955,28.3614,9.71,G022062
298099177,308.5565,28.2411,10.04,G022062
298421458,312.0261,27.457,8.02,G022062
363672851,307.9928,25.8049,6.09,G022062;G022223
436168322,306.3901,27.3691,9.59,G022062
99407046,309.9012,30.8139,6.32,G022062
165310952,299.243,54.7996,8.45,G022062
229461186,295.1026,60.9203,10.85,G022062;G022208
229913521,287.4277,64.8589,9.91,G022062
229944718,288.1841,62.2707,10.37,G022062
233282561,300.2118,55.6894,9.84,G022062
233310793,300.8151,58.9546,11.64,G022062
233532554,280.4475,62.6764,9.6,G022062
233539736,281.0183,60.7701,10.48,G022135;G022062
233574062,282.1553,61.87,10.41,G022062
233904049,304.7456,56.6055,9.42,G022062
236872887,302.914,63.5274,7.7,G022135;G022062
243319567,289.7004,55.5945,10.9,G022062
243352373,290.2687,56.3285,10.23,G022062;G022208
243352809,290.4019,56.843,11.34,G022062
267808239,293.1229,56.3881,9.58,G022062
284364590,290.7668,56.1347,10.4,G022062;G022103
377190161,285.6751,58.7328,10.11,G022062;G022208
377192659,285.9148,57.4572,8.36,G022062
377251803,286.2642,57.126,9.05,G022062
377253090,286.1923,58.9513,11.84,G022062
377296926,286.8154,55.0128,11.98,G022062
377307592,286.9862,59.3978,11.73,G022062
424721218,294.6015,56.5403,11.64,G022062
193886356,270.5579,47.0194,9.98,G022062
21179665,275.9379,51.6495,8.19,G022062;G022171
232629077,268.981,56.036,8.04,G022062
232634196,269.4385,56.1961,9.92,G022062
232637164,281.123,56.779,7.89,G022062
237130278,277.8058,52.7854,11.01,G022062;G022208
263930790,276.7499,53.0622,10.44,G022062
284890361,260.4364,54.5592,11.66,G022232;G022062;G022208
289722957,274.1804,53.2465,11.51,G022062
298598960,271.9596,51.4671,12.03,G022062
298666271,278.3516,58.7065,8.77,G022062
298734307,278.6094,57.8018,7.21,G022062
329248002,263.8179,55.0034,8.8,G022062
353854078,271.1411,58.3985,9.83,G022062
353939279,272.315,58.0175,9.37,G022062
356150515,266.4807,52.6346,11.55,G022062
356198153,266.883,50.9425,11.8,G022062
356199330,266.9145,53.822,10.16,G022062
356240274,267.7113,50.0472,11.75,G022062
356340346,268.3646,52.3855,8.15,G022062
356896550,273.1198,54.7815,9.88,G022062
356896561,273.1707,54.7685,9.15,G022062
356920361,273.6707,56.5884,6.31,G022062
357527284,270.1372,56.4553,7.63,G022062
359313470,267.9367,56.1202,6.83,G022062
359634548,280.7345,55.4514,6.61,G022062
389916225,275.7725,58.9035,10.1,G022062
389917311,275.9931,58.8243,7.38,G022062
390021728,277.7935,56.4175,11.54,G022062;G022208
392536812,280.4675,58.0563,11.22,G022062
399788405,278.1634,57.6482,11.39,G022062
420947520,273.5727,48.1881,10.44,G022028;G022062
47626069,278.7917,51.888,10.83,G022062;G022208
47734464,279.7132,52.3443,7.01,G022062
48356677,283.723,51.3087,7.42,G022062
48499902,284.7577,52.4682,11.64,G022062;G022204
120251815,284.3521,40.7147,11.19,G022062
120258315,284.5079,38.2662,5.98,G022062;G022171;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
120315082,284.6231,39.1824,9.85,G022062
120317590,284.5855,41.0096,11.36,G022062;G022204
120319930,284.7599,41.0434,10.21,G022062
120420369,284.9916,41.4334,11.51,G022062
120499528,285.4108,39.0411,11.85,G022062
120576722,285.5196,41.55,11.16,G022062
120578214,285.6587,41.3143,11.43,G022062
120626764,285.7275,39.8413,11.82,G022062
120628321,285.6555,38.8505,11.81,G022062
120684604,285.8863,39.6834,10.62,G022062
120764848,286.1542,39.0656,12.04,G022243;G022062;G022204
120893542,286.3909,39.3343,12.02,G022062;G022204
121016578,286.9136,41.4815,11.91,G022062;G022204
121017205,286.83,41.0541,7.17,G022062
121020626,286.9484,38.9282,7.71,G022062
121108244,287.0809,40.0464,11.71,G022062
121119758,287.2069,40.003,10.17,G022062
121121622,287.1648,39.3769,11.15,G022062
121122016,287.2629,39.26,11.61,G022062;G022204
121215583,287.3733,39.5261,11.59,G022062;G022204
121274442,287.4394,39.5514,10.86,G022062
121326995,287.6163,39.1272,11.91,G022062
121327450,287.6032,39.3976,11.73,G022062
121393780,287.8334,39.2212,11.46,G022062
121460104,288.0198,40.1271,8.8,G022062
121463130,288.0365,41.79,11.37,G022062
121598562,288.2709,40.4003,11.07,G022062
121604042,288.4721,40.0877,11.29,G022062;G022204
121732964,288.6266,40.4546,8.8,G022062
121866154,288.9267,39.8118,11.19,G022062;G022204
121945407,289.2874,41.2648,6.29,G022062
121947161,289.2658,40.2555,10.78,G022062;G022204
122070918,289.6393,39.775,11.44,G022062
122136964,289.861,41.4082,10.14,G022062
122446076,290.5175,40.6968,10.86,G022062;G022208
122597845,290.5962,41.1856,11.79,G022062
122603455,290.7381,39.9197,11.12,G022062
122712115,291.0714,40.9169,11.49,G022062
123198156,280.7721,44.1887,10.51,G022062
123201406,280.9439,42.8391,11.16,G022062
123201494,280.9024,42.9356,11.86,G022062
123310053,281.2739,47.7744,10.34,G022062
123311124,281.3916,46.4736,11.46,G022062
123357793,281.4813,47.1228,9.5,G022062
123357864,281.4824,47.2078,10.85,G022053;G022062
123357952,281.4873,47.3195,11.71,G022062
123409994,281.8825,43.3002,10.71,G022062
123416563,282.1832,43.7064,11.87,G022062
123444976,282.1949,46.5229,9.62,G022062
123447592,282.3012,46.5162,12.0,G022062;G022053
137341354,291.7181,41.3899,11.93,G022062
137408317,291.9801,41.5593,12.09,G022062
137408962,291.993,41.8841,11.94,G022062
157889314,280.6341,37.9262,11.34,G022062
158113583,286.0085,45.3561,11.3,G022062
158173344,286.0572,45.9494,11.31,G022062
158218818,286.4997,43.1304,12.12,G022062
158272742,286.556,46.9573,11.05,G022062
158276780,286.6433,43.4598,11.54,G022062
158316873,286.6969,42.451,10.75,G022062;G022121
158321712,286.7491,46.539,9.18,G022062
158324163,286.9557,46.9366,9.4,G022062
158324245,286.9712,46.8683,9.57,G022197;G022062;G022053
158324531,286.8598,46.6255,11.93,G022062
158389967,287.1247,43.6002,12.1,G022062
158393140,287.1531,45.9838,11.88,G022062
158431889,287.3915,43.0988,12.0,G022062
158491132,287.6039,46.4129,10.48,G022062
158491288,287.6318,46.2987,11.99,G022062;G022204
158491422,287.6375,46.2045,9.98,G022062
158552265,287.5149,42.9118,11.66,G022062
158555987,287.8072,43.1888,11.9,G022062;G022053
158561566,287.7088,47.3331,11.64,G022197;G022053;G022062
158630307,287.8637,43.3041,11.98,G022062
158635832,288.0875,43.8762,11.0,G022062;G022121
158660631,288.0203,46.3244,8.8,G022062;G022039
158726046,288.4097,43.7072,10.35,G022062
158728853,288.4416,45.609,11.23,G022062
158787519,288.5996,46.0318,10.01,G022062
158794976,288.7185,42.5023,9.94,G022062
158988347,289.2316,45.1644,10.82,G022062
159047480,289.4052,44.5155,12.0,G022156;G022062
159105713,289.7494,43.5434,11.47,G022062
159105847,289.6946,43.626,9.52,G022062
159107668,289.7397,44.6473,11.16,G022062
159169838,289.7392,45.4582,11.94,G022062
159176945,289.884,45.304,11.29,G022062
159220329,289.9738,43.654,11.2,G022062
159306035,290.1863,43.7238,11.99,G022062;G022204
159386347,290.3464,44.8174,11.44,G022062
159441328,290.5115,44.556,11.82,G022062;G022204
159443078,290.4832,43.6223,12.0,G022062
159444013,290.5869,43.1166,11.52,G022062
159444225,290.5139,43.0098,11.18,G022062
159449703,290.7038,43.6074,10.14,G022062;G022106
159573299,290.8067,42.3439,11.59,G022062;G022204
159578658,291.0406,44.1157,11.88,G022062
159717514,291.3655,42.7833,16.61,G022062
164413080,283.0122,42.7213,10.58,G022062
164415700,283.087,45.3904,11.87,G022062
164458426,283.1663,45.4031,11.87,G022156;G022062
164458714,283.1511,45.1402,9.03,G022062;G022053
164461124,283.169,42.7921,11.11,G022253;G022062
164463075,283.2592,42.8455,11.52,G022062
164524541,283.3859,47.436,11.49,G022062
164527723,283.4699,45.0525,11.33,G022156;G022253;G022062
164552564,283.6073,43.0041,10.84,G022062
164557531,283.7665,47.8191,10.54,G022062;G022208
164558072,283.8663,47.2283,10.51,G022062
164646288,283.9097,42.131,10.5,G022062
164652245,284.0592,44.5184,9.06,G022062;G022053
164674435,284.355,42.1027,6.8,G022062
164674992,284.3137,42.6009,11.06,G022062
164677806,284.3976,45.1289,11.26,G022062
164726308,284.4955,44.988,7.99,G022062
164781045,284.7045,46.3787,11.82,G022062
164782264,284.6694,47.5776,11.5,G022062
164784369,284.8385,46.1989,10.62,G022062
164784457,284.8071,46.0979,12.0,G022062
164833847,284.9397,47.3353,11.85,G022062
164835943,285.0776,46.4197,9.86,G022062
164883253,285.0947,44.6663,11.48,G022062
164884235,285.1829,43.831,10.22,G022062;G022053
258203378,282.9722,40.7271,11.39,G022062
267666834,284.5681,49.7795,11.01,G022062
267667621,284.5418,48.9612,9.52,G022062
267667927,284.4661,48.6552,11.32,G022062
298785446,287.808,49.3781,10.83,G022062
299032481,288.5773,48.1294,11.55,G022062
350987976,283.7775,40.842,9.78,G022062
352010858,285.6098,43.2054,10.3,G022062
352011875,285.6729,44.1168,11.8,G022062;G022053
352012002,285.6162,44.2156,11.79,G022062
352015343,285.5426,47.2875,7.21,G022062
377728331,282.8618,39.3206,7.28,G022062
377780790,285.6793,50.2415,10.48,G022053;G022062
394172596,289.753,41.6312,8.11,G022145;G022080;G022053;G022062
399954349,287.6057,49.5234,11.61,G022149;G022053;G022062
405684844,285.906,49.2874,11.55,G022062
405685900,285.9762,48.3208,11.7,G022062;G022204
405685992,285.9783,48.2255,11.87,G022062;G022204
405687343,286.0193,48.8668,7.62,G022062
48031665,282.0004,48.5423,9.07,G022062
48084398,281.8734,49.432,6.84,G022062
48189126,282.6142,48.02,11.41,G022062
48304328,283.1246,48.735,9.3,G022062
48353358,283.6282,48.3908,12.1,G022053;G022062;G022238
48418928,284.0266,49.4153,10.57,G022062
48450369,284.7862,48.4233,8.33,G022062;G022053
48450535,284.7619,48.6099,11.13,G022253;G022039;G022062
48506689,285.2448,48.745,11.39,G022062;G022232
48507019,285.2162,49.0894,9.81,G022062;G022204
63006634,291.8705,42.3287,11.71,G022062
7849727,275.4096,42.1687,10.0,G022062
138098461,293.2967,41.8741,11.15,G022062
138221966,293.6252,41.6615,11.84,G022062
138429650,293.8645,41.7169,11.72,G022062
138430438,293.8964,41.8318,11.33,G022062
138638780,294.2413,41.6199,9.53,G022062
138639253,294.2791,41.4368,11.54,G022062;G022204
159644070,291.2451,47.2492,10.77,G022062
159723646,291.2787,45.9342,11.45,G022062
159726150,291.3705,47.4356,11.56,G022062
169175441,297.1441,41.8817,11.49,G022062
184947995,300.7686,44.8306,9.83,G022062
184998729,300.8331,43.9623,11.9,G022062;G022204
185057693,301.0388,44.0712,10.33,G022062;G022115
185058177,300.9686,44.192,9.85,G022062
185059488,301.0483,44.603,11.22,G022062
185060842,300.9949,45.0789,11.87,G022062
185060864,301.0472,45.0876,9.2,G022062
185062334,300.9514,45.6041,8.63,G022062
185109374,301.1143,44.8258,11.57,G022062
185186949,301.2615,45.1049,9.84,G022062
185286922,301.4053,44.3268,9.92,G022062
185403173,301.7413,46.2994,9.07,G022062
185775579,302.5556,43.946,6.79,G022062;G022103
186137970,303.188,47.3948,10.28,G022071;G022062;G022204
233898009,304.4596,54.3227,6.28,G022062;G022103
239233211,299.9821,46.2623,11.22,G022062
239233619,300.0213,46.0908,11.82,G022062
239235925,300.0683,45.1017,10.75,G022062
239276223,300.1156,45.1679,11.35,G022062
239290086,300.2828,44.6702,11.43,G022062
239290461,300.318,44.5351,11.57,G022062
239291500,300.3325,44.1441,11.91,G022062
239306767,300.4068,44.4142,10.84,G022062
239308404,300.4594,45.0127,12.01,G022062
239309691,300.5397,45.5072,10.92,G022062
239311194,300.5376,46.1043,11.1,G022062
240178198,292.9217,46.8121,10.83,G022062
240195381,300.6827,44.7886,10.86,G022062
26417155,291.627,48.093,10.03,G022062
26419206,291.6121,49.4692,7.09,G022062
264508409,298.5271,48.4186,9.66,G022062
26489741,291.7002,50.1459,6.88,G022062;G022171
26541137,291.928,49.2969,11.07,G022062
26584043,292.0442,48.9432,9.33,G022062
26597569,292.7196,48.852,9.51,G022062
26656583,292.5761,49.5261,10.3,G022062
266920154,306.0495,48.9239,9.45,G022062
267749737,290.102,48.2511,11.77,G022062;G022053
267990226,298.443,48.4128,10.96,G022062
267991311,298.4267,47.9742,10.77,G022062
268289462,298.7989,42.3909,10.88,G022062
268297677,298.854,43.4349,11.66,G022062
268299560,298.8165,43.6733,11.61,G022062
268302473,298.7787,44.0626,11.91,G022062
268303870,298.7603,44.2662,11.92,G022062
268305489,298.8286,44.4891,10.81,G022062
268380299,298.8002,46.6653,7.32,G022062;G022027;G022204
268380746,298.854,46.8269,9.62,G022062
268383780,299.0568,47.9093,11.36,G022062
268384099,298.9546,47.7736,11.36,G022062
268387175,299.0406,46.6611,10.84,G022062
268482699,299.0738,44.4316,12.27,G022062
268610013,299.1617,45.0519,11.42,G022062
268711288,299.3679,45.8839,11.66,G022062
268923307,299.4595,43.3305,7.75,G022062
269031095,299.5865,46.7655,10.57,G022062;G022204
269121699,299.735,43.8779,9.86,G022062
269123135,299.602,43.696,10.39,G022062
269126567,299.701,43.2956,9.5,G022062
26962050,293.7681,48.421,11.93,G022062
26965421,293.7688,50.6281,7.73,G022062
27006880,293.8268,50.0765,11.9,G022062;G022204
27014615,294.1088,50.5427,10.65,G022062
270517432,293.4736,46.9704,10.01,G022062;G022204
270613669,293.6832,43.9458,6.65,G022062
270615728,293.6205,44.9672,12.05,G022062;G022232
270616815,293.6933,45.517,11.85,G022062
270619211,293.5419,46.8222,9.76,G022062
270698296,293.7701,46.2365,11.9,G022062
270698316,293.7165,46.2267,10.57,G022062
270700608,293.7857,45.0184,11.31,G022062;G022204
270701667,293.742,44.4482,10.96,G022238;G022053;G022062
270788955,293.9033,46.0989,11.46,G022062
270789855,293.8834,46.5897,7.91,G022062
270856764,294.1596,45.3759,11.84,G022062
270863324,294.0318,42.4688,10.3,G022062
270864138,294.0955,42.1615,11.73,G022062
270949363,294.2317,42.5901,11.59,G022062
270951922,294.2019,43.6553,11.11,G022062
270957464,294.2675,46.3021,11.28,G022062
271040947,294.4607,46.5897,11.92,G022062;G022204
271041303,294.3688,46.405,11.75,G022062
271044027,294.3567,45.1239,12.06,G022062
271047463,294.4982,43.5838,11.73,G022062
271158877,294.5265,43.3964,10.43,G022062
271162223,294.5535,44.8504,11.96,G022062
271253876,294.8448,46.7042,11.75,G022062
271347126,294.8559,42.9373,11.15,G022062
271352011,294.9902,45.1272,11.19,G022062
271354390,294.9758,46.3043,11.62,G022062
271423638,295.0444,47.1964,11.59,G022062
271424481,295.1507,46.7721,11.97,G022062
271424521,295.1617,46.7506,10.57,G022062;G022204
271424675,295.1458,46.6779,11.94,G022062
271539287,295.2738,43.0599,12.0,G022062
271547896,295.2281,46.7849,9.87,G022062
271547961,295.2,46.8145,11.41,G022062
271664383,295.3376,45.5047,9.06,G022062
271668161,295.4397,44.039,9.88,G022062;G022121
271671025,295.4042,42.9812,11.22,G022062;G022053
271671189,295.467,42.9279,11.65,G022062
271763138,295.5763,43.1903,11.03,G022062;G022204
271773721,295.629,46.0514,12.04,G022062;G022204
271877841,295.8046,47.6709,11.61,G022062
27187870,294.4017,50.1721,11.81,G022062
271881482,295.8029,45.9879,9.17,G022062
271882245,295.777,45.6736,11.5,G022062
271958272,295.7166,43.1646,11.91,G022062
271967202,295.9351,43.4781,11.61,G022062
272071974,295.9479,44.8279,11.77,G022062
272074664,295.8545,45.8922,11.96,G022062;G022204
272079818,296.1498,47.6533,11.4,G022062
272176884,296.0164,43.4368,11.53,G022062
272179220,296.0586,42.6695,11.9,G022062;G022204
272368236,296.4082,44.9637,7.64,G022062
272489043,296.5648,43.9476,8.27,G022062
272489100,296.556,43.9678,12.05,G022062
272489221,296.4818,44.0093,9.66,G022062;G022103
272598447,296.5724,47.7527,11.26,G022062
272599738,296.7489,47.5438,8.86,G022062
272606395,296.665,44.8531,11.31,G022062;G022204
272607848,296.6732,44.3485,6.49,G022062
272609309,296.7313,43.8411,10.4,G022062
272706129,296.6699,43.4726,11.19,G022062
272719652,296.8299,44.5491,11.24,G022062
272720444,296.9349,44.8501,10.89,G022062
272839425,296.8446,47.1044,11.55,G022062
272839847,296.8986,47.2816,12.0,G022062
272841995,297.1198,47.624,11.36,G022062
272843045,296.9934,47.1466,10.16,G022062
272844506,297.029,46.5287,11.63,G022062
272941454,297.0398,43.8728,11.64,G022062
272942353,296.9856,43.5813,10.41,G022062
272944291,297.0565,42.9832,11.59,G022062
272945156,296.9863,42.7301,9.24,G022062
273036521,297.1806,43.7645,11.72,G022062
273038330,297.2551,44.3767,8.15,G022062
273042299,297.2024,45.8498,11.84,G022062
273042650,297.1818,45.9885,10.48,G022062
273043307,297.1434,46.2285,11.05,G022062
27307817,294.7495,49.6556,10.43,G022062;G022204
27308818,294.8804,50.2669,11.08,G022062
273131564,297.3132,46.4482,12.02,G022062
273231214,297.3331,41.8911,11.79,G022149;G022062;G022053
273371098,297.531,46.0175,11.96,G022062
273372402,297.508,46.5215,12.02,G022062
273373040,297.5496,46.7828,12.03,G022062
273373712,297.5098,47.0544,11.96,G022062
273376048,297.6944,47.8789,11.72,G022062
273379486,297.7258,46.5489,11.15,G022062
273501820,297.7411,42.9961,11.05,G022062
273574141,297.9232,43.2562,11.08,G022062
273583841,297.8999,45.4665,11.16,G022062
273594336,297.9296,47.3906,9.72,G022062
273684561,297.9904,46.6103,11.24,G022062
273684688,298.0969,46.5649,11.21,G022062
273687627,297.966,45.5456,11.56,G022062;G022204
273778807,298.2075,42.2011,11.61,G022062
273782052,298.1156,42.9787,10.9,G022062
273865522,298.2066,44.6647,11.1,G022062
273872891,298.1489,47.2772,10.45,G022062
273874851,298.3713,47.8138,11.4,G022062
273875270,298.3585,47.6385,11.58,G022062
27396969,295.1429,49.9931,11.11,G022062
27397122,295.2166,50.0843,11.75,G022062
27397490,295.2125,50.3168,11.18,G022062
274024023,298.4224,44.3277,11.84,G022062
274031155,298.3242,42.3885,10.85,G022062
274120769,298.5506,42.5611,8.85,G022062
274120780,298.5493,42.5635,9.74,G022062
274127085,298.4551,44.3134,9.58,G022062
274129522,298.4485,45.1042,11.53,G022062;G022204
27531506,295.572,49.4782,10.6,G022062
27533666,295.5987,50.7206,10.35,G022062
275488116,293.0522,46.9335,10.51,G022062
275489982,293.0928,45.6918,11.72,G022062
275575030,293.221,45.8438,11.85,G022062
275576176,293.2332,46.6001,12.02,G022062;G022204
275658545,304.7069,46.3221,6.58,G022062
27639466,295.7964,50.8959,10.28,G022062
27695471,296.0861,51.1271,9.15,G022062;G022103
27766908,296.1397,50.3858,12.04,G022062
27767184,296.0071,50.2327,9.96,G022062
27769688,296.1328,48.9773,11.35,G022149;G022053;G022062
27843942,296.4419,51.2243,11.83,G022062;G022208
27844498,296.4907,50.9059,11.19,G022062
27845677,296.4643,50.2861,11.2,G022062;G022204
27845826,296.3859,50.2049,11.82,G022062
27846645,296.4534,49.7865,10.65,G022062
27914890,296.7702,48.9222,10.51,G022062
27915909,296.826,48.4434,10.39,G022003;G022062;G022204
28159019,297.3154,49.706,11.24,G022062
28230919,297.7104,48.0821,8.51,G022062;G022200;G022053
28233980,297.7151,49.5737,12.57,G022062
28306907,297.8357,49.5458,11.77,G022062
28356314,297.9449,48.5577,11.72,G022062
28359831,298.0926,48.1045,10.83,G022062
28449295,298.2774,48.6408,11.51,G022062
290032774,290.6631,50.7047,11.91,G022062
290035575,290.6963,48.203,10.66,G022062
295527759,303.546,51.7867,10.16,G022062
