# TESS Program G03059

Title: Mitigating The Unknown Physics Of Massive Star Evolution With Asteroseismology

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective core overshooting. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star's interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 027 targets observed (2 min: 346, 20 s: 5)
294867833,71.5055,-70.1612,9.91,G03059
294872353,71.7686,-67.1148,11.19,G03059;G03095
294923213,72.0233,-69.6389,12.47,G03059
294977381,72.3017,-69.4565,10.43,G03059
29830068,66.3132,-67.143,11.63,G03059
29986496,72.9731,-68.4323,12.79,G03059
29987961,72.9112,-67.5653,12.96,G03059
29990592,73.0796,-66.7315,11.64,G03059
30031510,72.9922,-69.4261,9.19,G03059;G03095
30104033,73.3725,-69.4091,11.12,G03059
30106140,73.4304,-68.7148,11.04,G03059
30110048,73.3752,-66.9245,10.91,G03059
30111936,73.8431,-66.472,11.56,G03059
30112388,73.739,-66.7524,10.81,G03059;G03095
30113151,73.7962,-67.1696,9.6,G03059;G03095
30113318,73.6839,-67.2474,11.74,G03059;G03095
30113337,73.6329,-67.2568,11.76,G03059
30188536,73.6917,-68.9627,12.26,G03059
30190076,73.6729,-69.4366,12.47,G03059
30268695,74.0436,-69.2606,12.15,G03059
30275662,74.0979,-66.4978,10.38,G03059
30275777,74.1707,-66.4611,11.11,G03059
30275795,74.0857,-66.4539,11.35,G03059
30275861,74.1803,-66.4174,12.17,G03059
30312676,74.2868,-66.3903,11.3,G03059;G03278;20SECONDTARGET
30312711,74.2537,-66.407,13.1,G03059
30312722,74.2108,-66.4098,12.39,G03059
30312800,74.3237,-66.4421,12.76,G03059
30312916,74.2671,-66.4863,10.9,G03059
30313007,74.2132,-66.5302,11.43,G03059
30315586,74.4033,-67.7937,12.21,G03059
30317282,74.2723,-68.4147,13.19,G03059
30317301,74.2836,-68.4201,10.1,G03059;G03095
30321719,74.2333,-69.6286,12.44,G03059
30322368,74.1962,-69.8402,10.35,G03059
30405752,74.4894,-69.5386,12.59,G03059
30408670,74.643,-68.7642,13.13,G03059
30409022,74.7648,-68.6768,10.96,G03059
30467068,74.6472,-67.4129,12.16,G03059
30638473,75.1994,-68.6295,12.53,G03059
30722685,75.3864,-68.2206,12.58,G03059
30852936,75.7868,-66.9597,10.61,G03059
30930925,76.0672,-67.1238,12.71,G03059
30931370,76.0415,-67.3305,11.86,G03059
30933383,76.2091,-68.1312,12.19,G03059
309702035,79.7156,-65.6896,11.89,G03059
