TICID,RA,Dec,Tmag,Keywords
349827430,161.9086,71.6556,7.92,G06124;G06062;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
252479260,155.6814,50.1289,9.01,G06165;G06062;G06200;G06058;G06032;G06142;20SECONDTARGET
458478250,232.1466,66.3587,9.77,G06058;G06062;G06165;G06200;G06032;G06057;G06142;20SECONDTARGET
257060897,227.5323,72.7103,11.26,G06062;G06058;G06165;G06165;G06032;G06097;G06142;20SECONDTARGET
293687315,216.5237,59.4443,9.82,G06062;G06165;G06200;G06058;G06032;G06097;G06142;20SECONDTARGET
219854185,256.7705,70.2385,10.8,G06058;G06165;G06194;G06032;G06142;20SECONDTARGET
284475976,291.1624,55.473,11.15,G06062;G06058;G06165;G06032;G06142;20SECONDTARGET
229400092,292.4589,62.5292,11.21,G06165;G06062;G06058;G06032;G06142;20SECONDTARGET
229510866,297.2158,64.3544,10.08,G06058;G06062;G06165;G06032;G06203;G06142;20SECONDTARGET
158324245,286.9714,46.8682,10.23,G06062;G06058;G06165;G06200;G06057;G06032;G06185;G06185;G06142;20SECONDTARGET
399860444,286.8085,49.3164,10.85,G06062;G06058;G06165;G06032;G06057;G06142;20SECONDTARGET
424865156,292.2471,47.9696,10.03,G06165;G06062;G06058;G06032;G06185;G06142;20SECONDTARGET
203189770,304.8,32.581,10.42,G06062;G06165;G06058;G06032;G06142;20SECONDTARGET
377873569,294.3566,38.9473,11.04,G06062;G06165;G06185;G06203;G06142;20SECONDTARGET
69679391,294.6614,31.2192,7.55,G06036;G06040;G06062;G06165;G06200;G06058;G06032;G06142;20SECONDTARGET
16740101,307.86,39.939,7.58,G06062;G06165;G06200;G06058;G06057;G06032;G06142;20SECONDTARGET
