TICID,RA,Dec,Tmag,Keywords
309620802,179.2242,40.356,8.31,G06194
316214167,186.8452,43.4922,9.45,G06194
393888836,192.5214,42.2178,8.04,G06194
445830619,183.0114,46.6009,7.88,G06194
458445966,188.4292,41.3594,3.69,G06200;G06191;G06194;G06098;20SECONDTARGET
53569409,182.7122,50.5467,7.58,G06194
9454086,182.9495,40.8255,9.05,G06194
9454344,182.9717,38.7674,7.95,G06194
105615059,199.5496,31.6301,7.55,G06194
165944632,194.9828,32.4801,8.13,G06194
165979288,195.6561,34.8591,9.21,G06194
166010285,197.4666,31.3664,9.1,G06194
166050407,197.6911,34.3005,6.46,G06194
166067106,198.0087,32.0852,6.91,G06194
180570279,197.6534,35.935,7.37,G06194;G06057
180607292,198.1982,40.5043,9.05,G06194
180629535,199.1792,38.4509,8.65,G06194
180670019,200.201,37.5653,8.26,G06194
180672365,200.5166,39.8687,8.4,G06194
180695775,201.2341,37.5337,8.7,G06194
180695790,201.2451,37.4353,8.12,G06194
22008782,195.5928,37.345,7.63,G06194
22018617,196.1045,41.5546,8.69,G06194
22817261,203.6999,37.1823,4.45,G06194
23739452,207.8621,37.7189,7.85,G06194
321437430,203.1921,34.9374,8.66,G06194
330800924,200.4108,30.5222,8.48,G06194
376607408,190.4718,35.0492,8.6,G06194
389803724,190.6228,35.9493,8.94,G06194
389852367,191.0885,38.4166,8.89,G06194
389852720,191.1305,36.2792,9.83,G06194
417121131,200.6675,35.9291,8.19,G06194
43135807,201.4828,31.861,7.75,G06194
444043522,204.232,35.0511,8.39,G06194
5080084,190.909,35.3106,8.66,G06194
71613702,202.5049,33.2812,8.37,G06194
71615068,202.6254,34.4926,7.44,G06194
159840156,236.4621,53.8612,9.14,G06194
161722508,236.429,57.2634,7.36,G06194
161728865,237.5223,56.4476,8.89,G06194
161728911,237.3919,56.6755,9.88,G06194
161825707,240.4638,59.6311,7.28,G06194
161825882,240.4681,58.5675,3.52,G06194
161826099,240.5236,57.1687,9.4,G06194
161840089,241.4789,54.9244,9.21,G06194
161840326,241.6168,56.0698,7.67,G06194
161840630,241.6124,57.5939,8.01,G06194;G06057
198205953,247.0492,60.6803,8.85,G06194
198206331,246.9598,62.3325,8.26,G06194
198240449,249.3678,62.241,11.17,G06194
198517856,236.864,61.0228,8.08,G06194
198538099,237.3136,60.5274,7.44,G06194
198538690,237.2782,63.1426,7.83,G06194
199574316,248.6356,57.5891,9.68,G06194
199607936,248.8531,59.3667,9.18,G06194
199616650,249.9106,57.7292,10.54,G06194
199632490,250.2854,58.0891,8.97,G06194
199662263,251.3582,55.59,10.24,G06194
199663593,251.5598,56.9699,10.22,G06194
199685781,252.8414,59.5416,8.16,G06194
199687053,252.8521,55.3194,9.13,G06194
199688420,253.214,57.7685,8.85,G06194;G06024
199708887,253.6374,55.7194,10.63,G06194
199716287,254.318,58.7795,10.91,G06194
202490444,229.8275,61.3748,6.85,G06194
202506370,230.9488,62.9492,7.77,G06194
202506847,231.0699,60.5506,6.58,G06194
207431303,243.7454,57.8742,8.01,G06194
207431602,243.6702,59.1519,8.82,G06194
207433212,243.9576,54.4192,8.84,G06194
207439140,244.7515,56.7575,9.42,G06194
207439389,244.786,55.9117,9.41,G06194
207461550,245.0386,55.4898,8.67,G06194
207464356,245.5164,57.1802,9.65,G06194
207465481,245.7201,54.766,8.92,G06194
207490175,246.1837,58.2581,8.95,G06194
207491740,246.3253,55.5128,10.39,G06194
207494095,246.7449,58.8312,11.03,G06194
207497984,247.1319,56.7351,9.8,G06194
207504645,248.2042,58.7908,9.76,G06194
219740926,242.152,62.4855,8.12,G06194
224601836,255.2751,57.115,7.65,G06194
287087262,252.5967,60.0769,8.46,G06194
287139950,253.6106,60.9709,9.41,G06194
287140180,253.5134,61.6468,7.59,G06194
287150196,253.6145,63.5151,11.91,G06194
289540856,251.7269,62.6382,10.17,G06194
289572507,252.0564,61.1851,10.63,G06194
289621776,254.1191,63.0338,11.84,G06194
289623357,254.3443,62.8551,10.74,G06194
298265623,247.7926,57.9092,9.05,G06194
298265902,247.6838,59.0609,9.62,G06194
298290535,251.7947,55.8755,9.33,G06194
459968655,254.7655,61.1471,8.54,G06194
462615795,251.2046,61.6107,10.39,G06194
154182843,214.3894,70.3588,8.92,G06194
156464342,217.7485,72.2503,8.64,G06194
156495658,219.2083,72.6076,10.15,G06194
156495918,219.7073,72.4599,9.86,G06194
156508492,219.741,72.2899,7.58,G06194
156510437,220.8416,74.6344,10.06,G06194
160394710,232.082,77.1559,10.51,G06194
160395409,232.6101,75.3481,10.71,G06194
160409535,233.8401,75.6705,9.36,G06194
160410813,233.9983,74.0795,9.1,G06194
160421065,235.0281,74.4505,10.21,G06194
160438146,235.9097,77.2166,7.8,G06194
160473764,237.7283,77.2654,8.03,G06194
160488002,237.9493,73.3176,7.83,G06194
160492937,239.37,76.0912,7.49,G06194
160536588,241.9393,76.735,9.47,G06194
160550963,241.7384,73.9429,8.98,G06194
160583440,243.0825,73.1847,10.46,G06194
160585543,243.3058,73.9053,9.43,G06194
160599736,243.8581,75.2639,8.34,G06194
160601624,244.3332,72.6222,10.82,G06194
198509325,210.9594,72.9459,7.8,G06194
199505279,213.7765,73.3337,8.3,G06194
202509450,231.8787,65.2125,11.19,G06194
219005057,220.6383,68.0224,9.74,G06194
219467003,209.7191,72.921,9.61,G06194
219467520,209.9615,73.398,7.18,G06194
219734037,230.3576,74.261,9.3,G06194
230059076,228.7688,70.3384,10.1,G06194
230069843,243.0378,69.4508,9.01,G06194
230070379,243.0317,66.9445,10.38,G06194
230071650,243.4047,70.5973,9.42,G06194
230077742,245.0929,69.9492,9.42,G06194
230078093,245.0218,68.4159,10.77,G06194
230079837,245.1142,71.0036,11.01,G06194
230084858,246.4968,69.3741,9.95,G06194
230090072,247.6143,67.3519,8.21,G06194
230091378,247.8308,70.9387,11.24,G06194
230091380,247.9271,70.9334,7.83,G06194
230091821,248.0001,68.9836,9.86,G06194
230114337,248.7323,69.2878,9.75,G06194
230118493,249.5896,70.3373,8.63,G06194
230118661,249.6721,69.6615,8.76,G06194
230118997,249.8084,68.3208,7.78,G06194
230119249,249.8498,67.4139,11.4,G06194
230122220,250.3133,68.2586,10.15,G06194
230128308,251.4471,69.6385,7.95,G06194
230128917,251.4601,67.3385,11.57,G06194
230129793,251.7722,67.3978,10.7,G06194
230131418,252.011,70.1139,8.28,G06194
230131532,252.2294,69.7062,9.88,G06194
230133143,252.3278,67.8494,11.36,G06194
232538464,227.2401,68.5757,10.71,G06194
232563914,228.6636,67.3441,4.66,G06194
232985036,242.3799,67.365,8.61,G06194;G06057
233006934,247.5166,76.0239,9.93,G06194
233008356,247.9831,73.6159,8.75,G06194
233170034,215.4186,71.8284,9.55,G06194
233186568,225.0424,70.6146,7.17,G06194
233187349,224.9248,66.6098,9.27,G06194
233189854,225.8669,66.8141,10.55,G06194
237102849,241.0935,67.7924,8.77,G06194
256980547,223.09,72.2445,9.85,G06194
257002707,223.9319,76.3063,8.35,G06194;G06057
257023157,225.2482,73.0535,7.67,G06194
257063450,228.1866,72.7569,9.38,G06194
257080774,228.3917,75.9386,10.06,G06194
257081848,228.8414,72.6085,8.6,G06194
272669737,233.6511,67.8045,6.32,G06194
272704551,235.4694,69.4197,10.7,G06194
272747359,236.0736,71.8885,8.88,G06194
272748096,236.2166,68.4353,10.23,G06194
272758572,237.525,70.6796,8.87,G06194
272781944,238.1812,68.7649,9.09,G06194
272782181,238.1916,67.6667,9.67,G06194
272783509,238.3121,70.1848,10.7,G06194
272786845,239.3265,69.6393,8.63,G06194
282920985,223.435,65.8612,10.13,G06194
326209178,245.7598,72.7724,9.68,G06194
334678654,245.4983,75.887,9.31,G06194
367613079,214.2055,73.3431,9.16,G06194
141816585,205.2893,59.0682,7.92,G06194
141818622,205.6363,58.8489,8.61,G06194
141818815,205.9248,59.8242,7.61,G06194
141873350,208.0072,58.2673,9.12,G06194
141875240,208.3798,58.9019,8.15,G06194
142349314,195.1065,60.9048,9.49,G06194
142373940,196.0356,65.8749,8.83,G06194
142380541,196.033,61.7576,7.68,G06194
142381364,196.2664,62.7732,8.22,G06194
142387220,197.846,63.1461,7.0,G06194
142397512,199.0103,63.6199,7.93,G06194
153991559,204.682,68.1042,8.15,G06194
153991783,204.6537,69.3613,8.79,G06194
154011403,206.2309,70.7884,8.8,G06194
154011697,206.103,69.2175,9.89,G06194
154071118,208.3969,70.7341,9.31,G06194
154091373,209.6617,67.4797,9.89,G06194
154091534,209.7952,66.5815,10.3,G06194
154091615,209.6571,66.101,6.97,G06194
154094275,210.5247,69.5357,8.94,G06194
154165827,213.3491,66.3323,9.55,G06194
154382028,214.7876,59.3025,8.14,G06194
157273362,198.6216,59.6197,7.93,G06194;G06057;G06024
159612507,208.939,63.1504,7.54,G06194
159613868,219.8442,64.1541,7.14,G06194
159629594,220.2243,63.8198,8.95,G06194
159634913,220.7353,64.6649,10.58,G06194
159635735,221.0913,63.1023,7.75,G06194
165990411,210.9057,61.6052,8.36,G06194
166054445,212.929,60.4739,7.66,G06194
166066762,213.6331,65.0591,9.42,G06194
166151118,216.2244,62.9361,6.9,G06194
202380410,209.5293,63.7944,8.35,G06194
202382187,209.9355,64.8937,10.77,G06194
232978692,218.3783,63.2937,8.37,G06194
233172907,216.3868,65.9879,6.81,G06194
233176813,217.0839,67.5057,9.18,G06194
284183805,206.1016,63.7184,7.91,G06194
284185440,206.2096,64.3699,9.67,G06194
289511166,200.2118,60.2525,7.76,G06194
341545045,201.7681,64.7358,6.25,G06194
341545582,201.6316,61.8675,7.84,G06194
358767509,209.0992,62.5683,8.81,G06194
441642477,209.819,59.0777,8.12,G06194
441658990,210.3187,59.5493,7.92,G06194
441659522,210.5023,57.2244,7.35,G06194
441695766,213.4655,59.8762,8.61,G06194
116304791,221.8479,47.9095,7.33,G06194
137842750,226.5765,59.8248,7.33,G06194
154359160,214.2637,54.5425,6.37,G06194
158513366,220.2553,57.9567,6.65,G06194
158539034,221.3715,54.9519,8.25,G06194
158541325,221.9691,57.3439,8.77,G06194
158563777,222.2771,56.8956,7.69,G06194
158590036,223.4235,55.0102,7.53,G06194
159783997,234.929,53.4996,10.39,G06194
159784393,235.2217,52.3166,10.48,G06194
160987435,220.3981,51.3972,7.51,G06194
161000050,220.5695,50.1146,9.05,G06194
161025568,222.4245,48.5311,8.73,G06194
161027816,223.0859,48.6705,7.06,G06194
161029715,223.2127,48.4692,7.71,G06194
161058722,223.9033,52.5671,6.98,G06194
165598909,227.3434,57.1115,6.91,G06194
165627289,228.1546,54.0213,7.96,G06194
165627910,228.2639,57.0518,9.67,G06194
193993697,231.458,51.1778,10.06,G06194
255804409,219.1031,51.2598,7.67,G06194
255804999,219.234,48.2219,7.68,G06194
255806138,219.4419,52.0329,7.71,G06194;G06057
255807302,219.5026,51.5785,7.17,G06194
255829041,220.1197,50.9797,9.23,G06194
283796270,220.9673,50.6155,8.19,G06194
286169746,227.7635,50.6302,10.12,G06194
286900691,226.6543,52.2857,8.17,G06194
309765388,224.0972,49.6269,5.15,G06191;G06194;20SECONDTARGET
309807304,224.2843,48.3961,7.02,G06194
310381586,213.9841,53.4489,8.24,G06194
311070085,219.6998,60.0377,8.51,G06194;G06057
311113290,224.9316,49.8436,7.98,G06194
313404694,227.9191,51.6199,9.29,G06194
332350175,212.8572,52.7399,8.84,G06194
357371042,217.9596,51.0213,7.1,G06194
357371372,217.9657,49.5857,8.03,G06194
366125065,224.3356,57.6489,6.79,G06194
441685801,211.5667,55.4308,7.39,G06194
441697305,213.9996,56.6885,6.12,G06194
441704457,215.5052,51.1116,7.61,G06194
441709021,216.2966,51.8481,3.55,G06191;G06194;G06098;20SECONDTARGET
445861126,214.8723,57.4068,8.52,G06194
219088671,268.6108,67.7474,8.81,G06194
219095076,269.3706,69.1565,10.93,G06194
219096791,269.8292,69.7464,11.32,G06194
219099903,270.1228,70.3151,11.04,G06194
219101358,270.362,69.1895,10.84,G06194
219101431,270.1557,69.0027,10.23,G06194
219102122,270.253,67.21,10.72,G06194
219104063,270.7279,69.6546,8.88,G06194
219114132,272.1644,70.8203,11.18,G06194
219846307,255.4591,69.0173,9.4,G06194
219847058,255.8093,71.8421,11.03,G06194
219849631,255.9568,69.0705,11.0,G06194
219852884,256.6023,68.8509,10.85,G06194
219853206,256.7193,69.9966,9.51,G06194
219854185,256.7705,70.2385,10.8,G06058;G06165;G06194;G06032;G06142;20SECONDTARGET
219856298,257.2945,69.3389,9.9,G06194
219856738,257.1374,71.0075,9.55,G06194
219856821,257.1074,71.3143,9.6,G06194
219858043,257.5178,68.0465,10.41,G06194
219859691,257.819,69.503,9.28,G06194;G06057
219860795,258.0421,70.1699,10.96,G06194
219864555,258.6918,69.4545,9.65,G06194
219866257,258.9257,67.7239,11.3,G06194
219867344,258.9578,71.5073,9.85,G06194
219869966,259.5123,68.0679,10.04,G06194
219870248,259.6858,68.9453,8.11,G06194
219874385,260.2721,70.5765,10.05,G06194
219877628,260.8827,69.7716,8.23,G06194
219878010,260.6145,71.1694,10.22,G06194
219878939,261.1536,69.1656,9.3,G06194
219879292,261.0118,68.0093,11.42,G06194
219882565,261.7583,68.7955,10.89,G06194
219884479,261.9244,69.6201,11.71,G06194
219886144,262.3496,68.2472,10.78,G06194
219893004,262.5415,68.533,12.03,G06194
219898046,263.3234,70.0166,9.34,G06194
219900637,263.8176,70.9933,10.26,G06194
229581386,270.2401,72.1388,10.15,G06194
229588267,271.7207,74.8943,11.42,G06194
229596329,273.1287,75.1763,8.49,G06194;G06024
229596524,273.3491,74.5635,8.96,G06194
229597113,273.1737,72.9475,9.88,G06194
229597274,273.4502,72.5215,9.28,G06194
229598289,273.8425,73.8869,10.17,G06194
229606846,274.2487,73.9665,11.36,G06194
229613465,277.4374,76.3745,10.02,G06194
229617303,278.336,74.5836,11.19,G06194
229617452,278.4781,74.9598,10.06,G06194
229639079,278.9357,74.2437,10.55,G06194
229639831,278.9922,72.4308,10.05,G06194
229644321,279.6832,72.6332,10.93,G06194
229644935,280.0012,72.5628,11.52,G06194
229674347,252.9915,74.5822,9.99,G06194
229674702,252.8418,73.2957,9.41,G06194
229674761,252.8029,73.0222,10.14,G06194
229700266,277.0953,69.1551,7.91,G06194
229700601,277.084,70.0119,9.65,G06194
229700707,277.2712,70.2919,9.73,G06194
229700780,277.2991,70.4539,9.74,G06194
229701055,277.0133,71.2729,11.66,G06194
229706224,278.0612,71.6209,9.49,G06194
229706335,277.9353,71.3394,9.22,G06194
229707060,278.0367,69.4493,10.25,G06194
229707441,278.1256,68.6146,7.09,G06194
229710150,278.4073,69.064,7.85,G06194
229711679,278.5732,70.9251,11.16,G06194
229715331,278.8617,69.0471,10.83,G06194
229715468,279.02,69.3876,11.5,G06194
229740543,279.6861,68.8993,8.45,G06194
229740594,279.6743,69.0294,8.21,G06194
229741497,279.5356,71.2076,10.83,G06194
229743205,279.9222,68.488,11.0,G06194
229747270,280.5894,71.6529,8.07,G06194
229752424,280.8181,71.5264,10.91,G06194
229770431,282.2023,69.9484,11.56,G06194
229774897,282.5964,71.1631,11.42,G06194
229776076,282.7475,69.8828,9.35,G06194;G06057
229776099,282.8055,69.8279,11.7,G06194
229779802,283.1115,69.8918,9.97,G06194
229780321,283.2601,71.1204,11.48,G06194
229786634,284.0006,71.358,11.84,G06194
229790589,284.3676,68.5678,8.3,G06194
229799261,285.0771,68.9815,11.04,G06194
229799553,285.1151,68.3223,10.94,G06194
230134331,252.761,71.5948,10.17,G06194
230137379,253.0921,71.4451,11.21,G06194
233193104,264.1163,71.2713,11.37,G06194
233193585,264.1655,69.5693,5.76,G06194
233199292,265.0715,69.1511,6.55,G06194
233204464,265.6997,70.2733,11.07,G06194
233207052,266.02,68.6357,9.56,G06194
233208773,266.5647,69.6744,11.13,G06194
233210830,266.7338,68.0028,10.21,G06194
233211421,266.8005,69.7476,8.27,G06194
233212187,267.0388,71.6079,11.14,G06194
233233715,267.4405,67.646,9.1,G06194
233234460,267.355,69.7008,9.46,G06194
233495065,248.8263,77.1203,7.82,G06194
233500965,250.555,76.3062,9.84,G06194
235674200,282.8184,73.575,10.85,G06194
235677345,285.5391,72.1341,9.68,G06194
235679023,285.4257,76.2521,10.13,G06194
235679972,286.9716,72.8742,8.93,G06194
235686815,288.2501,71.9801,10.71,G06194
236757526,272.5704,71.4264,9.9,G06194
236758289,272.8122,69.2491,8.65,G06194
236761413,272.8387,70.2849,11.64,G06194
236767786,273.9266,68.9974,9.47,G06194
237200740,292.7481,74.9082,9.28,G06194
237208500,294.1589,74.0115,11.2,G06194
237215051,294.8288,76.5024,9.82,G06194
256298025,276.476,71.7321,6.92,G06194
258701096,285.9429,68.9178,9.39,G06194
258701634,285.8797,70.0757,11.7,G06194
258803516,287.0323,70.5565,9.63,G06194
258832275,287.8357,71.1394,10.29,G06194
258923487,288.8374,71.5493,10.79,G06194
267544059,289.3602,72.8365,8.62,G06194
287086186,253.3154,69.2776,11.17,G06194
288300641,262.3186,78.3853,9.04,G06194
288347573,264.987,78.671,9.61,G06194
288407499,268.5246,78.6798,7.19,G06194
311233661,253.6543,70.0032,10.13,G06194
329170577,268.3582,74.3922,8.22,G06194
335965713,281.8344,75.0807,10.39,G06194
336007791,282.524,74.7067,11.2,G06194
341870402,276.7683,71.2446,11.6,G06194
356701454,254.6605,71.7645,10.63,G06194
356787356,268.9102,76.0701,8.28,G06194
356788592,269.08,72.5759,11.31,G06194
356820927,269.444,73.9489,10.85,G06194
357498244,267.6365,73.0814,9.34,G06194
357516604,267.8338,73.964,11.09,G06194
362226536,286.013,72.5742,10.27,G06194
362257026,286.286,74.9338,10.47,G06194
362259855,286.448,74.0903,8.77,G06194;G06057;G06021
362260993,286.6755,71.9533,10.36,G06194
367836197,275.5191,75.8628,7.61,G06194
367853713,276.2706,75.498,10.32,G06194
376846658,275.3581,71.7836,10.41,G06194
376883641,284.1161,72.4919,9.25,G06194
416193165,285.3659,69.8824,10.93,G06194
420137064,291.6711,74.0973,8.54,G06194
424389577,281.2242,73.2808,11.09,G06194
441715987,254.1493,72.8491,10.43,G06194
441718406,254.3379,73.5581,10.05,G06194
441719325,255.0212,73.3444,10.97,G06194
441721286,255.1165,75.2248,6.59,G06194
441724132,256.2187,76.6901,9.96,G06194
441725501,256.4193,72.0096,8.61,G06194
441728505,256.6557,72.8059,11.71,G06194
441735063,258.5865,73.4382,9.18,G06194
441735934,258.9696,73.0119,9.15,G06194
441737505,259.0534,77.4952,10.84,G06194
441738774,259.2492,72.9567,11.16,G06194
441741602,260.0189,75.3763,9.45,G06194
441743003,260.2265,73.0153,7.44,G06194
441763503,260.8925,71.9975,9.64,G06194
441764892,260.9811,76.3933,10.54,G06194
441766479,261.3788,74.1379,11.24,G06194
441767131,261.7421,72.2275,10.82,G06194
441767344,261.879,72.2457,11.23,G06194
441767708,261.9742,73.3142,8.69,G06194
441788380,262.5213,76.3924,9.26,G06194
441791160,262.5438,75.8393,10.69,G06194
441793553,263.2314,72.3573,11.17,G06194
441797078,263.8017,72.6914,11.05,G06194
441797176,264.0013,72.4136,10.54,G06194
441800429,264.6047,73.7278,9.95,G06194
441803555,265.5422,75.3127,10.11,G06194
441804565,265.4928,72.155,5.29,G06058;G06200;G06191;G06194;20SECONDTARGET
441806023,265.7064,75.9978,10.62,G06194
441808043,266.3989,73.2063,10.27,G06194
441809052,266.5924,73.2881,8.66,G06194
441809057,266.8346,73.2966,9.73,G06194
441810716,267.1015,77.0297,6.98,G06194
441811929,267.1811,73.0779,11.72,G06194
441813918,267.3637,76.9645,4.55,G06194
165526988,266.0311,56.1931,7.92,G06194
165549436,266.4889,56.0196,9.05,G06194
165549513,266.536,56.2194,9.77,G06194
198361369,256.683,59.9056,9.41,G06194
198364361,257.0798,56.7019,10.22,G06194
198365787,257.302,58.4889,11.11,G06194
198366508,257.1829,56.4043,9.27,G06194
198386781,257.9206,58.1242,9.96,G06194
198387338,257.9761,59.8168,11.15,G06194
198391743,258.5413,57.8779,10.47,G06194
198456138,261.5915,58.9553,11.39,G06194
198457856,261.7845,55.2274,10.05,G06194
198459038,261.9734,56.161,8.97,G06194
219753310,261.2607,64.0836,8.69,G06194
219756068,261.7621,60.7484,9.97,G06194
219762225,262.525,63.908,10.77,G06194
219762620,262.5375,62.7845,9.59,G06194
219763651,262.8625,60.145,10.77,G06194
219776974,263.8238,60.4564,9.94,G06194
219779130,264.0615,65.0416,9.97,G06194
219779220,263.9238,64.7551,10.4,G06194
219789588,264.5397,60.0103,8.33,G06194
219790942,264.7328,63.2823,11.24,G06194
219791415,264.7695,64.7074,10.89,G06194
219791988,264.9567,65.4703,8.88,G06194
219792610,265.0755,63.6764,6.52,G06194
219794009,265.1205,60.0741,10.15,G06194
219794517,265.1133,61.3333,10.77,G06194
219797791,265.5018,61.4794,9.44,G06194
219798244,265.3966,60.2975,10.29,G06194
219798745,265.7671,60.78,9.35,G06194
219800534,265.7768,65.4777,9.87,G06194
219801129,266.0254,64.6554,11.61,G06194
219801626,265.9145,63.3622,12.13,G06194
219805839,266.5203,63.7069,10.47,G06194
219808895,266.6627,64.4033,11.02,G06194
219811064,266.9853,61.5061,9.9,G06194
219812657,267.278,62.2444,11.52,G06194
219813695,267.2786,65.0521,10.28,G06194
219814082,267.5079,65.6962,11.58,G06194
219815061,267.3674,63.0234,10.41,G06194
219819747,268.0195,62.4094,10.83,G06194
219822744,268.2433,65.3279,11.46,G06194
229688432,263.1568,59.7926,10.65,G06194
232603104,257.6666,61.3072,9.71,G06194
232606786,258.2141,61.8538,8.23,G06194
232611919,258.9226,61.6251,9.4,G06194
232614023,259.143,63.5694,8.94,G06194
232615002,259.2116,60.5791,9.83,G06194
232620788,268.4178,56.3928,7.33,G06058;G06194
232625760,268.8359,56.0861,8.59,G06194
232627400,268.9803,59.9876,9.3,G06194
232633042,269.3972,58.9636,10.01,G06194
233046903,268.3622,59.9405,10.94,G06194
233050077,268.8431,63.5815,11.57,G06194
233050418,268.7684,62.7872,10.31,G06194
233051228,268.804,60.9359,10.44,G06194
233052719,269.083,62.6107,7.13,G06194
233056745,269.5225,60.566,8.98,G06194
233063121,269.9841,63.3796,9.62,G06194
233075235,271.3827,65.0824,6.89,G06194
233075671,271.3431,64.0833,11.3,G06194
233075775,271.2635,63.8213,11.4,G06194
233077155,271.2518,60.8995,11.79,G06194
233079368,271.5344,63.7724,11.83,G06194
233080072,271.4366,65.5501,12.08,G06194
233082732,271.8287,60.2646,11.39,G06194
233084572,272.0687,63.3237,10.54,G06194
233087496,272.3038,61.4686,10.82,G06194
233089202,272.4712,61.8812,6.71,G06194
233089770,272.4438,63.1845,11.65,G06194
233093704,272.9591,60.1511,8.7,G06194
233095515,272.8735,64.0583,9.3,G06194
233097244,273.2107,63.6001,8.19,G06194
233097802,273.1613,62.4655,10.32,G06194
233098055,273.1711,61.9429,9.63,G06194
233121512,273.3713,63.9417,11.43,G06194
233124051,273.7341,62.3122,11.3,G06194
233126836,273.8643,62.7393,11.02,G06194
233127759,273.8793,64.8365,10.09,G06194
233156189,274.9397,60.3986,11.41,G06194
233157471,274.8923,62.7902,8.89,G06194
233157786,274.99,63.4152,11.24,G06194
233525801,280.1301,63.6349,9.62,G06194
233529602,280.3731,63.0708,10.98,G06194
233544192,281.4713,64.3207,11.09,G06194
233658147,259.7301,60.7466,10.47,G06194
233660303,260.1754,65.64,7.31,G06194
233660610,260.014,64.4931,11.82,G06194
233678984,260.1595,61.7792,8.85,G06194
233680607,260.3538,63.0674,10.56,G06194
233680805,260.4283,63.7757,10.11,G06194
233684236,260.8665,62.8797,9.95,G06194
233684293,260.7628,63.1107,9.06,G06194
233688441,275.3546,61.6045,10.47,G06194
233688760,275.3521,62.3349,10.4,G06194
233690388,275.7578,65.4588,10.85,G06194
233691875,275.6982,61.7096,9.85,G06194
233692094,275.58,61.2479,10.91,G06194
233713638,275.8653,64.7838,10.84,G06194
233718445,276.0201,60.4897,10.7,G06194
233719679,276.2822,61.7096,10.66,G06194
233721324,276.4726,65.3254,7.79,G06194
233725762,276.79,62.5498,11.11,G06194
233732298,277.4081,65.0295,10.23,G06194
233743754,278.2248,63.7092,8.75,G06194
233744201,278.4356,64.7133,10.96,G06194
233745092,278.5166,65.1861,11.52,G06194
233746028,278.6522,63.1972,10.41,G06194
233747424,278.5611,60.5968,10.55,G06194
237115590,269.5651,59.8759,9.65,G06194
237116880,269.8541,56.7282,9.32,G06194
307956353,256.7609,63.6135,11.52,G06194
320503392,264.5722,59.1402,9.91,G06194
320506144,264.7076,57.2065,10.98,G06194
320523351,264.7443,56.2349,11.23,G06194
320525755,265.0011,57.4037,7.73,G06194
332478380,265.5228,56.2989,9.76,G06194
341817584,267.5211,58.9842,9.93,G06194
353894978,271.6859,56.407,10.32,G06194;G06057;G06021
353895983,271.675,58.8207,11.02,G06194
