TICID,RA,Dec,Tmag,Keywords
229452839,294.401,64.0166,8.13,G022135
229479255,295.6465,64.0301,9.14,G022135
229966103,289.5486,60.9601,7.21,G022135
233387809,301.717,57.3732,9.36,G022135
233539736,281.0183,60.7701,10.48,G022135;G022062
233613741,283.4362,60.0179,7.15,G022135;G022169
236785664,283.0091,59.6671,6.98,G022135;G022169
236872887,302.914,63.5274,7.7,G022135;G022062
243276811,288.2375,58.1079,7.7,G022135
256662953,300.7481,65.8615,9.5,G022135
269598007,301.0067,66.0409,9.25,G022135
284563819,291.4448,58.0273,6.72,G022135
287193769,292.5378,57.2435,10.06,G022135
377099704,285.1145,56.5252,8.97,G022135
232643392,281.6143,54.277,9.69,G022135
236773991,282.5905,54.3009,7.57,G022135
341816971,267.6306,57.4436,8.01,G022135
47583864,278.5997,51.1132,7.96,G022135
48022676,281.6796,52.9879,5.95,G022135;G022169;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
158490159,287.5988,47.1622,11.23,G022135
48217508,283.1198,48.4039,10.01,G022135
48503549,285.0571,50.5335,5.58,G022135;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
278358300,307.4277,50.3186,9.08,G022135
352556540,306.3867,54.6842,7.12,G022135;G022169
198279946,250.2761,62.308,6.78,G022135;G022062
198388195,258.0954,57.2234,8.36,G022135
198456386,261.6738,59.7487,9.86,G022135
224607716,255.8917,57.4999,8.18,G022135
229793060,284.7193,69.5314,6.62,G022135;G022062
258461221,300.0167,68.4368,8.06,G022135
258954765,289.1008,67.1351,8.16,G022135
269696438,301.6071,68.291,8.72,G022135
360020620,300.3926,70.4546,7.84,G022135
376869778,283.3887,75.7875,6.79,G022135
420114700,290.6854,74.6337,8.78,G022135
159502560,246.3494,79.2647,9.64,G022135
160553438,242.7063,75.8776,5.59,G022135;G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
229670516,251.5915,77.0215,10.14,G022135
233497379,249.3017,76.1638,9.8,G022135
