TICID,RA,Dec,Tmag,Keywords
288299534,261.2793,79.6474,11.6,G04132;G04178;G04039;20SECONDTARGET
288344202,263.7149,78.739,10.82,G04132;G04129;G04240;G04234;G04178;G04039;G04191;20SECONDTARGET
288634843,278.9702,80.0956,10.59,G04132;G04129;G04214;G04211;G04178;G04039;G04191;20SECONDTARGET
441722120,255.0704,72.4684,11.64,G04132;G04039;20SECONDTARGET
199550243,241.0988,64.8616,10.83,G04129;G04132;G04178;G04039;G04191;G04006;20SECONDTARGET
219013711,222.731,67.3233,11.68,G04132;G04178;20SECONDTARGET
233177185,217.6115,66.6005,11.06,G04132;G04178;G04039;G04191;20SECONDTARGET
272615711,231.2061,66.8669,11.82,G04132;G04039;G04178;20SECONDTARGET
272785770,238.946,68.6713,10.01,G04132;G04129;G04178;G04006;20SECONDTARGET
153977353,203.6034,69.9409,11.08,G04132;G04240;G04178;G04039;G04191;20SECONDTARGET
142979644,181.7403,70.1314,11.62,G04132;G04171;G04214;G04178;20SECONDTARGET
155656119,206.2761,78.9936,11.12,G04132;G04039;G04191;20SECONDTARGET
156103096,166.4891,78.617,11.55,G04132;20SECONDTARGET
156196475,180.0523,79.539,11.16,G04132;G04039;G04191;20SECONDTARGET
156199681,181.4401,78.431,10.01,G04132;G04178;G04039;G04191;20SECONDTARGET
219463771,208.4179,77.6188,10.25,G04132;G04214;G04033;G04234;G04178;G04039;G04191;20SECONDTARGET
298071899,199.558,73.3681,11.14,G04132;G04214;G04186;G04178;G04039;20SECONDTARGET
103580569,150.4986,66.8572,10.45,G04132;G04039;G04191;20SECONDTARGET
103605168,151.3965,70.229,11.12,G04132;G04039;G04191;20SECONDTARGET
147952139,168.2522,66.5793,11.52,G04132;G04039;20SECONDTARGET
149915491,159.9439,65.7559,9.75,G04132;G04188;G04234;G04006;20SECONDTARGET
137713981,173.5343,55.8886,11.23,G04132;G04139;G04234;G04178;G04039;G04191;20SECONDTARGET
224298134,185.3377,57.7523,10.85,G04039;G04132;G04148;G04191;G04242;20SECONDTARGET
284660677,179.1907,57.3848,11.6,G04132;G04171;G04039;G04234;20SECONDTARGET
341686472,171.3164,59.8236,11.53,G04132;G04039;20SECONDTARGET
202739600,304.2271,33.9943,11.36,G04132;G04234;20SECONDTARGET
232940677,311.8732,34.9816,12.9,G04132;20SECONDTARGET
138362758,293.8707,37.7684,9.15,G04132;G04186;G04039;G04006;20SECONDTARGET
403981603,289.3229,28.8571,11.78,G04132;20SECONDTARGET
243479687,309.561,23.1315,10.65,G04132;G04234;20SECONDTARGET
408479509,310.8948,24.1278,9.67,G04132;G04240;G04234;G04039;G04006;20SECONDTARGET
85501014,317.7886,23.5076,11.33,G04132;G04039;20SECONDTARGET
229459070,294.8046,61.3199,10.26,G04132;G04178;G04039;G04006;20SECONDTARGET
229501076,296.8112,64.044,10.69,G04129;G04132;G04191;20SECONDTARGET
229945262,288.1503,63.1514,11.67,G04132;G04171;G04060;G04178;20SECONDTARGET
377293776,286.8543,59.0869,10.03,G04006;G04039;G04129;G04132;G04148;G04178;G04186;G04242;20SECONDTARGET
289726188,274.3543,48.3676,9.25,G04212;G04132;G04188;G04039;G04191;G04006;20SECONDTARGET
357032546,274.0695,54.1727,9.96,G04132;G04171;G04039;G04191;G04006;20SECONDTARGET
359313701,268.0117,56.6081,10.84,G04132;G04212;G04129;G04171;G04186;G04148;G04188;G04178;G04039;G04006;20SECONDTARGET
47974844,281.4647,50.7996,11.42,G04132;G04139;G04178;G04234;G04039;20SECONDTARGET
48422240,284.1783,50.2301,11.82,G04132;G04234;20SECONDTARGET
273589987,297.7904,46.485,10.25,G04222;G04212;G04214;G04132;G04033;G04240;G04142;G04178;20SECONDTARGET
27997243,296.9202,52.8602,10.58,G04132;G04039;20SECONDTARGET
296321403,306.6303,50.8585,9.43,G04132;G04039;G04006;20SECONDTARGET
198238736,249.1365,63.896,11.75,G04132;G04178;20SECONDTARGET
198277670,249.8893,60.8961,11.78,G04132;G04178;20SECONDTARGET
219751364,261.1684,61.7971,10.99,G04129;G04132;G04214;G04139;G04186;G04178;G04234;G04039;G04191;G04006;20SECONDTARGET
233068870,270.5719,64.26,10.34,G04212;G04129;G04214;G04132;G04033;G04148;G04188;G04178;G04006;20SECONDTARGET
1551660228,278.0136,70.0435,12.34,G04132;G04178;20SECONDTARGET
219112414,271.6824,68.3683,11.15,G04129;G04132;G04188;G04234;G04039;20SECONDTARGET
229742951,279.8572,69.0522,9.94,G04129;G04132;G04178;G04234;G04039;G04191;G04006;20SECONDTARGET
233690596,275.5399,64.885,11.88,G04132;G04178;20SECONDTARGET
233738219,277.8407,64.9041,10.99,G04129;G04132;G04214;G04139;G04240;G04186;G04148;G04178;G04039;G04006;20SECONDTARGET
256299213,276.6904,68.3204,11.81,G04132;G04178;G04039;20SECONDTARGET
441800756,264.6442,72.7323,11.58,G04132;G04178;G04039;20SECONDTARGET
159503663,246.4978,83.4063,9.97,G04132;G04178;G04039;G04006;20SECONDTARGET
160438869,236.3475,75.2483,11.17,G04129;G04132;G04234;20SECONDTARGET
160603519,244.9097,76.9206,10.81,G04129;G04132;G04178;20SECONDTARGET
160619243,246.0727,77.9031,11.4,G04129;G04132;G04171;G04234;G04178;G04039;20SECONDTARGET
288299534,261.2793,79.6474,11.6,G04132;G04178;G04039;20SECONDTARGET
288344202,263.7149,78.739,10.82,G04132;G04129;G04240;G04234;G04178;G04039;G04191;20SECONDTARGET
288634843,278.9702,80.0956,10.59,G04132;G04129;G04214;G04211;G04178;G04039;G04191;20SECONDTARGET
441722120,255.0704,72.4684,11.64,G04132;G04039;20SECONDTARGET
199550243,241.0988,64.8616,10.83,G04129;G04132;G04178;G04039;G04191;G04006;20SECONDTARGET
219013711,222.731,67.3233,11.68,G04132;G04178;20SECONDTARGET
233177185,217.6115,66.6005,11.06,G04132;G04178;G04039;G04191;20SECONDTARGET
272615711,231.2061,66.8669,11.82,G04132;G04039;G04178;20SECONDTARGET
272785770,238.946,68.6713,10.01,G04132;G04129;G04178;G04006;20SECONDTARGET
153977353,203.6034,69.9409,11.08,G04132;G04240;G04178;G04039;G04191;20SECONDTARGET
142979644,181.7403,70.1314,11.62,G04132;G04171;G04214;G04178;20SECONDTARGET
155656119,206.2761,78.9936,11.12,G04132;G04039;G04191;20SECONDTARGET
156103096,166.4891,78.617,11.55,G04132;20SECONDTARGET
156196475,180.0523,79.539,11.16,G04132;G04039;G04191;20SECONDTARGET
156199681,181.4401,78.431,10.01,G04132;G04178;G04039;G04191;20SECONDTARGET
219463771,208.4179,77.6188,10.25,G04132;G04214;G04033;G04234;G04178;G04039;G04191;20SECONDTARGET
298071899,199.558,73.3681,11.14,G04132;G04214;G04186;G04178;G04039;20SECONDTARGET
103580569,150.4986,66.8572,10.45,G04132;G04039;G04191;20SECONDTARGET
103605168,151.3965,70.229,11.12,G04132;G04039;G04191;20SECONDTARGET
147952139,168.2522,66.5793,11.52,G04132;G04039;20SECONDTARGET
149915491,159.9439,65.7559,9.75,G04132;G04188;G04234;G04006;20SECONDTARGET
137713981,173.5343,55.8886,11.23,G04132;G04139;G04234;G04178;G04039;G04191;20SECONDTARGET
224298134,185.3377,57.7523,10.85,G04039;G04132;G04148;G04191;G04242;20SECONDTARGET
284660677,179.1907,57.3848,11.6,G04132;G04171;G04039;G04234;20SECONDTARGET
341686472,171.3164,59.8236,11.53,G04132;G04039;20SECONDTARGET
