# TESS Program G05131

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 056 targets observed (2 min: 893, 20 s: 8)
257390193,344.1347,6.8054,7.02,G05131
257427579,344.5839,11.2878,7.35,G05131
262583373,348.1516,3.6175,7.5,G05131
272006379,337.4913,4.4307,5.12,G05131
293160301,338.9993,5.5986,8.74,G05131
293197628,339.3356,4.4583,8.9,G05131
310806059,345.192,3.3434,8.03,G05131
310808897,345.4044,1.857,8.52,G05131
310853458,346.0225,3.2929,6.98,G05131
310919422,346.2469,5.1961,8.29,G05131
310999719,347.5469,2.9343,8.5,G05131
311517421,343.5423,5.5839,8.22,G05131
311571582,344.3897,4.9102,8.88,G05131
318702263,340.2352,11.2385,9.95,G05131
344087593,345.1551,8.7504,7.49,G05131
344090983,345.3045,7.9966,7.82,G05131
344106232,345.6232,9.5825,8.51,G05131
399518244,339.4264,9.195,9.09,G05131
399549531,341.0854,7.4818,9.42,G05131
415866203,335.4985,9.6983,7.67,G05131
419836575,336.9562,6.3292,9.32,G05131
419881099,337.7477,9.6306,9.81,G05131
421992159,340.3215,4.2582,8.66,G05131
422034708,341.032,4.1334,9.3,G05131
422034864,341.0787,3.5904,9.87,G05131
422060381,341.6981,4.9394,8.33,G05131
422081616,342.4159,2.8972,8.91,G05131
422419973,339.6223,2.2987,7.6,G05131
218046189,347.4222,15.2053,8.38,G05131
262808051,350.5131,5.5065,8.07,G05131
268265832,354.2245,14.5374,8.59,G05131
268265865,354.2789,14.4493,7.62,G05131
301986284,356.6306,17.0868,8.89,G05131
302048842,357.5593,17.6462,7.4,G05131
336549887,354.6775,15.4744,8.7,G05131
336674629,354.3464,7.624,7.88,G05131
354207248,350.0103,9.9841,8.26,G05131
354209764,350.0756,6.8726,7.33,G05131
354281551,351.0877,6.0453,9.49,G05131
408348767,355.9869,7.2494,8.36,G05131
411470950,358.715,13.2142,8.02,G05131
422439413,350.6179,5.5,8.73,G05131
422523985,351.9544,4.8578,9.12,G05131
422603396,353.6056,5.4706,6.48,G05131
423300643,349.5076,9.0737,8.46,G05131
423327699,353.0528,7.0846,6.3,G05144;G05131;20SECONDTARGET
434121376,355.9959,17.5115,7.26,G05131
435206904,351.1513,12.1394,9.63,G05131
435235074,351.7674,13.1105,8.06,G05131
435254533,353.3967,17.819,6.22,G05131
97246939,348.6717,13.7212,7.97,G05131
119836487,333.8259,39.7767,7.06,G05131
120403335,335.9781,38.5744,5.7,G05131
128627365,339.3742,39.3788,7.84,G05121;G05131
129216772,342.4206,40.5148,7.66,G05131
129538376,343.9872,41.3348,6.85,G05131
154710430,344.0414,45.7913,8.01,G05131
199011818,333.2226,44.7706,7.45,G05131
331446945,330.2332,47.6402,8.19,G05131
341879249,332.9355,49.9363,6.97,G05131
345803978,327.0931,46.8261,7.82,G05131
345904638,327.228,46.903,7.59,G05131
420116962,332.1696,45.7425,5.41,G05131;G05071;G05003
427069467,339.8944,51.156,6.36,G05131
428103462,338.996,49.7009,8.0,G05131
430581263,333.4087,49.4714,6.6,G05131
117444270,320.0414,35.599,7.68,G05131
136164465,317.0806,42.0158,8.78,G05131
160050912,321.8168,31.7214,8.25,G05131
160388867,322.6709,35.7205,9.81,G05131
163751493,320.8385,30.9161,8.76,G05131
163965682,321.2515,33.6873,7.99,G05003;G05131
165179953,316.2362,40.1513,9.92,G05131
165438401,316.6432,38.039,7.1,G05131
165610937,316.7329,36.2543,7.39,G05131
165787826,317.0918,39.6718,7.76,G05131
166428347,317.8145,39.244,8.08,G05131
167020210,318.6109,36.3219,8.98,G05131
167092249,318.699,38.0483,3.4,G05131
167192066,318.8332,38.9493,9.16,G05131
167474618,319.4559,38.0543,8.59,G05131
190618319,325.4966,42.5691,7.45,G05106;G05131
256965996,329.49,36.9613,9.26,G05131
260760840,326.3667,39.7992,8.57,G05131
266527027,324.3507,34.6032,7.25,G05131
274525235,318.9723,41.382,9.01,G05131
274610140,321.7357,39.6588,7.7,G05131
274938547,322.8469,40.0649,7.05,G05131
275296321,323.8204,35.9778,7.77,G05131
275840066,318.7088,42.4124,9.28,G05131
304876003,322.4234,36.7989,7.87,G05131
314506779,315.7135,37.1507,7.19,G05131
351484253,325.7371,38.1841,7.55,G05131
351667335,326.0138,36.0447,9.04,G05131
352966432,321.4934,38.7647,8.4,G05131
357559067,321.3135,42.1684,8.81,G05131
371922316,326.7144,36.7897,10.29,G05131
373448005,320.1496,41.0657,9.07,G05131
373759787,320.5823,37.5517,8.94,G05131
399591652,324.1377,39.4788,8.1,G05131
407736823,328.2452,38.3434,8.08,G05131
418704322,328.395,36.4256,9.41,G05131
84016953,327.4,36.1013,7.8,G05131
84231736,327.9635,41.6492,7.62,G05131
150614890,337.6081,28.4428,7.29,G05131
15454909,322.9579,27.5326,9.73,G05131
162462087,332.3028,30.8703,9.91,G05131
16540137,326.634,26.7538,7.93,G05131
17867290,328.8647,25.9328,8.02,G05131
17995932,329.1087,24.886,8.52,G05131
18027916,329.4644,27.2153,7.9,G05131
236638726,329.3038,31.6635,9.0,G05131
236647148,329.4328,33.3844,7.52,G05047;G05131
236651276,329.5285,30.1588,9.35,G05131
236651775,329.5501,30.6731,9.14,G05131
236702437,330.1111,33.0063,6.03,G05131
239630625,325.5601,31.5121,8.8,G05131
248024514,325.0225,27.8079,9.71,G05131
258742293,332.5092,23.1259,6.91,G05131
26686049,331.5625,24.9771,9.37,G05131
27784217,332.4537,28.3813,9.48,G05131
28109504,334.2243,24.5423,8.66,G05131
28193556,334.7803,28.8478,6.67,G05131
28222922,335.0535,29.519,8.53,G05131
283179418,328.1598,25.055,7.88,G05131
283222952,328.1805,27.1421,9.38,G05131
287364254,326.2712,30.4089,8.32,G05131
287598737,326.8884,31.3433,8.01,G05131
297924764,330.2758,22.1753,9.64,G05131
297925023,330.2754,21.6794,7.61,G05131
298776986,325.8408,24.2601,8.26,G05131
357253868,331.2375,29.6775,9.15,G05131
357334569,331.2967,25.6614,8.45,G05131
357336472,331.8315,25.159,10.02,G05131
369475764,333.0415,22.6533,10.31,G05131
371571428,332.0332,23.019,9.66,G05131
371699600,323.9855,26.3697,8.72,G05131
371699602,323.9892,26.37,8.76,G05131
379846212,328.5955,20.4714,7.51,G05131
397657796,334.0732,33.7322,6.91,G05131
397660644,334.0673,30.0477,7.36,G05131
399898064,328.6407,31.61,7.8,G05131
423903430,329.673,22.5722,7.68,G05131
430483458,325.2758,31.5879,7.8,G05131
452689665,325.9768,27.8468,7.0,G05131
452700542,326.0799,28.7813,6.54,G05131
452700589,326.0376,28.7411,4.31,G05131
452726415,326.3639,24.5369,8.03,G05131
86003440,326.881,22.6238,10.32,G05131
100733223,341.5788,33.321,9.29,G05131
100858712,347.909,32.0864,8.82,G05131
100973763,348.5662,33.03,8.87,G05131
100998909,348.7454,35.9316,8.06,G05131
115779095,340.0834,31.7875,7.51,G05131
128781972,340.0575,37.5278,6.99,G05131
164147979,335.7082,33.5957,7.13,G05131
188874716,342.774,34.3837,6.96,G05131
21332165,350.9498,32.5315,6.21,G05131
274807892,334.2469,35.3707,7.62,G05131
351901886,346.7244,38.2438,7.61,G05131
353185741,338.3927,31.2834,7.38,G05131
373907301,345.7146,37.9024,9.01,G05131
373931878,346.0289,38.609,8.46,G05131
374025431,346.3688,39.0789,8.2,G05131
374045740,346.8775,36.3016,8.23,G05131
374099177,347.0894,40.319,8.21,G05131
415778308,346.1524,31.3072,6.36,G05131
431593356,348.9247,31.6758,7.06,G05131
431593759,348.9741,34.6879,7.44,G05131
44025708,344.2863,34.9117,7.66,G05131
44161207,345.3737,33.6644,9.91,G05131
44222598,345.4646,34.6123,6.33,G05003;G05131
185707818,302.4148,44.8967,9.88,G05131
187828061,307.3682,42.3163,7.42,G05131
187866568,307.483,43.9535,9.36,G05131
187937060,307.5094,47.1628,9.55,G05131
193076785,304.9572,45.3636,6.54,G05131
193103375,305.1134,45.5768,7.72,G05131
193329483,305.6082,46.341,7.97,G05131
193801894,306.3576,42.6052,6.43,G05131
193853724,306.5839,44.915,9.72,G05131
194061467,312.0203,39.9,8.4,G05131
195608568,310.4279,42.1381,8.5,G05131
195683166,310.484,45.3547,8.69,G05131
195806911,310.6467,44.8313,9.35,G05131
267378536,316.7122,50.2563,10.06,G05131
274653589,316.8535,45.7292,9.56,G05131
279015236,313.6876,42.5652,9.84,G05131
288781004,314.5203,50.8719,8.29,G05131
297032137,312.0515,46.8828,9.62,G05131
297048329,312.1402,45.3743,10.13,G05131
297162683,312.1364,42.2588,7.53,G05131
312277774,313.3619,50.4768,8.07,G05131
313107686,314.1498,48.1139,9.02,G05131
329470619,314.7082,42.4819,9.23,G05131
329630190,314.6045,46.6044,7.01,G05131
352042715,305.1183,49.4224,9.12,G05131
365303022,311.6064,49.0945,10.25,G05131
365306867,311.6283,48.2701,7.78,G05131
365315570,311.8583,49.3881,7.67,G05131
365986732,312.5618,53.0493,9.2,G05131
366052756,312.7659,50.9493,8.76,G05131
366727498,311.7456,43.8261,9.98,G05131
371518000,308.1126,48.0991,9.31,G05131
406014562,304.4386,46.4362,7.72,G05131
416940939,304.0297,46.0668,10.09,G05131
468550753,314.0619,47.1867,9.71,G05131
63222474,319.8991,49.2205,7.12,G05131
313876419,318.5935,54.6664,7.12,G05131
314655787,319.6629,57.2251,9.92,G05131
315906212,321.2656,58.0856,6.6,G05131
316559527,335.4891,54.1396,8.28,G05131
327886296,331.4345,59.1042,9.47,G05131
327894821,331.4152,57.1268,7.12,G05131
329759640,332.9559,56.8402,4.76,G05061;G05155;G05131;G05071;20SECONDTARGET
334949376,331.6351,60.6643,7.12,G05131
335620764,332.9373,60.008,8.93,G05131
344291720,317.3017,57.2024,7.6,G05131
370341441,328.5476,52.3323,7.76,G05131
395636886,326.5006,50.9112,8.65,G05131
413445212,336.6335,54.6416,8.39,G05131
416850291,321.2798,52.4751,7.96,G05131
429657817,322.7574,59.4184,6.23,G05131
430001807,323.6456,59.1067,7.92,G05131
63321926,319.9981,52.9785,7.11,G05131
236871353,302.8972,62.079,5.22,G05155;G05131;20SECONDTARGET
236901679,303.9234,65.8536,7.21,G05131
237002366,305.8844,62.272,8.03,G05131
237084895,307.5291,62.8186,8.62,G05131
255993797,308.2566,67.3094,7.8,G05131
256348543,322.7048,67.2525,10.21,G05131
265312846,319.9229,66.7852,8.02,G05131
265390123,319.6663,66.1684,7.52,G05131
267862236,312.3386,59.452,9.08,G05131
269596634,300.755,67.8365,9.33,G05131
275502620,320.106,60.6871,6.26,G05131
286305421,318.4272,64.4033,5.81,G05131
321821356,322.0769,67.8268,9.08,G05131
365830633,320.7543,64.654,10.64,G05131
387238714,308.7794,68.2712,10.97,G05131
387290229,309.6761,71.2329,11.91,G05131
387358492,310.913,65.9457,10.17,G05131
387359196,310.9521,66.5813,8.65,G05131
387409873,310.9028,70.1343,9.61,G05131
387445460,311.0537,67.002,10.24,G05131
387510765,312.1073,68.0336,6.6,G05131
387512056,312.0228,69.4476,10.84,G05131
387528960,312.3896,69.0256,10.42,G05131
387564014,312.7744,69.6014,8.26,G05131
387606486,313.2415,68.1999,9.76,G05131
387808020,314.97,69.3284,8.57,G05131
387829772,315.3847,66.7092,8.35,G05131
387878215,315.9171,68.443,9.52,G05131
387883326,316.2542,67.973,8.51,G05131
387951603,316.7166,68.8233,9.17,G05131
388135971,318.3006,66.4007,11.68,G05131
403118018,303.268,69.2076,9.84,G05131
406519850,325.0876,63.0609,9.16,G05131
409440179,327.3453,63.3593,9.95,G05131
409440427,327.4464,64.447,9.68,G05131
421444084,311.3373,57.5782,3.96,G05131
422355474,306.5349,67.6859,8.1,G05131
422383542,309.1155,67.7748,11.16,G05131
422385586,318.6115,66.3261,9.2,G05131
422386632,318.5923,67.1994,11.35,G05131
422387792,318.5128,68.3757,10.84,G05131
422455604,319.5705,67.3129,10.03,G05131
423926210,308.4091,71.1254,9.37,G05131
423926958,308.5769,69.9245,8.94,G05131
427146710,321.4933,65.6208,9.94,G05131
427271857,322.2618,61.4331,6.61,G05131
229411621,293.0733,61.4037,9.82,G05131
230000636,290.5287,60.3808,10.63,G05131
230018065,291.3226,60.8427,10.78,G05131
233310561,300.8192,58.7662,9.2,G05131
233342788,301.2465,54.4285,10.14,G05152;G05131
233345257,301.321,55.8325,10.54,G05131
233346162,301.3395,56.3419,5.78,G05131
233383083,301.7363,54.6529,7.8,G05131
233748892,302.6628,54.4938,8.58,G05131
233902144,304.728,55.5458,7.44,G05131
243301922,289.3231,54.2967,7.74,G05131
255997958,304.4698,53.5041,8.24,G05131
26414101,291.3735,50.0706,7.88,G05131
26489741,291.7003,50.146,6.88,G05003;G05131
267745761,290.1374,51.293,10.02,G05131
267807877,293.2185,56.0394,8.58,G05131
26966422,293.7861,51.3446,7.18,G05131
27013540,294.0787,49.8241,8.72,G05131
27081151,294.2101,51.1963,10.64,G05131
27187050,294.5193,49.655,9.3,G05131
27230001,294.7146,51.834,8.12,G05131
27310138,294.7638,51.1046,7.52,G05131
273594287,297.8309,47.3773,5.85,G05131
273684077,298.0899,46.7987,8.54,G05131
27394362,295.1889,48.5126,7.5,G05131
27686277,295.9781,50.7715,10.12,G05131
27843159,296.5262,51.6698,7.58,G05131
27998465,297.0129,53.6792,9.79,G05131
28085594,297.0936,49.237,8.06,G05131
28229352,297.6173,48.4973,10.88,G05131
284558179,291.2707,55.6635,10.42,G05131
284559267,291.4007,54.5695,9.22,G05131
287062723,294.7736,54.1815,7.39,G05131
293807888,295.8116,58.0163,5.75,G05155;G05131;20SECONDTARGET
294076276,300.5446,49.0521,9.92,G05131
294384955,301.8275,51.6874,9.99,G05131
294387310,301.8884,52.2186,9.88,G05131
295021910,302.6967,49.7473,10.96,G05131
295205720,303.2079,53.9764,10.3,G05131
295895112,304.2611,53.7506,9.71,G05131
298787492,287.7533,51.3621,7.93,G05131
299028948,288.6872,51.1451,8.83,G05131
299160146,289.1258,50.5212,9.48,G05131
299161160,289.1124,51.4094,8.4,G05131
311686082,300.0411,48.4799,9.73,G05131
351193032,296.65,50.2521,9.04,G05131
351297568,300.4687,49.367,10.57,G05131
352234671,292.0125,53.9272,10.37,G05131
352302462,297.1623,57.4449,8.34,G05131
352304467,297.0262,55.7946,9.79,G05131
352304550,297.1522,55.725,7.21,G05131
364760280,299.4762,48.0833,9.97,G05131
364819893,299.5145,53.9237,9.4,G05131
365048124,298.4521,57.461,11.45,G05131
371431297,308.0873,53.836,9.25,G05131
377779675,285.7418,51.5896,8.75,G05131
399822885,286.6758,53.3254,11.48,G05131
399862465,286.7761,51.6576,7.84,G05131
399863609,286.8169,53.1366,8.31,G05131
405714774,286.2275,53.3272,9.12,G05131
405715847,286.2252,52.0811,10.5,G05131
405760012,299.3138,54.8156,9.79,G05131
406946922,287.5277,54.9722,9.99,G05131
406947380,287.6527,54.4762,8.22,G05131
406951876,290.2198,51.472,8.98,G05131
416265649,289.5753,50.2156,9.03,G05131
416449237,297.9604,59.2021,9.96,G05131
416532486,299.0222,49.7078,10.26,G05131
417679315,290.9304,51.4432,9.59,G05131
417680998,290.9784,53.1142,9.98,G05131
421331258,288.8466,54.1779,10.04,G05131
424719233,294.6303,54.6747,9.29,G05131
424719589,294.672,54.9748,5.45,G05003;G05131
467182409,291.66,57.6479,10.85,G05131
48531084,285.2478,53.1845,9.05,G05131
165526988,266.0311,56.1931,7.92,G05131
165549436,266.4889,56.0196,9.05,G05131
165549513,266.536,56.2194,9.77,G05131
21032363,273.1811,53.5575,8.16,G05131
21032446,273.2809,53.7011,8.76,G05131
219805839,266.5203,63.7069,10.47,G05131
219808895,266.6627,64.4033,11.02,G05131
219811064,266.9853,61.5061,9.9,G05131
219812657,267.278,62.2444,11.52,G05131
219813695,267.2786,65.0521,10.28,G05131
219815061,267.3674,63.0234,10.41,G05131
219819747,268.0195,62.4094,10.83,G05131
219822744,268.2433,65.3279,11.46,G05131
229910145,287.4137,60.9495,10.66,G05131
229914817,287.5864,62.613,8.21,G05131
229951312,288.6793,60.6866,9.9,G05131
230017325,291.4691,61.776,10.38,G05131
230377874,285.414,60.23,9.21,G05131
230378457,285.3044,61.2065,9.58,G05131
232619612,268.1407,54.0737,10.02,G05131
232619896,268.4293,54.4,9.9,G05131
232620788,268.4179,56.3927,7.33,G05131
232625760,268.8359,56.0861,8.59,G05131
232627400,268.9803,59.9876,9.3,G05131
232633042,269.3973,58.9636,10.01,G05131
232637164,281.123,56.7791,7.89,G05131
232644915,281.7333,56.5062,10.19,G05131
232646673,281.7363,59.3314,8.04,G05131
232646723,281.6857,59.3952,10.14,G05131
233046903,268.3622,59.9405,10.94,G05131
233050077,268.8431,63.5815,11.57,G05131
233050418,268.7684,62.7872,10.31,G05131
233051228,268.804,60.9359,10.44,G05131
233052719,269.083,62.6107,7.13,G05131
233056745,269.5225,60.566,8.98,G05131
233063121,269.9841,63.3796,9.62,G05131
233075235,271.3828,65.0823,6.89,G05131
233075671,271.3432,64.0833,11.3,G05131
233075775,271.2635,63.8213,11.4,G05131
233077155,271.2518,60.8995,11.79,G05131
233079368,271.5344,63.7724,11.83,G05131
233082732,271.8287,60.2646,11.39,G05131
233084572,272.0687,63.3237,10.54,G05131
233087496,272.3038,61.4686,10.82,G05131
233089202,272.4712,61.8812,6.71,G05131
233089770,272.4438,63.1845,11.65,G05131
233093704,272.9591,60.1511,8.7,G05131
233095515,272.8735,64.0583,9.3,G05131
233097244,273.2107,63.6001,8.19,G05131
233097802,273.1613,62.4655,10.32,G05131
233098055,273.1711,61.9429,9.63,G05131
233121512,273.3713,63.9417,11.43,G05131
233124051,273.7341,62.3122,11.3,G05131
233126836,273.8643,62.7393,11.02,G05131
233127759,273.8793,64.8365,10.09,G05131
233156189,274.9397,60.3986,11.41,G05131
233157471,274.8923,62.7902,8.89,G05131
233157786,274.99,63.4152,11.24,G05131
233525801,280.1301,63.6349,9.62,G05131
233529602,280.3731,63.0708,10.98,G05131
233533506,280.498,60.983,11.21,G05131
233535898,280.6992,63.0844,10.88,G05131
233574458,282.2906,62.5588,11.12,G05131
233605273,282.8594,62.6787,11.99,G05131
233605441,282.9321,62.3823,10.47,G05131
233607727,283.2911,61.076,10.8,G05131
233611748,283.3122,63.3324,11.98,G05131
233613892,283.7212,60.0893,10.01,G05131
233618286,283.9035,63.6955,10.68,G05131
233619078,283.9404,62.283,11.32,G05131
233619917,283.8312,60.9234,9.64,G05131
233627309,284.5485,59.9871,10.99,G05131
233628452,284.7034,61.8023,11.3,G05131
233629373,284.6101,63.4337,7.88,G05131
233688441,275.3546,61.6045,10.47,G05131
233688760,275.3521,62.3349,10.4,G05131
233691875,275.6982,61.7096,9.85,G05131
233692094,275.58,61.2479,10.91,G05131
233713638,275.8653,64.7838,10.84,G05131
233718445,276.0201,60.4897,10.7,G05131
233719679,276.2822,61.7096,10.66,G05131
233725762,276.79,62.5498,11.11,G05131
233743754,278.2248,63.7092,8.75,G05131;G05121
233746028,278.6522,63.1972,10.41,G05131
233747424,278.5611,60.5968,10.55,G05131
236774097,282.6374,54.4463,9.79,G05131
236785287,283.0601,58.9942,9.39,G05131
236813812,283.5882,57.9514,8.71,G05131
236813854,283.5167,58.0105,10.88,G05131
236815891,283.7119,58.5731,9.86,G05131
237115590,269.5651,59.8759,9.65,G05131
237116880,269.8541,56.7282,9.32,G05131
243278290,288.4919,59.6034,9.09,G05131
243297220,288.6726,59.7677,9.15,G05131
298732064,278.4556,54.0715,10.35,G05131
298733254,278.5492,55.9477,10.87,G05131
298735128,278.5009,59.3608,10.42,G05131
341815637,267.4871,54.3615,9.67,G05131
341817584,267.5211,58.9842,9.93,G05131
353894978,271.6859,56.407,10.32,G05131;G05003
353895983,271.675,58.8207,11.02,G05131
353896754,271.9628,59.237,9.36,G05131
353939490,272.3701,57.8001,10.16,G05131
356916118,273.3672,55.0386,9.95,G05131
356918880,273.6227,59.6502,9.36,G05131
356920007,273.5761,57.344,10.22,G05131
356979069,273.7783,58.7148,10.48,G05131
356980164,274.0484,58.9282,9.75,G05131
356980226,273.8872,58.8045,8.52,G05131
357045518,274.3289,55.5224,10.17,G05131
357096450,274.7833,57.2249,9.38,G05131
357097766,274.839,54.8127,9.99,G05131
357098924,274.9749,55.0082,10.08,G05131
357099486,275.0124,56.0388,11.14,G05131
357129208,275.4862,58.9305,9.7,G05131
357526042,270.0443,53.8932,8.68,G05131
359497418,279.1688,57.056,9.59,G05131;G05003
359551900,279.3079,58.5399,8.69,G05131
359555709,279.6335,55.2457,7.18,G05131
359584313,279.7272,59.2954,9.06,G05131
359675280,280.8066,56.8961,9.14,G05131
359675817,280.8243,57.8179,7.11,G05131
359677968,280.9397,57.9485,7.01,G05131;G05003
362217377,275.2612,53.5944,9.85,G05131
376977306,284.2317,58.7982,11.56,G05131
376980250,284.3875,54.8572,8.89,G05131
376995032,284.4905,59.1427,10.9,G05131
376996854,284.698,57.7864,8.87,G05071;G05131
377054253,284.8237,59.4793,9.0,G05131
377098752,285.2016,57.8133,7.65,G05131
377105443,285.2449,58.6632,10.11,G05131
377193045,285.9211,56.9285,10.57,G05131
377196660,286.175,55.3697,8.86,G05131
377254737,286.4057,58.4899,11.73,G05131
377295633,286.8263,56.5959,8.17,G05131
383622010,270.6892,54.8893,10.38,G05131
383623741,270.6632,58.3891,10.67,G05131
383646999,278.7369,63.3905,9.18,G05131
383676421,279.2375,62.6643,11.01,G05131
390018486,277.5418,56.7225,11.05,G05131
390022843,277.7095,58.5595,9.46,G05131
390022875,277.8048,58.6233,10.89,G05131
392571044,280.6238,57.5548,9.82,G05131
47578424,278.4384,53.2608,10.14,G05131
47727051,279.3635,53.1863,8.16,G05131
47874734,280.4771,52.5511,10.61,G05131
47876421,280.613,52.5875,9.05,G05131
48087951,282.1402,53.8545,11.12,G05131
48194330,282.8953,52.9766,4.79,G05131
219088671,268.6108,67.7474,8.81,G05131
219095076,269.3706,69.1564,10.93,G05131
219096791,269.8292,69.7464,11.32,G05131
219098707,270.1298,67.0752,9.17,G05131
219099903,270.1228,70.3151,11.04,G05131
219101358,270.362,69.1895,10.84,G05131
219101431,270.1557,69.0027,10.23,G05131
219102122,270.253,67.21,10.72,G05131
219104063,270.7279,69.6546,8.88,G05131
219114132,272.1644,70.8203,11.18,G05131
229581386,270.24,72.1388,10.15,G05131
229588267,271.7207,74.8943,11.42,G05131
229596329,273.1286,75.1764,8.49,G05071;G05131
229596524,273.3491,74.5635,8.96,G05131
229597113,273.1737,72.9475,9.88,G05131
229597274,273.4502,72.5215,9.28,G05131
229598289,273.8425,73.8869,10.17,G05131
229606846,274.2487,73.9665,11.36,G05131
229613465,277.4374,76.3745,10.02,G05131
229617303,278.336,74.5836,11.19,G05131
229617452,278.4781,74.9598,10.06,G05131
229639079,278.9356,74.2437,10.55,G05131
229639831,278.9922,72.4308,10.05,G05131
229644321,279.6832,72.6332,10.93,G05131
229644935,280.0012,72.5628,11.52,G05131
229700266,277.0954,69.1551,7.91,G05131
229700601,277.084,70.0119,9.65,G05131
229700707,277.2712,70.2919,9.73,G05131
229700780,277.2991,70.4539,9.74,G05131
229701055,277.0133,71.2729,11.66,G05131
229706224,278.0612,71.6209,9.49,G05131
229706335,277.9353,71.3394,9.22,G05131
229707060,278.0367,69.4493,10.25,G05131
229707441,278.1256,68.6146,7.09,G05131
229710150,278.4073,69.064,7.85,G05131
229711679,278.5732,70.9251,11.16,G05131
229715331,278.8617,69.0471,10.83,G05131
229715468,279.02,69.3876,11.5,G05131
229740543,279.6861,68.8993,8.45,G05131
229740594,279.6743,69.0294,8.21,G05131
229741497,279.5356,71.2076,10.83,G05131
229743205,279.9222,68.488,11.0,G05131
229747270,280.5894,71.653,8.07,G05131
229752424,280.8181,71.5264,10.91,G05131
229770431,282.2023,69.9484,11.56,G05131
229774897,282.5965,71.1631,11.42,G05131
229776076,282.7475,69.8828,9.35,G05003;G05131
229776099,282.8055,69.8279,11.7,G05131
229779802,283.1115,69.8918,9.97,G05131
229780321,283.2601,71.1204,11.48,G05131
229786634,284.0006,71.358,11.84,G05131
