TICID,RA,Dec,Tmag,Keywords
275658545,304.7069,46.3221,6.58,G05036;G05003
275749084,305.2765,46.0524,9.14,G05036
275902244,312.9166,44.0007,9.18,G05036
276023350,312.9336,46.03,10.13,G05036
278353687,307.5149,48.9516,5.03,G05036
278358300,307.4277,50.3186,9.08,G05036
278548149,307.7085,50.839,8.85,G05036
278912173,313.6977,44.8462,8.96,G05036
279167697,313.7929,45.0507,11.09,G05036
279168450,313.8983,45.1503,11.63,G05036
285887857,309.4437,51.4654,8.43,G05036
289893965,315.9092,48.4748,9.39,G05036
290069794,315.9857,49.2395,7.85,G05036
290071534,316.0535,48.9434,10.85,G05036
290221208,316.2172,47.9331,9.94,G05139;G05036
296888720,311.5523,46.199,9.76,G05036
297259536,313.2217,42.6077,7.92,G05036
297264447,313.2706,43.6203,10.14,G05036
297266987,313.139,44.195,9.13,G05036
297601576,313.3116,44.3873,4.91,G05036
297602685,313.3924,44.1519,10.38,G05036
303351921,308.3655,50.6834,9.03,G05036;G05003
303964484,315.3097,43.7218,7.76,G05036
304114338,315.2956,46.1558,5.62,G05036;G05116;G05139;G05151
304379819,315.7026,45.8489,6.63,G05036
312290058,313.2626,47.9384,8.94,G05036
312399213,313.4683,49.5334,6.57,G05036
328827594,314.2611,46.5457,8.25,G05036
328829126,314.1634,46.3557,9.62,G05036
328962605,314.1449,44.9247,5.95,G05036
329947655,314.9566,47.521,4.58,G05036;G05116;G05139
330081196,314.9833,45.3369,9.6,G05036
330460057,315.2077,46.5786,7.57,G05036;G05139
353099086,312.2983,45.411,8.99,G05139;G05036
353100632,312.2291,45.6242,8.15,G05036
353210150,312.2345,46.1141,4.4,G05036
353340041,312.4777,46.6613,6.4,G05036;G05139
356292554,312.5318,45.4794,10.38,G05036
356776209,313.0405,44.4346,8.05,G05139;G05036
356779025,313.0319,44.0623,9.74,G05036
364492294,310.5527,50.34,5.52,G05036
364494392,310.5418,49.7347,8.53,G05036
364635661,310.9592,50.9728,9.34,G05139;G05036
364921141,311.2941,51.2105,9.1,G05036;G05151
365122781,311.4824,53.5015,9.77,G05036
371517470,308.1065,48.2165,7.04,G05036
387582319,318.3859,48.389,9.68,G05139;G05036
416684978,310.0046,48.1053,9.24,G05036
468583851,314.1004,43.1296,7.34,G05036
468624949,314.8272,45.4972,10.8,G05036
468655471,314.8305,47.3409,9.43,G05036
63456866,308.5355,41.6165,8.24,G05036
63457037,308.5563,41.5841,10.13,G05036
63457231,308.4421,41.5503,8.11,G05036
63458227,308.4158,41.3811,10.3,G05036
63458457,308.4493,41.3448,9.7,G05036
63748979,308.6817,41.4847,10.53,G05036
268109716,312.7916,55.4887,7.47,G05116;G05139;G05036
316945249,336.1592,56.1577,10.67,G05036
328165300,331.6067,55.3524,11.65,G05036
329136926,332.3369,57.8579,10.26,G05036
329757462,333.0365,57.2722,9.9,G05036
329771294,333.125,54.5599,11.06,G05036
329992262,333.1416,57.258,11.33,G05036
330241794,333.457,54.4097,9.89,G05036
330619041,333.8752,54.8583,11.72,G05036
330733844,334.0609,54.1671,9.86,G05036
335265326,332.19,61.0224,7.28,G05036;G05003
341202567,324.4205,57.5604,8.29,G05036
341315323,324.9351,58.2455,8.85,G05036
344542087,317.6687,57.7063,10.69,G05036
358430193,317.5651,53.5631,5.86,G05036
375432716,315.9702,55.2303,6.55,G05036
394984092,324.823,52.3624,7.48,G05036
395085556,325.0203,50.3966,10.48,G05036
395218466,335.2184,56.1391,10.96,G05036
409994572,327.5388,60.18,7.6,G05036
410521615,328.2514,60.6424,7.89,G05036
413171159,329.9566,61.1145,11.76,G05036
414281010,336.7812,54.1816,10.44,G05036
421726141,334.6805,54.6759,11.24,G05036
421786565,334.7554,56.9631,9.9,G05036
422107786,335.7399,55.8809,9.84,G05036
430460842,332.7072,53.2646,9.83,G05036
430806770,333.9859,53.649,11.31,G05036
467547739,337.4081,53.4933,10.38,G05036
469533510,324.1994,57.5839,8.41,G05036
64077872,337.7222,55.0372,11.18,G05036
229479255,295.6465,64.0302,9.14,G05036
236872887,302.914,63.5274,7.7,G05036
236996722,305.7264,64.1829,9.07,G05036
256662953,300.7481,65.8615,9.5,G05036
269598007,301.0067,66.0409,9.25,G05036
269696438,301.6071,68.291,8.72,G05036;G05003
276653683,308.639,57.9279,8.01,G05036
277502552,310.807,57.114,6.04,G05036
305850608,317.9509,59.9866,6.1,G05036
349920226,305.1764,66.6937,9.19,G05036
352762746,308.5906,64.6446,10.0,G05036;G05003
387813185,315.404,68.1633,6.77,G05036;G05139;G05151
402894425,302.737,68.2722,6.71,G05036
407298556,325.9381,62.7715,8.41,G05036
417566526,317.7402,60.2212,9.03,G05036
467219052,306.7373,58.5284,9.27,G05036
233387809,301.717,57.3732,9.36,G05036
26474401,291.4896,50.901,9.54,G05036
273681135,298.0298,47.9317,6.1,G05036
273683467,297.9961,47.0273,5.73,G05036
273874229,298.2551,47.8077,6.4,G05036
27847920,296.5123,49.1332,10.75,G05036
284563819,291.4448,58.0274,6.72,G05036;G05139
287193769,292.5378,57.2435,10.06,G05036
303247444,299.814,52.0557,6.3,G05036
351193224,296.6776,50.3505,8.83,G05036
352556540,306.3867,54.6842,7.12,G05116;G05139;G05036
365048183,298.3225,57.5235,5.26,G05036
365098683,305.6537,55.2118,10.99,G05036
365277613,306.2312,54.6956,10.55,G05036
416531393,298.9769,49.1954,8.17,G05036
229966103,289.5486,60.9602,7.21,G05036
232643392,281.6143,54.277,9.69,G05036;G05003
233121908,273.3592,64.7659,9.52,G05036
233539736,281.0182,60.77,10.48,G05036
233613741,283.4363,60.0179,7.15,G05116;G05139;G05036
236773991,282.5905,54.3009,7.57,G05036
236785664,283.0091,59.6671,6.98,G05116;G05036
243276811,288.2375,58.1078,7.7,G05036
341816971,267.6306,57.4436,8.01,G05036
357047278,274.5905,55.4468,9.82,G05036
377099704,285.1145,56.5252,8.97,G05036
392569763,280.6581,55.5396,5.12,G05036
48022676,281.6797,52.9879,5.95,G05116;G05036;G05139;G05151
229452839,294.401,64.0166,8.13,G05036
229793060,284.7193,69.5314,6.62,G05036
258461221,300.0167,68.4369,8.06,G05036
258954765,289.1008,67.1351,8.16,G05036
356822358,275.189,71.338,4.14,G05036
360020620,300.3917,70.4546,8.2,G05036;G05143
376869778,283.3887,75.7875,6.79,G05036
420114700,290.6854,74.6337,8.78,G05036
160553438,242.7063,75.8776,5.59,G05036
229670516,251.5915,77.0215,10.14,G05036
233497379,249.3017,76.1638,9.8,G05036
198279946,250.2761,62.3079,6.78,G05036
198388195,258.0954,57.2234,8.36,G05036
198456386,261.6738,59.7487,9.86,G05036
199572361,241.5404,61.6255,8.42,G05036
199687979,253.212,55.9974,8.71,G05036
224607716,255.8917,57.5,8.18,G05036;G05003
298290403,251.635,56.3768,9.67,G05036
