TICID,RA,Dec,Tmag,Keywords
156607940,71.5973,41.4082,10.2,G05036
171084337,67.7666,30.4537,9.84,G05036;G05003
349452503,61.7326,33.4463,6.81,G05036
349453460,61.6627,32.385,6.99,G05036
408523619,69.5635,31.9987,6.69,G05036
446041643,71.3699,30.2817,8.86,G05036
467692610,61.1795,32.5711,6.83,G05036
96951421,74.6396,30.6976,8.69,G05036
96957917,74.5398,34.8536,9.11,G05036
115053115,83.1498,33.2409,11.3,G05036
115055479,83.182,32.192,4.38,G05036
115199791,83.381,34.2904,9.91,G05036
115383283,83.5904,35.8136,9.17,G05139;G05036
115559331,84.0392,34.282,9.55,G05036
115559789,84.0329,34.1473,9.45,G05036
115559920,84.0099,34.1141,9.98,G05036
115560092,84.0135,34.0604,10.44,G05036
115639336,84.0648,32.954,10.01,G05036
115642245,84.1636,34.0638,8.99,G05036
115642252,84.1449,34.0654,10.62,G05036
115722123,84.0944,34.1338,9.12,G05036
115722132,84.0914,34.1356,9.33,G05036
115722156,84.1168,34.1418,9.53,G05036
115722162,84.0658,34.1435,8.9,G05036
115722189,84.0523,34.1496,10.7,G05036
115722282,84.0877,34.1713,9.75,G05036
115722303,84.0961,34.1757,8.97,G05036
115722319,84.1333,34.1798,9.13,G05036
115722396,84.1763,34.2016,9.22,G05036
115722515,84.0657,34.2383,10.87,G05036
115728950,84.2875,34.8119,8.01,G05036
115730751,84.2115,34.137,10.14,G05036
115893722,84.4623,33.9672,8.11,G05116;G05036;G05139
115901817,84.5685,34.4102,11.07,G05036
116063559,84.6326,33.2865,9.59,G05036
116074546,84.8682,33.8315,9.91,G05036
116247916,85.0008,32.9032,11.34,G05036
116250519,84.9998,33.8632,10.48,G05036
116258644,85.0904,34.1099,10.0,G05036
116331699,85.1675,32.1064,8.8,G05036
116389701,85.2589,33.392,11.21,G05036
116391339,85.2495,33.958,9.44,G05036
116395493,85.2477,35.8462,9.44,G05036
116743858,85.8219,33.4324,9.71,G05036
116746275,85.7766,34.3486,9.36,G05036
116858082,85.9125,31.7607,9.51,G05036
116946613,86.2729,35.1632,8.06,G05036
116997540,86.2215,33.5286,6.33,G05116;G05036
117103922,86.3012,34.096,8.82,G05036
122883754,77.5737,40.6598,8.86,G05036
127506807,80.8916,34.9186,11.06,G05036
127584684,80.8745,34.3481,9.88,G05036
127586561,80.8996,33.5716,10.57,G05036
127586563,80.851,33.5706,10.65,G05036
127586657,80.8325,33.5364,10.9,G05036
127586885,80.8311,33.4522,10.82,G05036
127586920,80.8546,33.4359,11.56,G05036
127712498,81.2015,34.0843,10.94,G05036
127713749,81.1286,33.5615,11.28,G05036
127764224,81.4366,35.6472,7.88,G05116;G05036;G05139
127837999,81.4254,33.3192,11.22,G05036
127840409,81.4258,32.3009,10.1,G05036
127958018,81.5513,32.0343,9.43,G05036
128017864,81.7736,34.3254,9.37,G05036
1827744,78.6909,31.6897,9.78,G05036
187483462,77.7832,37.3019,8.61,G05036
2006984,79.0756,34.3126,5.71,G05036
2008765,79.0846,35.3941,8.81,G05036
2104696,79.3848,33.1246,8.67,G05036
2237045,79.6296,34.2518,10.13,G05036
2334539,79.8132,34.2432,9.26,G05036
2335562,79.7502,33.7482,5.52,G05036
239716245,81.9413,33.9459,7.35,G05036
239717578,81.8722,34.4174,9.19,G05036
239717630,81.8164,34.4287,9.65,G05036
239718749,81.9006,34.7553,8.42,G05036
239726441,86.479,33.7193,9.3,G05036
239758529,86.7904,31.9022,9.93,G05036
239795363,86.9769,35.2392,9.26,G05036
239802539,87.0935,33.2239,11.85,G05036
239807112,87.0377,31.4191,10.93,G05036
239815039,87.2403,31.5324,9.04,G05036
239849332,87.4617,33.4589,10.19,G05036
2436328,79.8911,35.5889,9.6,G05036
2593217,80.1317,32.6039,10.81,G05036
2594287,80.2254,33.086,9.49,G05036
2603937,80.2662,34.2223,9.73,G05036
2676497,80.3407,33.3854,8.87,G05036
2678500,80.2743,32.4302,11.34,G05036
2776401,80.6064,34.5831,10.02,G05036
2776520,80.5922,34.5243,9.56,G05036
2778144,80.5808,33.8001,9.59,G05036
2778177,80.5825,33.7862,9.87,G05036
2778803,80.6221,33.514,8.79,G05036
2778879,80.6431,33.4891,12.04,G05036
2778931,80.5768,33.4725,11.43,G05036
2779013,80.6833,33.4407,10.08,G05036
2779166,80.6541,33.387,12.5,G05036
2779211,80.6653,33.3717,9.63,G05036
2779347,80.6671,33.3193,8.96,G05036
2854318,80.7866,32.5245,10.67,G05036
2855970,80.8035,33.3153,10.6,G05036
2856124,80.7413,33.3687,12.28,G05036
2856176,80.7176,33.3843,11.35,G05036
2856211,80.7238,33.3921,11.91,G05036
2856355,80.6938,33.4196,9.3,G05036
2856436,80.7397,33.4334,12.35,G05036
2856498,80.6865,33.4435,11.14,G05036
2856528,80.7065,33.4479,11.08,G05036
2856912,80.7594,33.527,10.98,G05036
2857009,80.8098,33.5641,10.48,G05036
2934856,80.7481,34.6625,10.44,G05036
2938831,82.0512,35.4311,10.41,G05036
2940839,81.9683,34.7828,8.14,G05139;G05036;G05151
2941914,82.0255,34.4561,10.66,G05036
2942142,82.0296,34.4239,9.52,G05036
2942298,82.0349,34.3959,9.7,G05036
2944381,81.96,33.6233,9.78,G05036
2945216,82.04,33.3131,10.15,G05036
3030849,82.1423,31.7232,9.84,G05036
3033649,82.1773,32.9441,11.09,G05036
308704616,87.6811,31.926,11.49,G05036
3093327,82.1254,34.3358,10.56,G05036
3097389,82.1773,35.0137,9.1,G05036
311911369,87.9782,32.2397,8.71,G05036
311996620,88.1194,34.1037,10.3,G05036
312353807,88.6175,31.1613,10.22,G05036
312690491,89.0047,34.8907,10.45,G05036
