# TESS Program G04132

Title: Probing Impulsive Events In Huge Flares At High Cadence

PI: Howard, Ward - University Of North Carolina

Type: SMALL

Summary: Megaflares, stellar flares of 10^35 erg, are among the largest and rarest flares emitted by M-dwarfs. They may fully dissociate Earth-like atmospheres in single events. It is currently unknown how their energy is released as a function of time, especially in the UV. We propose 20 s cadence observations of a large sample of megaflares from active stars across the sky to measure their impulsive emission profiles, coupled with simultaneous ground-based observations of a subset of events to measure flare temperature and constrain UV emission. This will be the first statistically-robust survey of megaflares at high cadence.


# Sector 040 targets observed (2 min: 56, 20 s: 56)
138362758,293.8707,37.7684,9.15,G04132;G04186;G04039;G04006;20SECONDTARGET
403981603,289.3229,28.8571,11.78,G04132;20SECONDTARGET
313808331,272.7756,35.7311,10.71,G04132;G04234;20SECONDTARGET
313988572,273.2789,26.0308,10.61,G04132;G04214;G04211;G04039;G04191;20SECONDTARGET
68193640,279.9998,33.4168,10.7,G04132;G04214;G04039;20SECONDTARGET
282043028,281.3447,18.8647,10.96,G04132;G04033;G04214;G04148;G04188;20SECONDTARGET
346580515,280.5551,19.1321,11.9,G04132;G04214;G04188;20SECONDTARGET
348211340,281.7973,22.2115,11.17,G04132;G04188;20SECONDTARGET
229459070,294.8046,61.3199,10.26,G04132;G04178;G04039;G04006;20SECONDTARGET
377293776,286.8543,59.0869,10.03,G04006;G04039;G04129;G04132;G04148;G04178;G04186;G04242;20SECONDTARGET
47974844,281.4647,50.7996,11.42,G04132;G04139;G04178;G04234;G04039;20SECONDTARGET
320525520,264.8907,56.8369,11.42,G04129;G04132;G04178;G04234;G04039;G04191;G04006;20SECONDTARGET
321602098,264.247,48.997,11.0,G04132;G04186;G04188;G04039;20SECONDTARGET
357032546,274.0695,54.1727,9.96,G04132;G04171;G04039;G04191;G04006;20SECONDTARGET
359313701,268.0117,56.6081,10.84,G04132;G04212;G04129;G04171;G04186;G04148;G04188;G04178;G04039;G04006;20SECONDTARGET
289726188,274.3543,48.3676,9.25,G04212;G04132;G04188;G04039;G04191;G04006;20SECONDTARGET
198238736,249.1365,63.896,11.75,G04132;G04178;20SECONDTARGET
198277670,249.8893,60.8961,11.78,G04132;G04178;20SECONDTARGET
199550243,241.0988,64.8616,10.83,G04129;G04132;G04178;G04039;G04191;G04006;20SECONDTARGET
219751364,261.1684,61.7971,10.99,G04129;G04132;G04214;G04139;G04186;G04178;G04234;G04039;G04191;G04006;20SECONDTARGET
233068870,270.5719,64.26,10.34,G04212;G04129;G04214;G04132;G04033;G04148;G04188;G04178;G04006;20SECONDTARGET
1551660228,278.0136,70.0435,12.34,G04132;G04178;20SECONDTARGET
219112414,271.6824,68.3683,11.15,G04129;G04132;G04188;G04234;G04039;20SECONDTARGET
229501076,296.8112,64.044,10.69,G04129;G04132;G04191;20SECONDTARGET
229742951,279.8572,69.0522,9.94,G04129;G04132;G04178;G04234;G04039;G04191;G04006;20SECONDTARGET
229945262,288.1503,63.1514,11.67,G04132;G04171;G04060;G04178;20SECONDTARGET
233690596,275.5399,64.885,11.88,G04132;G04178;20SECONDTARGET
