TICID,RA,Dec,Tmag,Keywords
13252446,305.314,37.4086,6.93,G022062
136198406,305.3732,30.5904,6.55,G022062
136317809,305.5425,31.2531,8.56,G022062
136656542,305.7783,30.8257,10.75,G022062
136879755,306.0112,33.143,10.43,G022062
13693636,305.5958,37.2155,10.46,G022062
13968858,305.7951,39.1623,8.92,G022062
13973539,305.762,38.4558,8.87,G022062;G022172
13974582,305.7385,38.3068,11.47,G022062
13976604,305.8404,38.0018,10.89,G022062
13980766,305.8531,37.2317,11.6,G022062
14085632,305.7219,37.1128,10.05,G022062
14206846,305.9216,38.45,11.25,G022062
14207118,305.9624,38.4928,8.18,G022062
14323558,306.0806,40.5611,8.97,G022062
14411083,306.1051,38.4852,9.99,G022062
14617089,306.3157,37.5549,11.94,G022062
14619997,306.262,38.0429,9.15,G022062
14622860,306.2861,38.4898,11.77,G022062
14841333,306.3786,37.593,8.87,G022062
14841673,306.4546,37.5384,8.06,G022062
14842303,306.3777,37.43,10.35,G022062
14842608,306.4192,37.3741,8.34,G022062
14844585,306.4097,37.0529,11.41,G022062
15072015,306.5872,39.6694,8.29,G022062
15795549,307.2119,39.1538,10.56,G022062
161287859,309.1258,33.6748,11.73,G022062
161563111,309.3338,35.4361,8.57,G022062
16316642,307.6137,41.2236,9.88,G022062
16617827,307.7717,38.7829,10.86,G022062
16728252,307.7939,41.5315,9.51,G022062
16734598,307.9063,41.2225,8.27,G022062
169944014,297.8075,37.8682,11.88,G022062
170234196,297.9279,40.0549,8.86,G022062
17034490,308.0934,41.3052,7.06,G022062
17038893,308.214,41.901,6.28,G022062;G022080
170937974,298.5607,37.6631,11.9,G022062
17125930,308.2084,41.3957,10.01,G022062
171501062,298.9136,40.0728,11.6,G022062
171502734,298.9365,40.3917,7.4,G022062;G022171
172274437,299.5125,39.4109,12.0,G022062
172422394,299.7198,40.9039,11.55,G022062
172424981,299.5773,40.4585,11.12,G022062;G022204
172431974,299.7088,39.3311,10.59,G022062
172877667,300.015,40.527,11.76,G022062
17448785,308.3052,41.2246,10.94,G022062
17451194,308.2937,41.3729,11.2,G022062
188266446,308.2181,43.1916,6.71,G022062
188527432,308.4154,45.1756,6.68,G022062
193391232,305.7618,43.2423,10.47,G022062
202636440,303.993,35.0147,8.75,G022062
202946895,304.59,30.1559,9.06,G022062
230478637,307.3703,32.7973,10.97,G022062
236046394,313.0149,34.6575,7.38,G022062
236537131,314.5561,35.1748,9.51,G022062
273629437,300.9098,39.9166,9.75,G022062
273885188,304.6967,36.3405,7.99,G022062
274078095,304.7263,40.0645,8.72,G022062
274347939,300.5807,39.9191,9.92,G022062
274348764,300.5164,39.7655,10.16,G022062
274645120,301.2213,37.7532,11.25,G022062
276162169,303.3575,32.9242,11.68,G022062
290571126,306.8922,31.8569,8.83,G022062
311945765,303.2535,40.6447,11.76,G022062
312074844,303.2777,37.8062,10.76,G022062
312374591,303.458,40.473,9.23,G022062
356051332,300.6943,37.8128,6.64,G022062
378273410,302.3692,35.7337,7.51,G022062;G022222
378275454,302.3096,35.4838,7.71,G022062
378395625,302.2991,33.9199,7.9,G022062
378819794,302.8066,35.4135,10.45,G022062
380290003,303.4842,35.3282,10.16,G022062
380298140,303.4848,34.2803,11.9,G022062
380724398,303.6655,35.654,10.39,G022062
381009148,303.8012,34.5134,9.91,G022062
381011161,303.7036,34.7394,11.92,G022062
40038743,300.1663,36.1975,10.5,G022062
40219040,300.4302,36.791,8.91,G022062
40244907,301.0113,41.5879,9.91,G022062
40367312,301.0187,39.1042,12.07,G022062
40378419,301.0663,38.1287,11.61,G022062
408200371,307.2422,34.1351,8.98,G022062
416925825,304.0528,42.1087,8.66,G022062
417052182,304.212,41.9616,10.44,G022062;G022208
41899759,302.0144,37.612,8.57,G022062
41998476,302.0164,40.7278,11.33,G022062
42244951,302.1907,37.237,8.48,G022062
42362686,302.2823,37.1519,8.85,G022062
426803687,304.9182,35.7863,10.49,G022062
427041696,305.0142,33.9431,7.99,G022062
43766762,303.1379,40.2682,7.21,G022062
63457037,308.5563,41.5841,10.13,G022062
63458273,308.4377,41.3756,12.18,G022062
63459761,308.5251,41.1358,10.93,G022062
63459798,308.4253,41.1317,10.89,G022062
63820329,308.7449,41.6048,9.14,G022062
67343900,311.9982,39.2877,6.27,G022062;G022020;G022204
89761288,301.5414,35.386,7.62,G022062
90349611,301.6457,35.7406,8.09,G022062
90463198,301.8487,35.7183,7.25,G022062
90978655,301.8726,35.3463,10.99,G022062
92059645,302.6926,33.8013,9.57,G022062;G022204
92645571,303.0951,32.8716,8.14,G022062
92776364,303.0266,34.6426,11.74,G022062
126336928,315.6085,27.8074,6.75,G022062
161710825,309.5544,30.4784,10.94,G022062;G022204
243402385,308.8902,28.2798,9.8,G022062
243441917,309.0349,25.8827,6.27,G022062
25559240,319.7506,26.0899,8.01,G022062
265885807,314.0356,21.4405,7.56,G022062
282368998,311.5787,28.2624,9.56,G022062;G022208
291145873,310.1763,26.0791,6.7,G022062
298098738,308.5955,28.3614,9.71,G022062
298099177,308.5565,28.2411,10.04,G022062
298421458,312.0261,27.457,8.02,G022062
331201939,310.5386,21.9315,11.72,G022062
331377569,310.7749,22.4818,11.33,G022062
363672851,307.9928,25.8049,6.09,G022062;G022223
367235822,308.7822,24.5146,11.7,G022062
406421379,308.2929,24.8654,11.37,G022062
436168322,306.3901,27.3691,9.59,G022062
452544997,307.725,25.6513,11.45,G022062
452563490,307.8301,25.0141,11.26,G022062
99407046,309.9012,30.8139,6.32,G022062
163965682,321.2515,33.6874,7.99,G022062;G022208
257060367,329.9251,36.284,10.04,G022062
372366518,331.9805,36.6856,11.56,G022062
452700542,326.0799,28.7813,6.54,G022062
229461186,295.1026,60.9203,10.85,G022062;G022208
229913521,287.4277,64.8589,9.91,G022062
229944718,288.1841,62.2707,10.37,G022062
233310793,300.8151,58.9546,11.64,G022062
236872887,302.914,63.5274,7.7,G022135;G022062
258351350,296.5108,69.9193,7.93,G022062
258773798,286.1776,66.3019,11.36,G022062
259126645,291.4795,68.9355,9.1,G022062
269697721,301.6155,70.6597,7.68,G022062
280033934,297.5902,70.288,10.52,G022062
343264872,309.6192,60.9186,7.96,G022062
352762746,308.5907,64.6446,10.0,G022135;G022062
164557531,283.7665,47.8191,10.54,G022062;G022208
21179665,275.9379,51.6495,8.19,G022062;G022171
232637164,281.123,56.779,7.89,G022062
233532554,280.4475,62.6764,9.6,G022062
233539736,281.0183,60.7701,10.48,G022135;G022062
233574062,282.1553,61.87,10.41,G022062
237130278,277.8058,52.7854,11.01,G022062;G022208
243319567,289.7004,55.5945,10.9,G022062
243352373,290.2687,56.3285,10.23,G022062;G022208
243352809,290.4019,56.843,11.34,G022062
263930790,276.7499,53.0622,10.44,G022062
267666834,284.5681,49.7795,11.01,G022062
267667621,284.5418,48.9612,9.52,G022062
267667927,284.4661,48.6552,11.32,G022062
267808239,293.1229,56.3881,9.58,G022062
284364590,290.7668,56.1347,10.4,G022062;G022103
289722957,274.1804,53.2465,11.51,G022062
298666271,278.3516,58.7065,8.77,G022062
298734307,278.6094,57.8018,7.21,G022062
299096355,289.0759,51.7572,10.94,G022243;G022253;G022062;G022053;G022204
356896550,273.1198,54.7815,9.88,G022062
356896561,273.1707,54.7685,9.15,G022062
356920361,273.6707,56.5884,6.31,G022062
359634548,280.7345,55.4514,6.61,G022062
376979172,284.3017,56.2328,7.95,G022062
377190161,285.6751,58.7328,10.11,G022062;G022208
377192659,285.9148,57.4572,8.36,G022062
377251803,286.2642,57.126,9.05,G022062
377253090,286.1923,58.9513,11.84,G022062
377296926,286.8154,55.0128,11.98,G022062
377307592,286.9862,59.3978,11.73,G022062
389916225,275.7725,58.9035,10.1,G022062
389917311,275.9931,58.8243,7.38,G022062
390021728,277.7935,56.4175,11.54,G022062;G022208
392536812,280.4675,58.0563,11.22,G022062
399788405,278.1634,57.6482,11.39,G022062
405684844,285.906,49.2874,11.55,G022062
424461577,279.7344,60.3981,10.15,G022062
424721218,294.6015,56.5403,11.64,G022062
47626069,278.7917,51.888,10.83,G022062;G022208
47734464,279.7132,52.3443,7.01,G022062
48084398,281.8734,49.432,6.84,G022062
48304328,283.1246,48.735,9.3,G022062
48356677,283.723,51.3087,7.42,G022062
48418928,284.0266,49.4153,10.57,G022062
48450369,284.7862,48.4233,8.33,G022062;G022053
48450535,284.7619,48.6099,11.13,G022253;G022039;G022062
48499902,284.7577,52.4682,11.64,G022062;G022204
48506689,285.2448,48.745,11.39,G022062;G022232
48507019,285.2162,49.0894,9.81,G022062;G022204
138098461,293.2967,41.8741,11.15,G022062
138221966,293.6252,41.6615,11.84,G022062
138429650,293.8645,41.7169,11.72,G022062
138430438,293.8964,41.8318,11.33,G022062
138431008,293.9297,41.6029,11.92,G022062
138638780,294.2413,41.6199,9.53,G022062
138639253,294.2791,41.4368,11.54,G022062;G022204
138725470,294.7917,40.8708,9.4,G022062
138726174,294.7815,40.6268,7.83,G022062
138961291,294.9404,40.4965,11.71,G022062
138968089,295.1011,40.9867,11.65,G022062
139154971,295.3361,40.3922,8.95,G022062
139157339,295.2703,41.0241,11.77,G022062
158272742,286.556,46.9573,11.05,G022062
158321712,286.7491,46.539,9.18,G022062
158324163,286.9557,46.9366,9.4,G022062
158324245,286.9712,46.8683,9.57,G022197;G022062;G022053
158324531,286.8598,46.6255,11.93,G022062
158393140,287.1531,45.9838,11.88,G022062
158417251,287.2816,45.6828,11.88,G022062
158491132,287.6039,46.4129,10.48,G022062
158491288,287.6318,46.2987,11.99,G022062;G022204
158491422,287.6375,46.2045,9.98,G022062
158561566,287.7088,47.3331,11.64,G022197;G022053;G022062
158660631,288.0203,46.3244,8.8,G022062;G022039
158728853,288.4416,45.609,11.23,G022062
158787519,288.5996,46.0318,10.01,G022062
158988347,289.2316,45.1644,10.82,G022062
159047480,289.4052,44.5155,12.0,G022156;G022062
159107668,289.7397,44.6473,11.16,G022062
159169838,289.7392,45.4582,11.94,G022062
159176945,289.884,45.304,11.29,G022062
159301268,290.1673,46.6166,11.36,G022062
159386347,290.3464,44.8174,11.44,G022062
159441328,290.5115,44.556,11.82,G022062;G022204
159443078,290.4832,43.6223,12.0,G022062
159449703,290.7038,43.6074,10.14,G022062;G022106
159578658,291.0406,44.1157,11.88,G022062
159644070,291.2451,47.2492,10.77,G022062
159719243,291.3199,43.5955,10.38,G022243;G022062;G022204
159719826,291.3655,43.868,10.84,G022062
159720778,291.2738,44.3712,11.89,G022062;G022204
159723646,291.2787,45.9342,11.45,G022062
159726150,291.3705,47.4356,11.56,G022062
159763687,291.5586,44.4881,9.81,G022062;G022204
168813467,296.9679,40.9268,9.76,G022062
169079394,297.1154,40.0241,10.71,G022062
169081296,297.0699,40.5252,9.85,G022062;G022053
169175441,297.1441,41.8817,11.49,G022062
169181296,297.2698,40.4102,11.84,G022062
169458450,297.4004,40.1495,11.37,G022062
169461816,297.4537,41.011,10.93,G022062;G022053
169467727,297.5255,41.2618,10.79,G022062
169814134,297.6401,40.236,11.13,G022062
169815918,297.7035,40.6425,11.61,G022062
169819162,297.6764,41.4285,12.17,G022062
169820068,297.7571,41.6805,11.58,G022062;G022204
170246384,297.9813,41.4449,11.53,G022062;G022204
170246850,298.0631,41.5107,11.95,G022062;G022204
170251756,298.2007,41.7291,11.13,G022062
170255099,298.1379,41.3343,11.17,G022062
170256002,298.1859,41.2244,8.51,G022062
170257220,298.2189,41.0808,7.17,G022062
170650421,298.2681,41.2516,11.86,G022062
170735592,298.476,41.0799,11.48,G022062;G022204
171030389,298.6529,40.9016,9.97,G022062
171092243,298.5579,41.8256,11.45,G022062
171093035,298.7432,41.8731,6.67,G022062;G022103
171096809,298.6959,41.0418,11.06,G022062
171506211,298.9058,41.0427,11.79,G022062
171507458,298.8647,41.2941,11.26,G022062;G022204
171882709,299.1503,41.0687,11.78,G022062
171971636,299.3036,41.441,11.65,G022062;G022106
171971913,299.3197,41.3848,12.07,G022062;G022053
171972067,299.3757,41.3551,11.21,G022062
171972482,299.3055,41.2635,10.23,G022062
184008771,295.4383,40.8435,11.65,G022062;G022204
184164428,295.7641,39.9032,11.84,G022062
184246521,295.834,39.9523,10.77,G022062
184253728,296.0697,41.271,11.74,G022062
184947995,300.7686,44.8306,9.83,G022062
184998729,300.8331,43.9623,11.9,G022062;G022204
185057693,301.0388,44.0712,10.33,G022062;G022115
185058177,300.9686,44.192,9.85,G022062
185059488,301.0483,44.603,11.22,G022062
185060842,300.9949,45.0789,11.87,G022062
185060864,301.0472,45.0876,9.2,G022062
185062334,300.9514,45.6041,8.63,G022062
185109374,301.1143,44.8258,11.57,G022062
185186949,301.2615,45.1049,9.84,G022062
185236439,301.5026,45.5306,11.26,G022062
185286922,301.4053,44.3268,9.92,G022062
185403173,301.7413,46.2994,9.07,G022062
185775579,302.5556,43.946,6.79,G022062;G022103
186137970,303.188,47.3948,10.28,G022071;G022062;G022204
193538686,305.9077,46.931,11.86,G022062
193545440,305.9715,46.9219,12.07,G022062
193545446,305.9707,46.9208,10.28,G022062
239233211,299.9821,46.2623,11.22,G022062
239233619,300.0213,46.0908,11.82,G022062
239235925,300.0683,45.1017,10.75,G022062
239276223,300.1156,45.1679,11.35,G022062
239290086,300.2828,44.6702,11.43,G022062
239290461,300.318,44.5351,11.57,G022062
239291500,300.3325,44.1441,11.91,G022062
239306767,300.4068,44.4142,10.84,G022062
239308404,300.4594,45.0127,12.01,G022062
239309691,300.5397,45.5072,10.92,G022062
239311194,300.5376,46.1043,11.1,G022062
240178198,292.9217,46.8121,10.83,G022062
240185634,293.0067,42.1103,11.59,G022062
240195381,300.6827,44.7886,10.86,G022062
26417155,291.627,48.093,10.03,G022062
26419206,291.6121,49.4692,7.09,G022062
264508409,298.5271,48.4186,9.66,G022062
26489741,291.7002,50.1459,6.88,G022062;G022171
26541137,291.928,49.2969,11.07,G022062
26584043,292.0442,48.9432,9.33,G022062
26597569,292.7196,48.852,9.51,G022062
26656583,292.5761,49.5261,10.3,G022062
267749737,290.102,48.2511,11.77,G022062;G022053
267990226,298.443,48.4128,10.96,G022062
267991311,298.4267,47.9742,10.77,G022062
268160366,298.6738,43.7955,11.66,G022062
268289462,298.7989,42.3909,10.88,G022062
268297677,298.854,43.4349,11.66,G022062
268299560,298.8165,43.6733,11.61,G022062
268302473,298.7787,44.0626,11.91,G022062
268303870,298.7603,44.2662,11.92,G022062
268305489,298.8286,44.4891,10.81,G022062
268380299,298.8002,46.6653,7.32,G022062;G022027;G022204
268380746,298.854,46.8269,9.62,G022062
268383780,299.0568,47.9093,11.36,G022062
268384099,298.9546,47.7736,11.36,G022062
268387175,299.0406,46.6611,10.84,G022062
268482699,299.0738,44.4316,12.27,G022062
268610013,299.1617,45.0519,11.42,G022062
268711288,299.3679,45.8839,11.66,G022062
268923307,299.4595,43.3305,7.75,G022062
269031095,299.5865,46.7655,10.57,G022062;G022204
269119490,299.7047,44.4357,12.12,G022062
269121699,299.735,43.8779,9.86,G022062
269123135,299.602,43.696,10.39,G022062
269126567,299.701,43.2956,9.5,G022062
26961023,293.5573,48.0417,11.07,G022062
26962050,293.7681,48.421,11.93,G022062
26965421,293.7688,50.6281,7.73,G022062
27006880,293.8268,50.0765,11.9,G022062;G022204
27014615,294.1088,50.5427,10.65,G022062
270517432,293.4736,46.9704,10.01,G022062;G022204
270613669,293.6832,43.9458,6.65,G022062
270615728,293.6205,44.9672,12.05,G022062;G022232
270616815,293.6933,45.517,11.85,G022062
270619211,293.5419,46.8222,9.76,G022062
270698296,293.7701,46.2365,11.9,G022062
270698316,293.7165,46.2267,10.57,G022062
270700608,293.7857,45.0184,11.31,G022062;G022204
270701667,293.742,44.4482,10.96,G022238;G022053;G022062
270788955,293.9033,46.0989,11.46,G022062
270789855,293.8834,46.5897,7.91,G022062
270856764,294.1596,45.3759,11.84,G022062
270863324,294.0318,42.4688,10.3,G022062
270864138,294.0955,42.1615,11.73,G022062
270949363,294.2317,42.5901,11.59,G022062
270951922,294.2019,43.6553,11.11,G022062
270957464,294.2675,46.3021,11.28,G022062
271040947,294.4607,46.5897,11.92,G022062;G022204
271041303,294.3688,46.405,11.75,G022062
271044027,294.3567,45.1239,12.06,G022062
271047463,294.4982,43.5838,11.73,G022062
271052158,294.6742,42.0756,11.98,G022062;G022053
271158877,294.5265,43.3964,10.43,G022062
271162223,294.5535,44.8504,11.96,G022062
271253876,294.8448,46.7042,11.75,G022062
271347126,294.8559,42.9373,11.15,G022062
271352011,294.9902,45.1272,11.19,G022062
271354390,294.9758,46.3043,11.62,G022062
271423638,295.0444,47.1964,11.59,G022062
271424481,295.1507,46.7721,11.97,G022062
271424521,295.1617,46.7506,10.57,G022062;G022204
271424675,295.1458,46.6779,11.94,G022062
271547805,295.1841,46.7471,11.55,G022062
271547896,295.2281,46.7849,9.87,G022062
271547961,295.2,46.8145,11.41,G022062
271664383,295.3376,45.5047,9.06,G022062
271668161,295.4397,44.039,9.88,G022062;G022121
271669080,295.4391,43.6763,11.87,G022062
271671025,295.4042,42.9812,11.22,G022062;G022053
271671189,295.467,42.9279,11.65,G022062
271763138,295.5763,43.1903,11.03,G022062;G022204
271773721,295.629,46.0514,12.04,G022062;G022204
271877841,295.8046,47.6709,11.61,G022062
27187870,294.4017,50.1721,11.81,G022062
271881482,295.8029,45.9879,9.17,G022062
271882245,295.777,45.6736,11.5,G022062
271958272,295.7166,43.1646,11.91,G022062
271967202,295.9351,43.4781,11.61,G022062
272071974,295.9479,44.8279,11.77,G022062
272074664,295.8545,45.8922,11.96,G022062;G022204
272079818,296.1498,47.6533,11.4,G022062
272176884,296.0164,43.4368,11.53,G022062
272179220,296.0586,42.6695,11.9,G022062;G022204
272368236,296.4082,44.9637,7.64,G022062
272489043,296.5648,43.9476,8.27,G022062
272489100,296.556,43.9678,12.05,G022062
272489221,296.4818,44.0093,9.66,G022062;G022103
272598447,296.5724,47.7527,11.26,G022062
272599738,296.7489,47.5438,8.86,G022062
272600589,296.6804,47.1731,11.63,G022062
272606395,296.665,44.8531,11.31,G022062;G022204
272607848,296.6732,44.3485,6.49,G022062
272609309,296.7313,43.8411,10.4,G022062
272706129,296.6699,43.4726,11.19,G022062
272718539,296.936,44.1611,11.82,G022062
272719652,296.8299,44.5491,11.24,G022062
272720444,296.9349,44.8501,10.89,G022062
272839425,296.8446,47.1044,11.55,G022062
272839847,296.8986,47.2816,12.0,G022062
272841995,297.1198,47.624,11.36,G022062
272843045,296.9934,47.1466,10.16,G022062
272844506,297.029,46.5287,11.63,G022062
272941454,297.0398,43.8728,11.64,G022062
272942353,296.9856,43.5813,10.41,G022062
272943843,297.0644,43.1269,8.32,G022062
272944291,297.0565,42.9832,11.59,G022062
272945156,296.9863,42.7301,9.24,G022062
272951532,297.2247,43.0374,11.27,G022062
273036521,297.1806,43.7645,11.72,G022062
273038330,297.2551,44.3767,8.15,G022062
273042299,297.2024,45.8498,11.84,G022062
273042650,297.1818,45.9885,10.48,G022062
273043307,297.1434,46.2285,11.05,G022062
27307817,294.7495,49.6556,10.43,G022062;G022204
27308818,294.8804,50.2669,11.08,G022062
273131564,297.3132,46.4482,12.02,G022062
273231214,297.3331,41.8911,11.79,G022149;G022062;G022053
273371098,297.531,46.0175,11.96,G022062
273372402,297.508,46.5215,12.02,G022062
273373040,297.5496,46.7828,12.03,G022062
273373712,297.5098,47.0544,11.96,G022062
273376048,297.6944,47.8789,11.72,G022062
273379486,297.7258,46.5489,11.15,G022062
273501820,297.7411,42.9961,11.05,G022062
273574141,297.9232,43.2562,11.08,G022062
273583841,297.8999,45.4665,11.16,G022062
273594336,297.9296,47.3906,9.72,G022062
273684561,297.9904,46.6103,11.24,G022062
273684688,298.0969,46.5649,11.21,G022062
273687627,297.966,45.5456,11.56,G022062;G022204
273778807,298.2075,42.2011,11.61,G022062
273782052,298.1156,42.9787,10.9,G022062
273865522,298.2066,44.6647,11.1,G022062
273872891,298.1489,47.2772,10.45,G022062
273874851,298.3713,47.8138,11.4,G022062
273875270,298.3585,47.6385,11.58,G022062
27396969,295.1429,49.9931,11.11,G022062
27397122,295.2166,50.0843,11.75,G022062
27397490,295.2125,50.3168,11.18,G022062
274024023,298.4224,44.3277,11.84,G022062
274031155,298.3242,42.3885,10.85,G022062
274120769,298.5506,42.5611,8.85,G022062
274120780,298.5493,42.5635,9.74,G022062
274127085,298.4551,44.3134,9.58,G022062
274129522,298.4485,45.1042,11.53,G022062;G022204
27531506,295.572,49.4782,10.6,G022062
27533666,295.5987,50.7206,10.35,G022062
275488116,293.0522,46.9335,10.51,G022062
275489982,293.0928,45.6918,11.72,G022062
275537496,304.7986,44.263,10.83,G022062
275575030,293.221,45.8438,11.85,G022062
275576176,293.2332,46.6001,12.02,G022062;G022204
275658545,304.7069,46.3221,6.58,G022062
27639466,295.7964,50.8959,10.28,G022062
27695471,296.0861,51.1271,9.15,G022062;G022103
27766908,296.1397,50.3858,12.04,G022062
27767184,296.0071,50.2327,9.96,G022062
27769688,296.1328,48.9773,11.35,G022149;G022053;G022062
27843942,296.4419,51.2243,11.83,G022062;G022208
27844498,296.4907,50.9059,11.19,G022062
27845677,296.4643,50.2861,11.2,G022062;G022204
27845826,296.3859,50.2049,11.82,G022062
27846645,296.4534,49.7865,10.65,G022062
27914890,296.7702,48.9222,10.51,G022062
27915909,296.826,48.4434,10.39,G022003;G022062;G022204
28159019,297.3154,49.706,11.24,G022062
28230919,297.7104,48.0821,8.51,G022062;G022200;G022053
28233980,297.7151,49.5737,12.57,G022062
28306907,297.8357,49.5458,11.77,G022062
28356314,297.9449,48.5577,11.72,G022062
28359831,298.0926,48.1045,10.83,G022062
28449295,298.2774,48.6408,11.51,G022062
28449614,298.236,48.4984,11.0,G022062
290032774,290.6631,50.7047,11.91,G022062
290034099,290.5489,49.4762,11.0,G022062
290035575,290.6963,48.203,10.66,G022062
294601335,302.2198,49.9232,11.98,G022062;G022204
295111026,302.9876,48.1176,11.47,G022062
295802147,303.9137,48.6064,11.48,G022062
295803225,303.8413,48.2871,10.46,G022003;G022062;G022039
296013024,304.2254,50.2776,7.48,G022062
298967445,288.5069,49.0949,9.95,G022062;G022208
299032481,288.5773,48.1294,11.55,G022062
299154631,289.0934,49.4246,6.32,G022062
299156852,289.1583,48.097,8.82,G022062
299219025,289.3941,50.368,11.78,G022062;G022204
299219279,289.3812,50.1893,10.54,G022062
303252818,299.9727,49.3916,11.89,G022062
350738423,291.2419,50.9334,10.05,G022062
350810416,291.1362,49.3662,9.92,G022062
350810590,291.2502,49.2318,11.68,G022149;G022062;G022053
351193224,296.6776,50.3505,8.83,G022232;G022062
351297515,300.4202,49.3928,11.9,G022062
352015343,285.5426,47.2875,7.21,G022062
352165018,305.2529,49.2052,9.2,G022062
364763181,299.577,49.4317,9.64,G022062
377912448,294.3321,41.6855,11.9,G022062
377912676,294.3562,41.7772,10.61,G022062
406947878,290.2985,47.9787,9.39,G022062
407000096,290.3973,50.0651,10.96,G022062
407002016,290.3996,48.4659,9.71,G022062
416283814,289.6666,48.7296,11.77,G022062
416528957,298.9635,48.1331,10.93,G022062
417676216,291.0413,48.718,11.67,G022062
417676622,291.0323,49.0402,9.51,G022062;G022053
417676658,290.9891,49.0728,11.46,G022062
424865156,292.2472,47.9696,10.03,G022062;G022053
63071112,291.9269,47.347,9.99,G022062
63071165,291.9354,47.3101,11.0,G022232;G022062;G022121;G022204
63072266,291.9969,46.5198,9.87,G022062
63074282,291.991,45.2341,11.73,G022062
63125816,292.2263,43.9953,10.36,G022062;G022121
63126950,292.1394,44.6727,8.28,G022062;G022204
63129375,292.1343,46.2024,11.51,G022062
63205800,292.3164,46.6222,11.87,G022062
63209318,292.308,44.4802,11.53,G022062
63291675,292.4918,47.8353,11.19,G022062;G022204
63366439,292.6174,44.002,10.79,G022062
63367810,292.612,43.3052,10.24,G022062
63368767,292.63,42.8293,11.01,G022062
63368895,292.615,42.7644,9.65,G022062
63370066,292.6311,42.1808,11.87,G022062
63449090,292.8626,44.2209,11.07,G022062
63451547,292.7854,45.6301,11.93,G022062
63454475,292.8181,47.481,6.63,G022062
233282561,300.2118,55.6894,9.84,G022062
233898009,304.4596,54.3227,6.28,G022062;G022103
233904049,304.7456,56.6055,9.42,G022062
267556582,311.6498,54.8765,7.72,G022062
276914715,309.4765,54.4986,9.75,G022062
277422933,310.8387,55.3575,11.68,G022164;G022252;G022062
277565268,311.1239,54.1018,9.33,G022062
278678404,307.932,50.8703,11.93,G022062
288778712,314.6518,51.5919,9.7,G022062
290277380,316.1371,50.7842,7.63,G022062
303351921,308.3655,50.6834,9.03,G022062
303833577,308.9879,49.0115,10.19,G022062
312286761,313.3471,48.5147,11.42,G022062
314459000,319.1215,55.3862,9.42,G022062
315777423,321.0969,56.3615,8.28,G022062
322845246,309.6752,48.6883,11.09,G022062
344376832,317.628,57.7192,10.47,G022062
344456744,317.7574,55.3322,7.83,G022062
352152521,305.3089,52.4105,6.66,G022062
357979050,316.8357,52.0498,8.7,G022062
365034219,311.2933,48.0868,11.05,G022062
365278098,306.1431,54.483,9.96,G022062
365787759,324.2181,52.0105,11.43,G022062
375422201,315.8822,59.4307,9.2,G022062
63328020,320.06,51.3947,11.55,G022062
198354348,255.9705,57.3654,10.24,G022003;G022062
