TICID,RA,Dec,Tmag,Keywords
220394516,68.7005,-56.5915,9.39,G03252
220416736,71.5113,-54.3809,8.76,G03255;G03252
259701720,74.3739,-52.146,9.47,G03252
391474560,60.4039,-53.7013,12.09,G03252
396720223,65.5246,-56.9832,9.59,G03252
149037112,78.3994,-61.0782,9.94,G03255;G03252
149218335,82.0678,-60.2921,10.26,G03255;G03252
149247623,82.1953,-64.9122,9.96,G03252
149304495,83.3653,-64.4183,9.1,G03252
149574542,86.7113,-63.2719,9.09,G03252
149630824,87.7289,-60.8803,10.28,G03255;G03252
149665755,87.6626,-65.26,7.97,G03252
149933253,89.9134,-65.4468,9.05,G03252
219410829,78.8701,-53.6384,10.17,G03255;G03252
260078159,91.9914,-55.3983,11.01,G03252
260161111,92.8439,-58.3568,10.62,G03255;G03252
350431472,84.906,-57.1815,9.6,G03255;G03252
350563225,86.7776,-55.5672,9.08,G03252
350563998,86.9556,-53.8925,10.6,G03252
350709413,88.1187,-56.2007,8.58,G03252
350954375,90.9498,-55.2943,10.65,G03252
358402382,78.1774,-55.5993,9.94,G03252
374858533,88.3114,-61.8394,6.76,G03252
382044998,79.4256,-57.1154,10.64,G03252
382258769,82.5664,-54.6857,10.66,G03252
55271188,76.2756,-60.1366,10.05,G03252
141026903,78.853,-73.5884,6.37,G03252
179120455,79.0108,-70.4561,8.38,G03255;G03252
179124163,79.4561,-71.9236,9.7,G03252
179246511,79.7948,-68.581,9.7,G03252
179438643,80.1141,-67.5098,10.35,G03255;G03252
179638690,80.5952,-67.3692,11.06,G03252
231744384,78.2222,-67.7434,9.66,G03252
238185398,55.0782,-72.0376,9.17,G03255;G03252
238226832,58.8621,-72.3416,9.3,G03252
25080787,61.1941,-71.8804,9.85,G03252
25195864,63.7537,-69.5367,10.46,G03255;G03252
276863693,83.68,-66.9023,9.66,G03252
287298969,82.3553,-66.439,7.88,G03255;G03252
299802315,59.6478,-74.7465,9.69,G03252
30316134,74.3836,-68.019,11.07,G03252
30531417,74.8072,-69.5951,11.12,G03204;G03252;G03169
31105402,76.377,-68.2561,9.77,G03252
31926807,53.7003,-70.0534,11.2,G03252
373598109,81.1989,-66.3993,10.95,G03252
373846934,81.3606,-66.1027,9.12,G03252
38587180,64.1641,-64.3154,7.7,G03255;G03252
38587771,64.141,-65.9113,8.26,G03252
38602305,64.4179,-63.2552,6.16,G03059;G03252
38635760,65.3148,-64.1808,10.71,G03255;G03252
389570196,86.5232,-67.7097,7.85,G03255;G03252
404765784,84.9251,-67.9396,10.61,G03252
407661867,83.0771,-72.8325,8.25,G03252
141480176,86.7837,-74.7702,9.33,G03252
141757920,91.6359,-73.0225,9.97,G03251;G03252
142145534,99.8065,-75.5088,8.8,G03255;G03252
177284702,102.3764,-75.4495,9.51,G03252
271597440,108.5822,-77.0506,10.94,G03252
271721765,110.4408,-75.3518,8.55,G03252
271892200,112.9318,-72.0045,8.98,G03252
272316843,118.663,-75.1288,9.26,G03252
272468825,120.8751,-71.9724,10.13,G03251;G03252
287718001,125.9081,-74.1659,7.87,G03255;G03252
287770635,126.8901,-75.3583,6.73,G03252
300038935,107.8437,-68.8333,9.1,G03278;G03255;G03068;G03252;20SECONDTARGET
306634577,120.0751,-70.1815,8.65,G03252
306672432,120.5929,-67.7948,8.6,G03059;G03252
306931346,122.7069,-71.3311,9.06,G03255;G03252
389925842,87.7242,-71.9667,9.83,G03255;G03252
391892593,115.455,-68.0283,9.35,G03251;G03252;20SECONDTARGET
41174274,91.3655,-70.4627,9.37,G03252
41227922,91.5849,-69.2584,8.72,G03255;G03252
41256025,91.9405,-69.1563,11.14,G03252
41259805,92.1221,-71.1199,8.84,G03255;G03252;20SECONDTARGET
150272131,94.7069,-63.0107,10.16,G03255;G03252
150394126,96.9526,-62.1498,6.54,G03252
167601581,102.0418,-63.4443,9.98,G03252
167602316,102.0469,-61.9399,3.04,G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
167695608,102.9257,-63.4304,11.69,G03255;G03252;20SECONDTARGET
167718227,103.0906,-62.6681,10.64,G03255;G03252
167751145,103.9712,-64.9971,9.74,G03252
177080157,103.3169,-66.3443,9.75,G03255;G03252
260416268,95.7322,-56.3701,5.41,G03252
260540380,97.0324,-54.9877,9.73,G03252
260636592,97.7742,-56.9389,8.85,G03252
260654645,98.1885,-57.8055,12.55,G03252
262498136,109.9286,-57.7788,8.25,G03255;G03252
262498404,109.8875,-57.4488,7.55,G03255;G03252
262499894,109.8289,-55.6151,8.35,G03255;G03252
278683664,99.1676,-58.4088,8.49,G03059;G03252
278898255,101.2911,-59.6889,9.45,G03252
279215865,103.4978,-55.78,9.1,G03252
279361762,104.7668,-58.5147,8.04,G03255;G03252
279613634,106.4419,-56.222,8.78,G03252
281575623,114.1982,-59.5935,9.31,G03255;G03252
281575671,114.1621,-59.5268,10.27,G03252
293937291,106.6325,-56.2168,10.75,G03252
294094184,107.4498,-55.9681,10.61,G03252
294097368,107.7067,-55.561,10.38,G03252
339635291,110.0954,-56.2943,6.47,G03255;G03252
339773261,111.2731,-56.9213,9.64,G03255;G03252
339889261,111.971,-56.1487,10.18,G03252
339960900,112.4754,-58.8994,10.71,G03255;G03252
340006157,112.7373,-57.991,8.72,G03252;20SECONDTARGET
340173446,113.5646,-57.1578,10.39,G03252
340174319,113.5853,-58.1345,10.53,G03252
340255615,114.8673,-57.4155,10.65,G03252
340256178,114.8231,-57.9924,10.24,G03255;G03252
340357810,115.4588,-59.5194,10.71,G03252
340359292,115.4962,-57.9707,10.21,G03252
340559356,116.3152,-59.3482,10.3,G03255;G03252
340560190,116.1829,-58.5383,10.52,G03255;G03252
340560636,116.2478,-58.0872,9.69,G03252
348841745,98.8952,-58.2117,9.29,G03255;G03252
348895477,105.7786,-64.1576,11.36,G03252
349056430,107.4061,-62.3047,8.2,G03252
349409806,110.3716,-61.9925,8.1,G03252
349972600,114.4733,-62.3051,9.09,G03252
350031852,115.1523,-60.1361,10.41,G03252
350138845,115.1911,-60.6407,10.68,G03252
350146296,115.7396,-63.7019,9.17,G03132;G03255;G03252;20SECONDTARGET
358511856,119.1586,-65.6138,8.78,G03252
382436277,117.1425,-64.8224,8.16,G03255;G03252
382572536,118.3122,-64.6984,9.24,G03252
