TICID,RA,Dec,Tmag,Keywords
176287658,1.6751,-7.5495,10.25,G04033;G04214;G04211;G04148;G04191;20SECONDTARGET
471016474,353.7983,-2.3941,11.28,G04214;G04211;G04148
8988748,354.7116,-7.689,13.31,G04137;G04200;G04211;G04036;20SECONDTARGET
9759680,358.9129,-6.1449,9.01,G04139;G04211;G04191;20SECONDTARGET
268126668,11.3415,16.5788,16.68,G04211
336777483,14.1642,17.458,11.02,G04214;G04211;G04191
336813693,17.8571,15.4386,11.01,G04211;G04188
471012297,15.8139,20.0985,10.53,G04211
328084809,16.9684,0.699,17.57,G04211
336892484,17.984,4.9149,10.44,G04139;G04214;G04211;20SECONDTARGET
344631411,14.4353,5.8557,8.62,G04211;G04039;G04191;G04006;G04147
344714317,15.6043,5.0629,7.23,G04211;G04191
346896171,24.2411,9.5631,18.07,G04211
369534824,25.8315,4.3171,8.76,G04214;G04211;G04191
380887434,19.4724,5.4701,9.17,G04211;G04006
610972151,17.9885,4.9013,19.85,G04211
630426268,20.6868,0.5324,12.83,G04186;G04211
337077125,33.1927,10.5478,13.55,G04214;G04211;G04148
337134557,33.9875,10.255,12.49,G04214;G04211
347509900,30.5636,10.3355,11.88,G04033;G04148;G04211;G04214;20SECONDTARGET
347509984,30.6172,10.5809,10.67,G04033;G04211;20SECONDTARGET
408587159,34.1275,13.5843,11.99,G04033;G04147;G04148;G04211;G04214;20SECONDTARGET
420001446,35.1936,2.9753,11.83,G04240;G04214;G04211;G04234;G04039
422844595,36.9419,4.433,7.2,G04211
113710966,25.6221,20.2645,4.49,G04222;G04104;G04211;G04191;20SECONDTARGET
456933791,27.0188,21.2054,9.96,G04214;G04006;G04211
60987924,29.5649,18.1208,14.03,G04214;G04211
88756273,26.2389,16.3417,11.31,G04214;G04211;G04191
91305824,27.8507,21.3922,11.18,G04214;G04211;G04188;G04039
247042708,38.9737,20.219,8.6,G04211;G04039;G04191;G04006
247372926,40.8399,19.4292,7.17,G04236;G04211
408777481,37.6051,16.8045,13.84,G04214;G04211
620302393,38.4042,24.9269,16.74,G04211
278962913,39.0745,6.8804,9.02,G04214;G04033;G04211;G04148;G04191;20SECONDTARGET
387422624,41.5736,11.774,7.35,G04211;G04191
387585453,44.3901,10.7876,10.68,G04214;G04211
415339665,58.8484,11.5594,18.31,G04211
434136638,55.9395,16.6654,8.87,G04059;G04211;G04039;G04191;G04006
434136640,55.97,16.6701,8.27,G04142;G04211;G04191;G04039;G04006;20SECONDTARGET
435308534,54.39,17.8539,10.56,G04240;G04236;G04186;G04211
640359888,58.1723,17.018,19.61,G04211
67827103,56.1478,18.4293,14.8,G04200;G04137;G04211;G04147
348769612,58.6906,24.2722,12.78,G04033;G04214;G04211;G04148;20SECONDTARGET
35025268,48.5541,28.6731,13.02,G04033;G04214;G04211;G04148;G04178;20SECONDTARGET
427580415,54.8746,24.9686,10.37,G04214;G04211;G04039;G04191
427580418,54.971,24.9573,15.76,G04211
