# TESS Program G06037

Title: TESS Lifts The Veil On The Unconstrained Interiors Of Massive Stars

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important chemical factories in the Universe and progenitors of core-collapse supernovae. However, a major limitation of stellar evolution models is their uncalibrated prescriptions for interior rotation and mixing processes. This is because we lack detailed empirical constraints on massive star interiors. Fortunately, most massive stars pulsate in pressure and gravity modes, which are highly sensitive to a star s interior physics. The TESS mission is providing the first set of long-duration and high-precision light curves for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate the large rotation and mixing uncertainties in stellar evolution theory.


# Sector 070 targets observed (2 min: 26, 20 s: 0)
94471007,58.8461,31.0458,6.03,G06037
242991317,60.17,12.4903,3.59,G06037;G06057
468892188,57.0679,11.1431,5.23,G06037
115053115,83.1498,33.2409,11.3,G06037
115055479,83.182,32.192,4.38,G06037
115199791,83.381,34.2904,9.91,G06037
115452740,83.6354,30.6166,8.77,G06037
115559331,84.0392,34.282,9.55,G06037
115559789,84.0329,34.1473,9.45,G06037
115559920,84.0099,34.1141,9.98,G06037
115560092,84.0135,34.0604,10.44,G06037
115639336,84.0648,32.954,10.01,G06037;G06139
115642245,84.1636,34.0638,8.99,G06037
115642252,84.1449,34.0654,10.62,G06037
115722123,84.0944,34.1338,9.12,G06037
115722132,84.0914,34.1356,9.33,G06037
115722156,84.1168,34.1418,9.53,G06037
115722162,84.0658,34.1435,8.9,G06037
115722189,84.0523,34.1496,10.7,G06037
115722282,84.0877,34.1713,9.75,G06037
115722303,84.0961,34.1757,8.97,G06037
115722319,84.1333,34.1798,9.13,G06037
115722396,84.1763,34.2016,9.22,G06037;G06139
115722515,84.0657,34.2383,10.87,G06037
115730751,84.2115,34.137,10.14,G06037
115893722,84.4623,33.9672,8.11,G06073;G06037;G06139
115901817,84.5684,34.4102,11.07,G06037
116063559,84.6326,33.2865,9.59,G06037
116074546,84.8682,33.8315,9.91,G06037
116147598,84.8533,30.8907,7.66,G06037
116247916,85.0008,32.9032,11.34,G06037
116250519,84.9998,33.8632,10.48,G06037
116258644,85.0904,34.1099,10.0,G06037
116331699,85.1675,32.1064,8.8,G06037
116342030,85.1898,31.8813,9.13,G06037
116389701,85.2589,33.392,11.21,G06037
116391339,85.2495,33.958,9.44,G06037
116743858,85.8219,33.4324,9.71,G06037
116746275,85.7766,34.3486,9.36,G06037
116858082,85.9125,31.7607,9.51,G06037
116865190,86.0215,30.9338,8.11,G06037
116997540,86.2215,33.5286,6.33,G06037
117103922,86.3012,34.096,8.82,G06037
119349190,89.3117,23.4195,7.7,G06037
127584684,80.8745,34.3481,9.88,G06037
127586561,80.8996,33.5716,10.57,G06037
127586563,80.851,33.5706,10.65,G06037
127586657,80.8325,33.5364,10.9,G06037
127586885,80.8311,33.4522,10.82,G06037
127586920,80.8546,33.4359,11.56,G06037
127712498,81.2015,34.0843,10.94,G06037
127713749,81.1286,33.5615,11.28,G06037
127721213,81.1182,30.1919,9.35,G06037
127721488,81.2424,30.0795,10.7,G06037
127837999,81.4254,33.3192,11.22,G06037
127840409,81.4258,32.3009,10.1,G06037
127843848,81.4088,30.6872,8.86,G06037
127845671,81.5609,29.9867,7.98,G06037
127958018,81.5513,32.0343,9.43,G06037
128017864,81.7736,34.3254,9.37,G06037
1827744,78.6909,31.6897,9.78,G06037
2104696,79.3848,33.1246,8.67,G06037
2334539,79.8132,34.2432,9.26,G06037
2335562,79.7502,33.7482,5.52,G06037
239716245,81.9413,33.9459,7.35,G06037
239717578,81.8722,34.4174,9.19,G06037
239717630,81.8164,34.4287,9.65,G06037
239726441,86.479,33.7193,9.3,G06037
239733050,86.5395,30.9311,11.88,G06037
239758529,86.7904,31.9022,9.93,G06037
239802539,87.0935,33.2239,11.85,G06037
239807112,87.0377,31.4191,10.93,G06037
239815039,87.2404,31.5324,9.04,G06037
239849332,87.4617,33.4589,10.19,G06037
2513761,80.2258,30.0963,11.12,G06037
2593217,80.1317,32.6039,10.81,G06037
2594287,80.2254,33.086,9.49,G06037
2603937,80.2662,34.2223,9.73,G06037
2676497,80.3407,33.3854,8.87,G06037
2678500,80.2743,32.4302,11.34,G06037
269616441,89.6951,23.2508,8.66,G06037
269758865,89.8574,23.7279,10.43,G06037
2778144,80.5808,33.8001,9.59,G06037
2778177,80.5825,33.7862,9.87,G06037
2778803,80.6221,33.514,8.79,G06037
2778879,80.6431,33.4891,12.04,G06037
2778931,80.5768,33.4725,11.43,G06037
2779013,80.6833,33.4407,10.08,G06037
2779166,80.6541,33.387,12.5,G06037
2779211,80.6653,33.3717,9.63,G06037
2779347,80.6671,33.3193,8.96,G06037
2854318,80.7866,32.5245,10.67,G06037
2855970,80.8035,33.3153,10.6,G06037
2856124,80.7413,33.3687,12.28,G06037
2856176,80.7176,33.3843,11.35,G06037
2856211,80.7238,33.3921,11.91,G06037
2856355,80.6938,33.4196,9.3,G06037
2856436,80.7397,33.4334,12.35,G06037
2856498,80.6865,33.4435,11.14,G06037
2856528,80.7065,33.4479,11.08,G06037
2856912,80.7594,33.527,10.98,G06037
2857009,80.8098,33.5641,10.48,G06037
2941914,82.0255,34.4561,10.66,G06037
2942142,82.0296,34.4239,9.52,G06037
2942298,82.0349,34.3959,9.7,G06037
2944381,81.96,33.6233,9.78,G06037
2945216,82.04,33.3131,10.15,G06037
3030849,82.1423,31.7232,9.84,G06037
3033649,82.1773,32.9441,11.09,G06037
308704616,87.6811,31.926,11.49,G06037
308706765,87.6203,31.0652,8.16,G06037
308805406,87.7233,30.7234,9.21,G06037
3093327,82.1254,34.3358,10.56,G06037
309335864,89.6472,30.2072,9.07,G06073;G06037;G06139
311911369,87.9782,32.2397,8.71,G06037
311917189,88.0452,29.9165,9.23,G06037
311996620,88.1194,34.1037,10.3,G06037
312353807,88.6175,31.1613,10.22,G06037
312563333,88.9027,30.7114,8.29,G06037
3211507,82.2891,32.5597,9.96,G06037
3461758,82.8628,34.2471,11.23,G06037
3462120,82.8596,34.1861,10.89,G06037
3465772,82.8303,32.6143,11.75,G06037
353298304,89.8832,32.8869,8.76,G06037
3544794,82.8588,30.6989,10.63,G06037
367154404,81.3243,29.6149,8.71,G06073;G06037;G06139
437799422,83.39,23.3423,8.43,G06037
62008392,78.9595,29.8316,9.74,G06037
74159006,83.1943,26.7474,8.17,G06037
74386000,83.6629,28.051,7.89,G06073;G06037;G06183;G06139
74387059,83.6526,27.5927,8.63,G06073;G06037;G06139
74636411,84.0112,26.2683,8.14,G06037
74721767,84.1658,27.9117,8.13,G06037
75078662,84.7274,26.3158,8.24,G06073;G06037
75170940,84.7417,28.4601,8.17,G06073;G06037;G06139
75172674,84.8263,29.2152,5.84,G06037
75239191,84.9351,27.7808,8.96,G06037
75424069,85.1352,27.4428,8.43,G06037
75508636,85.4352,29.726,9.39,G06037
75509134,85.4973,29.5226,8.62,G06037;G06139
75592524,85.4033,26.6155,7.93,G06037
75594842,85.4125,25.5135,8.48,G06037
75692141,85.5659,25.7837,9.51,G06037
75773999,85.7108,25.7269,9.38,G06037
75852151,85.9127,25.4395,6.62,G06073;G06037;G06139
76028730,86.1155,27.2299,9.28,G06073;G06037;G06139;G06139
76032944,86.1573,29.0166,7.99,G06037
76211045,86.4355,26.5602,9.48,G06037
76216928,86.337,29.1578,9.39,G06037;G06139
76297288,86.5979,25.5437,8.56,G06037
76543999,87.2235,29.1361,8.05,G06073;G06037;G06183;G06139
76545916,87.1722,28.3246,8.16,G06037
76636576,87.2041,27.3638,7.7,G06037
76641076,87.1193,25.1135,9.5,G06037
77706854,87.9809,27.0328,9.79,G06037
77834479,88.3157,29.6885,10.9,G06037
77966679,88.3796,25.7422,8.05,G06073;G06037;G06183;G06139
78071839,88.4994,26.4225,8.15,G06073;G06037;G06183;G06139
78261043,88.8317,27.9149,9.08,G06037
78431470,88.9178,27.7156,6.81,G06037
78499882,88.9793,28.7851,9.96,G06073;G06037
78515820,88.9992,25.4013,10.17,G06037
78878491,89.4986,25.9539,4.94,G06037
79241923,89.9731,25.0886,8.79,G06073;G06037;G06139
114249288,87.9105,21.5411,10.57,G06037
114683368,88.4925,20.8763,9.04,G06037
114686720,88.5074,22.1082,9.22,G06037
118904985,88.7362,19.7496,6.07,G06037
118969977,88.9194,20.0778,10.56,G06037
19243954,81.856,21.4818,7.39,G06037
19329469,81.9087,21.9369,5.03,G06037
19621526,84.0959,21.1865,8.62,G06073;G06037;G06139
19704573,84.4112,21.1424,4.62,G06037;G06073;G06183;G06139
247677744,86.9288,13.8995,5.46,G06037
27413266,77.8265,21.7233,9.01,G06037
29277573,86.2343,21.4607,8.52,G06073;G06037;G06139
302267223,81.5238,16.7001,6.29,G06037
302761632,82.7565,12.0968,7.71,G06037
358301744,87.3417,20.5843,9.01,G06037
432914742,82.5809,21.5917,10.4,G06037
437790952,83.3818,18.5402,5.46,G06037;G06073;G06139
437857091,83.9188,21.4032,7.39,G06037
52212687,83.4762,14.3055,5.83,G06037
5807007,79.1828,18.4395,7.63,G06037
59215060,85.3238,16.534,4.89,G06037
59354634,89.2108,16.3551,7.33,G06037
6548676,80.9951,19.9759,10.03,G06037
6751464,81.2932,20.5837,6.49,G06037
91605930,88.4445,16.1535,8.51,G06037
91791971,88.6864,13.8547,7.44,G06037;G06139
151464886,91.8931,14.7683,4.59,G06037
201960635,101.2507,11.1639,10.78,G06037
238556993,91.0607,21.0946,9.98,G06037
238559148,90.9799,20.1384,4.37,G06037
294114621,92.2326,15.705,8.07,G06037
294124764,92.7756,13.1452,9.76,G06037
294306184,93.0121,15.3861,11.05,G06037
294308920,92.985,14.2086,4.73,G06037
302869216,94.7345,11.7978,11.28,G06037
306612524,97.6641,17.2462,11.44,G06037
307944768,99.4446,12.7681,9.05,G06037
308388971,99.7633,11.9198,11.14,G06037
308492635,100.0325,16.3108,10.28,G06037
308580741,100.0668,12.1437,10.09,G06037
319574477,94.9452,22.3045,9.18,G06037
319654993,95.0021,22.1636,11.23,G06037
319655114,94.9385,22.1108,8.67,G06037
319758429,95.2831,22.1658,8.5,G06037
331948389,95.8689,20.3921,8.83,G06037
336985510,92.5059,13.1212,9.76,G06037
336987555,92.5069,14.0752,9.14,G06037
337165095,92.7465,11.9948,7.51,G06037
337173077,92.6973,13.6595,6.98,G06037
372605404,101.6184,12.943,9.2,G06037
385817678,95.4949,14.3089,8.39,G06037
385820339,95.4456,13.4055,11.53,G06037
386047543,93.1841,17.9873,10.11,G06037
386690011,93.5317,18.9649,9.19,G06037
386693012,93.5258,20.1697,7.46,G06037
392001276,101.1605,19.9876,8.77,G06037
426520557,94.2388,22.195,9.3,G06037
429944492,94.8203,20.5799,7.87,G06037;G06073
430052757,96.1598,19.7044,8.36,G06037
430091193,96.2317,19.7652,12.33,G06037
430091451,96.2554,19.8489,9.67,G06037
434303361,93.4867,17.1837,8.46,G06037
434304760,93.4757,16.5181,8.9,G06073;G06037;G06139
434376215,93.6901,13.2113,8.84,G06037
434384707,93.7855,13.8512,6.17,G06037
434403321,94.0047,14.2785,9.93,G06037
434403376,93.9705,14.2693,10.98,G06037
437909441,94.2241,13.5071,8.89,G06037
437913445,94.3265,12.1229,11.38,G06037
437996482,94.7131,14.5128,10.58,G06037
438012064,94.8074,15.8235,11.23,G06037
438068992,95.7393,15.9435,10.42,G06037
438102168,95.8182,14.5155,10.42,G06037
438103655,95.8528,15.1018,7.69,G06037;G06073;G06139
438195903,96.2963,14.8732,9.15,G06037
438215026,96.4683,13.3618,10.75,G06037
438306275,96.8157,14.8892,6.23,G06037;G06073;G06139
44938364,91.7265,19.0345,8.69,G06073;G06037;G06139
45116888,91.9121,21.8732,7.55,G06037
45174717,92.0859,22.2082,9.03,G06037
45285604,92.1338,21.6109,10.4,G06037
45288132,92.1792,20.5152,11.55,G06037
45288209,92.124,20.4796,11.07,G06037
45288230,92.1584,20.4669,11.69,G06037
45367294,92.2809,19.6632,9.71,G06037
45369257,92.3466,20.6125,10.8,G06037
45369360,92.2513,20.6405,8.81,G06037
45369989,92.3473,20.8816,9.73,G06037
45446208,92.3999,20.6263,12.23,G06037
45446253,92.4589,20.6181,8.54,G06037
45446485,92.4818,20.5687,11.73,G06037
45446676,92.4757,20.5394,10.36,G06037
45446943,92.4693,20.5045,9.54,G06037
45447053,92.4149,20.4876,7.48,G06037
45646930,92.7131,20.6282,12.31,G06037
45646950,92.7022,20.6209,12.31,G06037
45646955,92.7329,20.6195,12.8,G06037
45647000,92.7186,20.6084,9.74,G06037
45647004,92.7335,20.609,10.35,G06037
45647025,92.7301,20.6031,12.29,G06037
45647043,92.7271,20.5959,12.74,G06037
456973595,100.5605,18.7864,8.69,G06037
45709015,92.8677,19.6998,9.79,G06037
45713030,92.8347,20.6294,12.41,G06037
45714355,92.8466,20.9054,6.76,G06037
45717172,92.8254,21.5638,7.12,G06037
45799839,92.9267,21.633,9.61,G06037
45802115,92.9937,20.6644,9.57,G06037
45802921,92.9782,20.3069,10.22,G06037
45803305,92.9288,20.1268,9.42,G06037
45899911,93.0921,18.0161,9.57,G06037
45904500,93.0692,20.086,8.88,G06073;G06037;G06139
45908356,93.0726,21.925,9.53,G06037
45976838,93.2675,17.9782,10.56,G06037
46053064,93.45,18.5285,9.42,G06037
46239533,93.8558,19.0294,9.28,G06037
46247269,93.8143,22.3011,8.56,G06037;G06183
55079633,99.3531,22.0203,9.96,G06037
56750848,101.2318,22.0337,8.63,G06037
59468295,92.0755,13.9715,8.16,G06037
59468299,92.1265,13.9711,7.43,G06037
59468405,92.114,13.9309,8.83,G06037
59468515,92.0786,13.8867,10.01,G06037
59468922,92.1109,13.7105,8.94,G06037
194859118,99.7078,23.0676,9.39,G06037
239984523,94.4312,32.593,9.47,G06037
319572574,94.9235,23.2889,9.12,G06037
319572617,94.9738,23.2651,8.75,G06037
353716687,90.7768,31.0523,8.84,G06037
367264057,91.137,30.2384,9.49,G06037
400166377,90.9588,30.1692,8.94,G06037
400277908,91.35,33.7338,8.54,G06037
400278133,91.3912,33.599,6.29,G06037
426486869,94.2446,23.7409,5.74,G06037
429716670,94.067,23.608,11.13,G06037
429864788,94.6067,23.5714,8.58,G06037
429867390,94.7371,23.106,9.62,G06037
429950575,94.8439,23.2745,6.38,G06037
429950993,94.8304,23.4694,6.6,G06037
44755160,91.2736,23.394,9.77,G06037
45037093,91.8912,23.7391,8.85,G06037
68542689,103.5566,33.0025,8.18,G06037
79771845,90.7475,28.677,7.64,G06037
79775076,90.7814,27.4404,9.54,G06037
80151133,91.1299,25.3811,11.65,G06037
80151328,91.1797,25.4479,11.34,G06037
80688959,91.2444,28.7669,8.96,G06037
80893258,91.5273,28.9348,7.14,G06037
80897625,91.6173,27.309,11.45,G06037
80980016,91.7386,24.5458,9.28,G06037
81434460,92.2356,24.3598,8.12,G06037
81971119,92.9614,25.4901,11.77,G06037
81972427,92.9696,25.9836,10.38,G06037
82932027,93.8542,29.2303,8.19,G06037
83706075,95.0133,24.2293,9.61,G06037
83889457,95.417,26.8626,12.92,G06037
84320958,96.0162,25.417,8.37,G06073;G06037;G06139
84776627,96.994,29.2695,10.21,G06037
87207784,99.4284,29.4666,9.03,G06037
97669412,92.5055,32.8876,9.62,G06037
4136259,114.3796,31.6136,7.86,G06037
80303248,103.905,24.008,7.92,G06037
14498757,111.1152,15.5172,6.67,G06073;G06037;G06139
14852106,114.2739,16.9042,6.77,G06073;G06037;G06139
155305056,102.8914,13.6173,9.25,G06037
58847028,104.4287,17.902,7.2,G06073;G06037;G06139
271135942,119.1156,11.7489,7.88,G06037

# Sector 072 targets observed (2 min: 271, 20 s: 0)
155305056,102.8914,13.6173,9.25,G06037
201960635,101.2507,11.1639,10.78,G06037
231236273,101.0666,10.4699,11.22,G06037
306612524,97.6641,17.2462,11.44,G06037
307944768,99.4446,12.7681,9.05,G06037
308388971,99.7633,11.9198,11.14,G06037
308492635,100.0325,16.3108,10.28,G06037
308580741,100.0668,12.1437,10.09,G06037
372605404,101.6184,12.943,9.2,G06037
392001276,101.1605,19.9876,8.77,G06037
430091193,96.2317,19.7652,12.33,G06037
430091451,96.2554,19.8489,9.67,G06037
438195903,96.2963,14.8732,9.15,G06037
438215026,96.4683,13.3618,10.75,G06037
438306275,96.8157,14.8892,6.23,G06037;G06073;G06139
456973595,100.5605,18.7864,8.69,G06037
55079633,99.3531,22.0203,9.96,G06037
58847028,104.4287,17.902,7.2,G06073;G06037;G06139
194859118,99.7078,23.0676,9.39,G06037
68542689,103.5566,33.0025,8.18,G06037
80303248,103.905,24.008,7.92,G06037
84776627,96.994,29.2695,10.21,G06037
87207784,99.4284,29.4666,9.03,G06037
115053115,83.1498,33.2409,11.3,G06037
115055479,83.182,32.192,4.38,G06037
115199791,83.381,34.2904,9.91,G06037
115452740,83.6354,30.6166,8.77,G06037
115559331,84.0392,34.282,9.55,G06037
115559789,84.0329,34.1473,9.45,G06037
115559920,84.0099,34.1141,9.98,G06037
115560092,84.0135,34.0604,10.44,G06037
115639336,84.0648,32.954,10.01,G06037;G06139
115642245,84.1636,34.0638,8.99,G06037
115642252,84.1449,34.0654,10.62,G06037
115722123,84.0944,34.1338,9.12,G06037
115722132,84.0914,34.1356,9.33,G06037
115722156,84.1168,34.1418,9.53,G06037
115722162,84.0658,34.1435,8.9,G06037
115722189,84.0523,34.1496,10.7,G06037
115722282,84.0877,34.1713,9.75,G06037
115722303,84.0961,34.1757,8.97,G06037
115722319,84.1333,34.1798,9.13,G06037
115722396,84.1763,34.2016,9.22,G06037;G06139
115722515,84.0657,34.2383,10.87,G06037
115730751,84.2115,34.137,10.14,G06037
115893722,84.4623,33.9672,8.11,G06073;G06037;G06139
115901817,84.5684,34.4102,11.07,G06037
116063559,84.6326,33.2865,9.59,G06037
116074546,84.8682,33.8315,9.91,G06037
116147598,84.8533,30.8907,7.66,G06037
116247916,85.0008,32.9032,11.34,G06037
116250519,84.9998,33.8632,10.48,G06037
116258644,85.0904,34.1099,10.0,G06037
116331699,85.1675,32.1064,8.8,G06037
116342030,85.1898,31.8813,9.13,G06037
116389701,85.2589,33.392,11.21,G06037
116391339,85.2495,33.958,9.44,G06037
116743858,85.8219,33.4324,9.71,G06037
116746275,85.7766,34.3486,9.36,G06037
116858082,85.9125,31.7607,9.51,G06037
116865190,86.0215,30.9338,8.11,G06037
116997540,86.2215,33.5286,6.33,G06037
117103922,86.3012,34.096,8.82,G06037
119349190,89.3117,23.4195,7.7,G06037
239726441,86.479,33.7193,9.3,G06037
239733050,86.5395,30.9311,11.88,G06037
239758529,86.7904,31.9022,9.93,G06037
239802539,87.0935,33.2239,11.85,G06037
239807112,87.0377,31.4191,10.93,G06037
239815039,87.2404,31.5324,9.04,G06037
239849332,87.4617,33.4589,10.19,G06037
239984523,94.4312,32.593,9.47,G06037
269616441,89.6951,23.2508,8.66,G06037
269758865,89.8574,23.7279,10.43,G06037
308704616,87.6811,31.926,11.49,G06037
308706765,87.6203,31.0652,8.16,G06037
308805406,87.7233,30.7234,9.21,G06037
309335864,89.6472,30.2072,9.07,G06073;G06037;G06139
311911369,87.9782,32.2397,8.71,G06037
311917189,88.0452,29.9165,9.23,G06037
311996620,88.1194,34.1037,10.3,G06037
312353807,88.6175,31.1613,10.22,G06037
312563333,88.9027,30.7114,8.29,G06037
319572574,94.9235,23.2889,9.12,G06037
319572617,94.9738,23.2651,8.75,G06037
3461758,82.8628,34.2471,11.23,G06037
3462120,82.8596,34.1861,10.89,G06037
3465772,82.8303,32.6143,11.75,G06037
353298304,89.8832,32.8869,8.76,G06037
353716687,90.7768,31.0523,8.84,G06037
3544794,82.8588,30.6989,10.63,G06037
367264057,91.137,30.2384,9.49,G06037
400163968,90.2059,30.7583,10.49,G06037
400166377,90.9588,30.1692,8.94,G06037
400277908,91.35,33.7338,8.54,G06037
400278133,91.3912,33.599,6.29,G06037
426486869,94.2446,23.7409,5.74,G06037
426764485,90.1421,23.5923,12.17,G06037
429433143,90.2705,23.3622,12.07,G06037
429433216,90.2745,23.339,7.67,G06037;G06073;G06139
429433232,90.2239,23.3329,9.77,G06037
429433245,90.2707,23.3288,11.45,G06037
429433253,90.2434,23.3257,12.14,G06037
429433318,90.2819,23.3048,6.75,G06037
429433328,90.31,23.3025,11.76,G06037
429716670,94.067,23.608,11.13,G06037
429864788,94.6067,23.5714,8.58,G06037
429950575,94.8439,23.2745,6.38,G06037
429950993,94.8304,23.4694,6.6,G06037
437799422,83.39,23.3423,8.43,G06037
44755160,91.2736,23.394,9.77,G06037
45037093,91.8912,23.7391,8.85,G06037
74159006,83.1943,26.7474,8.17,G06037
74386000,83.6629,28.051,7.89,G06073;G06037;G06183;G06139
74387059,83.6526,27.5927,8.63,G06073;G06037;G06139
74636411,84.0112,26.2683,8.14,G06037
74721767,84.1658,27.9117,8.13,G06037
75078662,84.7274,26.3158,8.24,G06073;G06037
75170940,84.7417,28.4601,8.17,G06073;G06037;G06139
75172674,84.8263,29.2152,5.84,G06037
75239191,84.9351,27.7808,8.96,G06037
75424069,85.1352,27.4428,8.43,G06037
75508636,85.4352,29.726,9.39,G06037
75509134,85.4973,29.5226,8.62,G06037;G06139
75592524,85.4033,26.6155,7.93,G06037
75594842,85.4125,25.5135,8.48,G06037
75692141,85.5659,25.7837,9.51,G06037
75773999,85.7108,25.7269,9.38,G06037
75852151,85.9127,25.4395,6.62,G06073;G06037;G06139
76028730,86.1155,27.2299,9.28,G06073;G06037;G06139;G06139
76032944,86.1573,29.0166,7.99,G06037
76211045,86.4355,26.5602,9.48,G06037
76216928,86.337,29.1578,9.39,G06037;G06139
76297288,86.5979,25.5437,8.56,G06037
76543999,87.2235,29.1361,8.05,G06073;G06037;G06183;G06139
76545916,87.1722,28.3246,8.16,G06037
76636576,87.2041,27.3638,7.7,G06037
76641076,87.1193,25.1135,9.5,G06037
77706854,87.9809,27.0328,9.79,G06037
77834479,88.3157,29.6885,10.9,G06037
77966679,88.3796,25.7422,8.05,G06073;G06037;G06183;G06139
78071839,88.4994,26.4225,8.15,G06073;G06037;G06183;G06139
78261043,88.8317,27.9149,9.08,G06037
78431470,88.9178,27.7156,6.81,G06037
78499882,88.9793,28.7851,9.96,G06073;G06037
78515820,88.9992,25.4013,10.17,G06037
78878491,89.4986,25.9539,4.94,G06037
79241923,89.9731,25.0886,8.79,G06073;G06037;G06139
79311055,90.1709,24.4738,10.18,G06037
79313722,90.1684,25.4741,12.56,G06037
79771845,90.7475,28.677,7.64,G06037
79775076,90.7814,27.4404,9.54,G06037
80151133,91.1299,25.3811,11.65,G06037
80151328,91.1797,25.4479,11.34,G06037
80688959,91.2444,28.7669,8.96,G06037
80893258,91.5273,28.9348,7.14,G06037
80897625,91.6173,27.309,11.45,G06037
80980016,91.7386,24.5458,9.28,G06037
81434460,92.2356,24.3598,8.12,G06037
81971119,92.9614,25.4901,11.77,G06037
81972427,92.9696,25.9836,10.38,G06037
82932027,93.8542,29.2303,8.19,G06037
83706075,95.0133,24.2293,9.61,G06037
83889457,95.417,26.8626,12.92,G06037
97669412,92.5055,32.8876,9.62,G06037
114249288,87.9105,21.5411,10.57,G06037
114683368,88.4925,20.8763,9.04,G06037
114686720,88.5074,22.1082,9.22,G06037
118904985,88.7362,19.7496,6.07,G06037
118969977,88.9194,20.0778,10.56,G06037
151464886,91.8931,14.7683,4.59,G06037
19621526,84.0959,21.1865,8.62,G06073;G06037;G06139
19704573,84.4112,21.1424,4.62,G06037;G06073;G06183;G06139
238556993,91.0607,21.0946,9.98,G06037
238559148,90.9799,20.1384,4.37,G06037
247677744,86.9288,13.8995,5.46,G06037
269845286,90.0484,19.1927,9.0,G06073;G06037;G06139
29277573,86.2343,21.4607,8.52,G06073;G06037;G06139
294114621,92.2326,15.705,8.07,G06037
294124764,92.7756,13.1452,9.76,G06037
294306184,93.0121,15.3861,11.05,G06037
294308920,92.985,14.2086,4.73,G06037
302869216,94.7345,11.7978,11.28,G06037
319574477,94.9452,22.3045,9.18,G06037
319654993,95.0021,22.1636,11.23,G06037
319655114,94.9385,22.1108,8.67,G06037
319758429,95.2831,22.1658,8.5,G06037
336985510,92.5059,13.1212,9.76,G06037
336987555,92.5069,14.0752,9.14,G06037
337165095,92.7465,11.9948,7.51,G06037
337173077,92.6973,13.6595,6.98,G06037
358301744,87.3417,20.5843,9.01,G06037
386047543,93.1841,17.9873,10.11,G06037
386690011,93.5317,18.9649,9.19,G06037
386693012,93.5258,20.1697,7.46,G06037
426520557,94.2388,22.195,9.3,G06037
429440375,90.2622,20.2347,9.08,G06037
429563174,90.4812,20.189,10.93,G06037
